frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
11,1.000000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.013765,-0.013754,0.706967,0.706979,0.934210,0.000000,0.000000
12,1.000000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.016824,-0.016813,0.706902,0.706912,1.038010,0.000000,0.000000
13,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.020179,-0.020179,0.707038,0.706600,1.141810,-0.003610,0.075810
14,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.023837,-0.023859,0.707370,0.706039,1.245610,-0.007810,0.151510
15,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.027791,-0.027851,0.707892,0.705224,1.349410,-0.012710,0.227210
16,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.032042,-0.032156,0.708604,0.704145,1.453210,-0.018210,0.302810
17,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.036590,-0.036774,0.709492,0.702802,1.557010,-0.024410,0.378410
18,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.041430,-0.041705,0.710554,0.701183,1.660810,-0.031310,0.453910
19,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.046560,-0.046948,0.711779,0.699284,1.764610,-0.038810,0.529410
20,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.051982,-0.052510,0.713162,0.697094,1.868510,-0.047010,0.604810
21,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.057690,-0.058385,0.714692,0.694607,1.972410,-0.055810,0.680110
22,1.000000,1.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.063683,-0.064573,0.716359,0.691812,2.076310,-0.065310,0.755310
23,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.069040,-0.072029,0.718066,0.688786,2.191310,-0.389510,0.772710
24,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.073798,-0.080715,0.719796,0.685517,2.307810,-0.700710,0.787010
25,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.077996,-0.090592,0.721522,0.681994,2.425710,-0.999510,0.798710
26,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.081659,-0.101630,0.723219,0.678201,2.544810,-1.286210,0.808110
27,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.084820,-0.113785,0.724861,0.674118,2.665010,-1.561410,0.815610
28,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.087512,-0.127024,0.726421,0.669715,2.786210,-1.825510,0.821610
29,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.089762,-0.141309,0.727863,0.664973,2.908210,-2.078910,0.826410
30,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.091596,-0.156603,0.729153,0.659864,3.030910,-2.322110,0.830410
31,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.093036,-0.172869,0.730254,0.654362,3.154210,-2.555610,0.833910
32,1.000000,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.094104,-0.190067,0.731132,0.648433,3.277910,-2.779810,0.837310
33,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.094941,-0.208097,0.731344,0.642509,3.418410,-2.934410,0.702710
34,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.095577,-0.226920,0.730857,0.636570,3.561710,-3.076610,0.570710
35,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096041,-0.246492,0.729647,0.630581,3.707710,-3.207010,0.441810
36,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096365,-0.266771,0.727685,0.624518,3.856210,-3.326010,0.316410
37,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096570,-0.287714,0.724939,0.618351,4.006910,-3.434210,0.195010
38,1.000000,-1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.096689,-0.309271,0.721386,0.612050,4.159710,-3.532010,0.078010
