frame,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
15,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.027818,-0.027813,0.726617,0.685916,1.349410,0.000000,0.986610
16,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.032096,-0.032091,0.729464,0.682512,1.453210,0.000000,1.062510
17,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.036677,-0.036671,0.732469,0.678822,1.557010,0.000000,1.138410
18,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.041559,-0.041554,0.735625,0.674835,1.660810,0.000000,1.214310
19,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.046743,-0.046738,0.738917,0.670546,1.764610,0.000000,1.290210
20,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.052230,-0.052225,0.742336,0.665944,1.868410,0.000000,1.366110
21,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.058013,-0.058008,0.745871,0.661019,1.972210,0.000000,1.442010
22,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.064093,-0.064088,0.749505,0.655764,2.076010,0.000000,1.517910
23,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.070470,-0.070464,0.753230,0.650164,2.179810,0.000000,1.593810
24,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.077143,-0.077138,0.757030,0.644208,2.283610,0.000000,1.669710
25,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.084108,-0.084103,0.760890,0.637886,2.387410,0.000000,1.745610
26,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.091359,-0.091353,0.764796,0.631186,2.491210,0.000000,1.821510
27,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.098895,-0.098890,0.768729,0.624097,2.595010,0.000000,1.897410
28,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.106718,-0.106712,0.772673,0.616603,2.698810,0.000000,1.973310
29,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.114821,-0.114815,0.776611,0.608694,2.802610,0.000000,2.049210
30,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.123193,-0.123188,0.780523,0.600359,2.906410,0.000000,2.125110
31,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.131836,-0.131830,0.784392,0.591582,3.010210,0.000000,2.201010
32,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.140743,-0.140737,0.788195,0.582352,3.114010,0.000000,2.276910
33,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.149908,-0.149903,0.791909,0.572657,3.217810,0.000000,2.352810
34,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.159328,-0.159322,0.795515,0.562482,3.321610,0.000000,2.428710
35,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.168995,-0.168990,0.798987,0.551817,3.425410,0.000000,2.504610
36,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.178900,-0.178895,0.802302,0.540650,3.529210,0.000000,2.580510
37,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.189032,-0.189026,0.805439,0.528964,3.633010,0.000000,2.656410
38,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.199384,-0.199379,0.808367,0.516756,3.736810,0.000000,2.732310
39,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.209947,-0.209942,0.811062,0.504008,3.840610,0.000000,2.808210
40,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.220710,-0.220705,0.813499,0.490710,3.944410,0.000000,2.884110
