frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
36,-738.049988,0.000000,94.070000,-2424.020996,0.000000,-42.460999,0.000003,-0.115349,0.000003,0.993325,0.000000,-1.460310,0.000000
37,-758.250000,0.000000,93.669998,-2423.400879,0.000000,-47.861000,0.000003,-0.121391,0.000003,0.992605,0.000000,-1.460310,0.000000
38,-778.440002,0.000000,93.229996,-2422.781006,0.000000,-53.260998,0.000003,-0.127428,0.000003,0.991848,0.000000,-1.460310,0.000000
39,-798.619995,0.000000,92.739998,-2422.160889,0.000000,-58.660999,0.000003,-0.133460,0.000003,0.991054,0.000000,-1.460310,0.000000
40,-818.510010,0.000000,93.029999,-2386.801025,0.000000,35.181000,0.000003,-0.143413,0.000003,0.989663,0.000000,-2.412010,0.000000
41,-838.389954,0.000000,93.279999,-2386.190918,0.000000,29.750999,0.000003,-0.153350,0.000003,0.988172,0.000000,-2.412010,0.000000
42,-858.269958,0.000000,93.479996,-2385.580811,0.000000,24.320999,0.000003,-0.163271,0.000003,0.986581,0.000000,-2.412010,0.000000
43,-878.139954,0.000000,93.639999,-2384.970947,0.000000,18.890999,0.000003,-0.173176,0.000003,0.984891,0.000000,-2.412010,0.000000
44,-898.010010,0.000000,93.750000,-2384.360840,0.000000,13.461000,0.000003,-0.183065,0.000003,0.983101,0.000000,-2.412010,0.000000
45,-917.869995,0.000000,93.820000,-2383.750977,0.000000,8.041000,0.000003,-0.192938,0.000003,0.981211,0.000000,-2.412010,0.000000
46,-937.729980,0.000000,93.839996,-2383.140869,0.000000,2.621000,0.000003,-0.202788,0.000003,0.979222,0.000000,-2.412010,0.000000
47,-957.579956,0.000000,93.820000,-2382.531006,0.000000,-2.791000,0.000003,-0.212618,0.000003,0.977135,0.000000,-2.412010,0.000000
48,-977.429993,0.000000,93.750000,-2381.920898,0.000000,-8.201000,0.000003,-0.222426,0.000003,0.974950,0.000000,-2.412010,0.000000
49,-997.269958,0.000000,93.639999,-2381.311035,0.000000,-13.611000,0.000003,-0.232212,0.000003,0.972665,0.000000,-2.412010,0.000000
50,-1017.109985,0.000000,93.479996,-2380.700928,0.000000,-19.021000,0.000003,-0.241976,0.000003,0.970282,0.000000,-2.412010,0.000000
51,-1036.939941,0.000000,93.279999,-2380.090820,0.000000,-24.431000,0.000003,-0.251714,0.000003,0.967802,0.000000,-2.412010,0.000000
52,-1056.770020,0.000000,93.029999,-2379.480957,0.000000,-29.841000,0.000003,-0.261430,0.000003,0.965222,0.000000,-2.412010,0.000000
53,-1076.439941,0.000000,93.180000,-2360.270996,0.000000,17.900999,0.000003,-0.273158,0.000003,0.961969,0.000000,-2.921610,0.000000
54,-1096.099976,0.000000,93.279999,-2359.670898,0.000000,12.471000,0.000003,-0.284849,0.000003,0.958572,0.000000,-2.921610,0.000000
55,-1115.760010,0.000000,93.339996,-2359.071045,0.000000,7.051000,0.000003,-0.296496,0.000003,0.955034,0.000000,-2.921610,0.000000
56,-1135.410034,0.000000,93.349998,-2358.470947,0.000000,1.631000,0.000003,-0.308101,0.000003,0.951354,0.000000,-2.921610,0.000000
57,-1155.059937,0.000000,93.320000,-2357.870850,0.000000,-3.781000,0.000003,-0.319656,0.000003,0.947533,0.000000,-2.921610,0.000000
58,-1174.699951,0.000000,93.239998,-2357.270996,0.000000,-9.191000,0.000003,-0.331169,0.000003,0.943571,0.000000,-2.921610,0.000000
59,-1194.339966,0.000000,93.119995,-2356.670898,0.000000,-14.601000,0.000003,-0.342633,0.000003,0.939469,0.000000,-2.921610,0.000000
