frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,3500.119873,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
1,False,False,0.000000,0.000000,False,3500.119873,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
2,False,False,0.000000,0.000000,False,3500.119873,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
3,False,False,0.000000,0.000000,False,3500.119873,0.000000,18.629999,0.000000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000310,0.000000
4,False,False,1.000000,0.000000,False,3500.119873,0.000000,18.629999,13.331000,0.000000,8.431000,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000710,0.000000
5,False,False,1.000000,0.000000,False,3500.229980,0.000000,18.629999,26.550999,0.000000,8.431000,0.000003,0.003196,0.000003,0.999995,0.000000,-0.000910,0.000000
6,False,False,1.000000,0.000000,False,3500.449951,0.000000,18.629999,39.650997,0.000000,8.431000,0.000003,0.003191,0.000003,0.999995,0.000000,-0.001010,0.000000
7,False,False,1.000000,0.000000,False,3500.780029,0.000000,18.629999,52.640999,0.000000,8.431000,0.000003,0.003186,0.000003,0.999995,0.000000,-0.001010,0.000000
8,False,False,1.000000,0.000000,False,3501.219971,0.000000,18.629999,65.520996,0.000000,8.431000,0.000003,0.003180,0.000003,0.999995,0.000000,-0.000910,0.000000
9,False,False,1.000000,0.000000,False,3501.770020,0.000000,18.629999,78.291000,0.000000,8.431000,0.000003,0.003175,0.000003,0.999995,0.000000,-0.000810,0.000000
10,False,False,1.000000,0.000000,False,3502.419922,0.000000,18.629999,90.950996,0.000000,8.431000,0.000003,0.003169,0.000003,0.999995,0.000000,-0.000710,0.000000
11,False,False,1.000000,0.000000,False,3503.179932,0.000000,18.629999,103.500999,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000610,0.000000
12,False,False,1.000000,0.000000,False,3504.040039,0.000000,18.629999,115.940994,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000510,0.000000
13,False,False,1.000000,0.000000,False,3505.010010,0.000000,18.629999,128.281006,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
14,False,False,1.000000,0.000000,False,3506.079834,0.000000,18.629999,140.511002,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
15,False,False,1.000000,0.000000,False,3507.250000,0.000000,18.629999,152.630997,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
16,False,False,1.000000,0.000000,False,3508.520020,0.000000,18.629999,164.651001,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
17,False,False,1.000000,0.000000,False,3509.889893,0.000000,18.629999,176.570999,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
18,False,False,1.000000,0.000000,False,3511.359863,0.000000,18.629999,188.391006,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
19,False,False,1.000000,0.000000,False,3512.929932,0.000000,18.629999,200.100998,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
20,False,False,1.000000,0.000000,False,3514.599854,0.000000,18.629999,211.710999,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
21,False,False,1.000000,0.000000,False,3516.359863,0.000000,18.629999,223.221008,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000410,0.000000
22,False,False,1.000000,0.000000,False,3518.219971,0.000000,18.629999,234.641006,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
23,False,False,1.000000,0.000000,False,3520.179932,0.000000,18.629999,245.960999,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
24,False,False,1.000000,0.000000,False,3522.229980,0.000000,18.629999,257.181000,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
25,False,False,1.000000,0.000000,False,3524.369873,0.000000,18.629999,268.311005,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
26,False,False,1.000000,0.000000,False,3526.609863,0.000000,18.629999,279.341003,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
27,False,False,1.000000,0.000000,False,3528.939941,0.000000,18.629999,290.281006,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
28,False,False,1.000000,0.000000,False,3531.359863,0.000000,18.629999,301.121002,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
29,False,False,1.000000,0.000000,False,3533.869873,0.000000,18.629999,311.871002,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
30,False,False,1.000000,0.000000,False,3536.469971,0.000000,18.629999,322.531006,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
31,False,False,1.000000,0.000000,False,3539.159912,0.000000,18.629999,333.091003,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
32,False,False,1.000000,0.000000,False,3541.939941,0.000000,18.629999,343.561005,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
33,False,False,1.000000,0.000000,False,3544.799805,0.000000,18.629999,353.941010,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
34,False,False,1.000000,0.000000,False,3547.750000,0.000000,18.629999,364.240997,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
35,False,False,1.000000,0.000000,False,3550.790039,0.000000,18.629999,374.450989,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000310,0.000000
36,False,False,1.000000,0.000000,False,3553.909912,0.000000,18.629999,384.570984,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
37,False,False,1.000000,0.000000,False,3557.109863,0.000000,18.629999,394.601013,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
38,False,False,1.000000,0.000000,False,3560.399902,0.000000,18.629999,404.550995,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
39,False,False,1.000000,0.000000,False,3563.770020,0.000000,18.629999,414.411011,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
40,False,False,1.000000,0.000000,False,3567.219971,0.000000,18.629999,424.191010,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
41,False,False,1.000000,0.000000,False,3570.760010,0.000000,18.629999,433.881012,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
42,False,False,1.000000,0.000000,False,3574.379883,0.000000,18.629999,443.490997,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
43,False,False,1.000000,0.000000,False,3578.079834,0.000000,18.629999,453.020996,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
44,False,False,1.000000,0.000000,False,3581.849854,0.000000,18.629999,462.471008,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
45,False,False,1.000000,0.000000,False,3585.699951,0.000000,18.629999,471.841003,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
46,False,False,1.000000,0.000000,False,3589.629883,0.000000,18.629999,481.130981,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
47,False,False,1.000000,0.000000,False,3593.639893,0.000000,18.629999,490.341003,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
48,False,False,1.000000,0.000000,False,3597.729980,0.000000,18.629999,499.471008,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
49,False,False,1.000000,0.000000,False,3601.889893,0.000000,18.629999,508.520996,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
50,False,False,1.000000,0.000000,False,3606.129883,0.000000,18.629999,517.490967,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
51,False,False,1.000000,0.000000,False,3610.439941,0.000000,18.629999,526.380981,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
52,False,False,1.000000,0.000000,False,3614.829834,0.000000,18.629999,535.200989,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000210,0.000000
53,False,False,1.000000,0.000000,False,3619.290039,0.000000,18.629999,543.940979,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000110,0.000000
54,False,False,1.000000,0.000000,False,3623.819824,0.000000,18.629999,552.610962,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000110,0.000000
55,False,False,1.000000,0.000000,False,3628.419922,0.000000,18.629999,561.200989,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000110,0.000000
56,False,False,1.000000,0.000000,False,3633.099854,0.000000,18.629999,569.720947,0.000000,8.431000,0.000003,0.003164,0.000003,0.999995,0.000000,-0.000110,0.000000
