frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,True,True,-1.000000,1.000000,0.000000,-132.270004,1001.759949,0.000000,420.920990,18.740999,-0.334395,0.334400,0.623045,0.623034,-5.500010,0.000000,0.000000,0.000000,70.570000,993.839966,0.000000,793.430969,-61.810997,0.104846,0.000003,0.000003,0.994488,2.291710,0.000000,0.000000
19,True,True,-1.000000,1.000000,0.000000,-128.759995,1001.859985,0.000000,420.920990,12.181000,-0.353023,0.353029,0.612683,0.612671,-5.500010,0.000000,0.000000,0.000000,77.180000,993.320007,0.000000,793.220947,-61.790997,0.114335,0.000003,0.000003,0.993442,2.291710,0.000000,0.000000
20,True,True,-1.000000,1.000000,0.000000,-125.250000,1001.929993,0.000000,420.920990,7.911000,-0.371328,0.371333,0.601766,0.601751,-5.500010,0.000000,0.000000,0.000000,83.790001,992.809998,0.000000,793.010986,-61.771000,0.123814,0.000003,0.000003,0.992305,2.291710,0.000000,0.000000
21,True,True,-1.000000,1.000000,0.000000,-121.739998,1001.969971,0.000000,420.920990,5.141000,-0.389298,0.389304,0.590297,0.590287,-5.499910,0.000000,0.000000,0.000000,90.400002,992.299988,0.000000,792.800964,-61.750999,0.133282,0.000003,0.000003,0.991078,2.291710,0.000000,0.000000
22,True,True,-1.000000,1.000000,0.000000,-118.229996,1002.000000,0.000000,420.920990,3.341000,-0.406912,0.406918,0.578298,0.578284,-5.500010,0.000000,0.000000,0.000000,97.009995,991.789978,0.000000,792.590942,-61.730999,0.142739,0.000003,0.000003,0.989760,2.291710,0.000000,0.000000
23,True,True,-1.000000,1.000000,0.000000,-114.720001,1002.019958,0.000000,420.920990,2.171000,-0.424159,0.424165,0.565767,0.565757,-5.500010,0.000000,0.000000,0.000000,103.610001,991.279968,0.000000,792.380981,-61.710999,0.152185,0.000003,0.000003,0.988352,2.291710,0.000000,0.000000
24,True,True,-1.000000,1.000000,0.000000,-111.209999,1002.029968,0.000000,420.920990,1.411000,-0.441018,0.441024,0.552724,0.552718,-5.500010,0.000000,0.000000,0.000000,110.209999,990.769958,0.000000,792.170959,-61.690998,0.161615,0.000003,0.000003,0.986854,2.291710,0.000000,0.000000
25,True,True,-1.000000,1.000000,0.000000,-107.699997,1002.039978,0.000000,420.920990,0.911000,-0.457478,0.457483,0.539182,0.539171,-5.499910,0.000000,0.000000,0.000000,116.809998,990.259949,0.000000,791.960938,-61.670998,0.171029,0.000003,0.000003,0.985266,2.291710,0.000000,0.000000
26,True,True,-1.000000,1.000000,0.000000,-104.189995,1002.039978,0.000000,420.920990,0.591000,-0.473522,0.473527,0.525145,0.525140,-5.499910,0.000000,0.000000,0.000000,123.409996,989.750000,0.000000,791.750977,-61.650997,0.180427,0.000003,0.000003,0.983588,2.291710,0.000000,0.000000
27,True,True,-1.000000,1.000000,0.000000,-100.680000,1002.039978,0.000000,420.920990,0.591000,-0.489135,0.489140,0.510636,0.510627,-5.499910,0.000000,0.000000,0.000000,130.009995,989.239990,0.000000,791.550964,-61.630997,0.189809,0.000003,0.000003,0.981821,2.291710,0.000000,0.000000
