frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,True,True,-1.000000,1.000000,0.000000,-133.149994,1002.009949,0.000000,414.161011,21.240999,-0.331207,0.331212,0.624753,0.624728,-5.499910,0.000000,0.000000,0.000000,75.559998,992.309998,0.000000,833.860962,-76.770996,0.069790,0.000003,0.000003,0.997562,1.523710,0.000000,0.000000
19,True,True,-1.000000,1.000000,0.000000,-129.699997,1002.130005,0.000000,414.161011,13.801000,-0.349884,0.349894,0.614485,0.614462,-5.499910,0.000000,0.000000,0.000000,82.509995,991.669983,0.000000,833.640930,-76.750999,0.076124,0.000003,0.000003,0.997098,1.523710,0.000000,0.000000
20,True,True,-1.000000,1.000000,0.000000,-126.250000,1002.199951,0.000000,414.161011,8.971001,-0.368248,0.368258,0.603660,0.603634,-5.499910,0.000000,0.000000,0.000000,89.459999,991.029968,0.000000,833.420959,-76.730995,0.082452,0.000003,0.000003,0.996595,1.523710,0.000000,0.000000
21,True,True,-1.000000,1.000000,0.000000,-122.799995,1002.250000,0.000000,414.161011,5.831000,-0.386272,0.386288,0.592285,0.592262,-5.500010,0.000000,0.000000,0.000000,96.400002,990.389954,0.000000,833.200928,-76.710999,0.088780,0.000003,0.000003,0.996051,1.523710,0.000000,0.000000
22,True,True,-1.000000,1.000000,0.000000,-119.349998,1002.279968,0.000000,414.161011,3.791000,-0.403945,0.403967,0.580373,0.580350,-5.499910,0.000000,0.000000,0.000000,103.339996,989.750000,0.000000,832.980957,-76.690994,0.095103,0.000003,0.000003,0.995467,1.523710,0.000000,0.000000
23,True,True,-1.000000,1.000000,0.000000,-115.899994,1002.299988,0.000000,414.161011,2.461000,-0.421252,0.421273,0.567939,0.567910,-5.499910,0.000000,0.000000,0.000000,110.279999,989.109985,0.000000,832.760986,-76.670998,0.101420,0.000003,0.000003,0.994844,1.523710,0.000000,0.000000
24,True,True,-1.000000,1.000000,0.000000,-112.449997,1002.309998,0.000000,414.161011,1.591000,-0.438175,0.438202,0.554982,0.554957,-5.499910,0.000000,0.000000,0.000000,117.219994,988.469971,0.000000,832.540955,-76.651001,0.107732,0.000003,0.000003,0.994180,1.523710,0.000000,0.000000
25,True,True,-1.000000,1.000000,0.000000,-109.000000,1002.320007,0.000000,414.161011,1.031000,-0.454705,0.454732,0.541520,0.541497,-5.499910,0.000000,0.000000,0.000000,124.159996,987.829956,0.000000,832.320984,-76.630997,0.114044,0.000003,0.000003,0.993476,1.523710,0.000000,0.000000
26,True,True,-1.000000,1.000000,0.000000,-105.549995,1002.329956,0.000000,414.161011,0.671000,-0.470819,0.470846,0.527569,0.527546,-5.500010,0.000000,0.000000,0.000000,131.089996,987.190002,0.000000,832.100952,-76.611000,0.120350,0.000003,0.000003,0.992732,1.523710,0.000000,0.000000
27,True,True,-1.000000,1.000000,0.000000,-102.099998,1002.339966,0.000000,414.161011,0.671000,-0.486507,0.486534,0.513136,0.513115,-5.499910,0.000000,0.000000,0.000000,138.020004,986.549988,0.000000,831.880981,-76.590996,0.126651,0.000003,0.000003,0.991947,1.523710,0.000000,0.000000
28,True,True,-1.000000,1.000000,0.000000,-98.650002,1002.349976,0.000000,414.161011,0.671000,-0.501753,0.501774,0.498241,0.498219,-5.499910,0.000000,0.000000,0.000000,144.949997,985.909973,0.000000,831.660950,-76.570999,0.132947,0.000003,0.000003,0.991123,1.523710,0.000000,0.000000
29,True,True,-1.000000,1.000000,0.000000,-95.199997,1002.359985,0.000000,414.161011,0.671000,-0.516540,0.516562,0.482893,0.482871,-5.499910,0.000000,0.000000,0.000000,151.879990,985.269958,0.000000,831.440979,-76.550995,0.139238,0.000003,0.000003,0.990259,1.523710,0.000000,0.000000
30,True,True,-1.000000,1.000000,0.000000,-91.750000,1002.369995,0.000000,414.161011,0.671000,-0.530858,0.530887,0.467102,0.467081,-5.499910,0.000000,0.000000,0.000000,158.809998,984.630005,0.000000,831.220947,-76.530998,0.145523,0.000003,0.000003,0.989355,1.523710,0.000000,0.000000
31,True,True,-1.000000,1.000000,0.000000,-88.299995,1002.380005,0.000000,414.161011,0.671000,-0.544696,0.544721,0.450891,0.450869,-5.499910,0.000000,0.000000,0.000000,165.739990,983.989990,0.000000,831.000977,-76.510994,0.151802,0.000003,0.000003,0.988411,1.523710,0.000000,0.000000
32,True,True,-1.000000,1.000000,0.000000,-84.849998,1002.389954,0.000000,414.161011,0.671000,-0.558037,0.558062,0.434269,0.434248,-5.499910,0.000000,0.000000,0.000000,172.660004,983.349976,0.000000,830.790955,-76.490997,0.158076,0.000003,0.000003,0.987427,1.523710,0.000000,0.000000
33,True,True,-1.000000,1.000000,0.000000,-81.400002,1002.399963,0.000000,414.161011,0.671000,-0.570871,0.570896,0.417254,0.417232,-5.500010,0.000000,0.000000,0.000000,179.580002,982.709961,0.000000,830.580933,-76.471001,0.164340,0.000003,0.000003,0.986404,1.523710,0.000000,0.000000
34,True,True,-1.000000,1.000000,0.000000,-77.949997,1002.409973,0.000000,414.161011,0.671000,-0.583188,0.583215,0.399856,0.399834,-5.499910,0.000000,0.000000,0.000000,186.500000,982.070007,0.000000,830.370972,-76.450996,0.170598,0.000003,0.000003,0.985341,1.523710,0.000000,0.000000
35,True,True,-1.000000,1.000000,0.000000,-74.500000,1002.419983,0.000000,414.161011,0.671000,-0.594976,0.595001,0.382096,0.382074,-5.500010,0.000000,0.000000,0.000000,193.419998,981.429993,0.000000,830.160950,-76.431000,0.176850,0.000003,0.000003,0.984238,1.523710,0.000000,0.000000
36,True,True,-1.000000,1.000000,0.000000,-71.049995,1002.429993,0.000000,414.161011,0.671000,-0.606224,0.606242,0.363991,0.363969,-5.499910,0.000000,0.000000,0.000000,200.339996,980.789978,0.000000,829.950928,-76.410995,0.183097,0.000003,0.000003,0.983095,1.523710,0.000000,0.000000
37,True,True,-1.000000,1.000000,0.000000,-67.599998,1002.440002,0.000000,414.161011,0.671000,-0.616916,0.616942,0.345552,0.345530,-5.499910,0.000000,0.000000,0.000000,207.250000,980.149963,0.000000,829.740967,-76.390999,0.189334,0.000003,0.000003,0.981913,1.523710,0.000000,0.000000
38,True,True,-1.000000,1.000000,0.000000,-64.150002,1002.449951,0.000000,414.161011,0.671000,-0.627053,0.627075,0.326799,0.326778,-5.499910,0.000000,0.000000,0.000000,214.159988,979.509949,0.000000,829.530945,-76.370995,0.195565,0.000003,0.000003,0.980691,1.523710,0.000000,0.000000
39,True,True,-1.000000,1.000000,0.000000,-60.699997,1002.459961,0.000000,414.161011,0.671000,-0.636618,0.636640,0.307750,0.307728,-5.499910,0.000000,0.000000,0.000000,221.069992,978.869995,0.000000,829.320984,-76.350998,0.201785,0.000003,0.000003,0.979430,1.523710,0.000000,0.000000
40,True,True,-1.000000,1.000000,0.000000,-57.250000,1002.469971,0.000000,414.161011,0.671000,-0.645606,0.645626,0.288420,0.288399,-5.499910,0.000000,0.000000,0.000000,227.979996,978.229980,0.000000,829.110962,-76.331001,0.208000,0.000003,0.000003,0.978129,1.523710,0.000000,0.000000
41,True,True,-1.000000,1.000000,0.000000,-53.799999,1002.479980,0.000000,414.161011,0.671000,-0.654006,0.654024,0.268832,0.268810,-5.499910,0.000000,0.000000,0.000000,234.889999,977.589966,0.000000,828.900940,-76.310997,0.214204,0.000003,0.000003,0.976789,1.523710,0.000000,0.000000
42,True,True,-1.000000,1.000000,0.000000,-50.349998,1002.489990,0.000000,414.161011,0.671000,-0.661812,0.661830,0.248995,0.248973,-5.500010,0.000000,0.000000,0.000000,241.799988,976.949951,0.000000,828.690979,-76.291000,0.220403,0.000003,0.000003,0.975409,1.523710,0.000000,0.000000
43,True,True,-1.000000,1.000000,0.000000,-46.899998,1002.500000,0.000000,414.161011,0.671000,-0.669014,0.669035,0.228932,0.228916,-5.500010,0.000000,0.000000,0.000000,248.699997,976.309998,0.000000,828.480957,-76.270996,0.226590,0.000003,0.000003,0.973990,1.523710,0.000000,0.000000
