frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,False,False,1.000000,0.110000,0.000000,3.010000,896.320007,0.000000,-0.021000,-4.021000,-0.505351,0.505371,-0.494573,-0.494589,0.192210,0.000000,-0.000110,0.000000,-2.370000,1082.209961,0.000000,-18.330999,159.901001,-0.001648,0.000003,0.000003,0.999999,-0.022510,0.000000,0.000000
19,False,False,1.000000,0.110000,0.000000,3.010000,896.250000,0.000000,-0.031000,-8.881001,-0.505761,0.505784,-0.494152,-0.494168,0.199510,0.000000,-0.000110,0.000000,-2.520000,1083.500000,0.000000,-18.320999,154.441010,-0.001740,0.000003,0.000003,0.999999,-0.022510,0.000000,0.000000
20,False,False,1.000000,0.110000,0.000000,3.010000,896.139954,0.000000,-0.041000,-13.741000,-0.506188,0.506211,-0.493715,-0.493731,0.206710,0.000000,-0.000110,0.000000,-2.670000,1084.739990,0.000000,-18.310999,148.981003,-0.001832,0.000003,0.000003,0.999998,-0.022510,0.000000,0.000000
21,False,False,1.000000,0.110000,0.000000,3.010000,895.979980,0.000000,-0.051000,-18.601000,-0.506625,0.506657,-0.493262,-0.493278,0.213710,0.000000,-0.000110,0.000000,-2.820000,1085.939941,0.000000,-18.300999,143.521011,-0.001923,0.000003,0.000003,0.999998,-0.022510,0.000000,0.000000
22,True,True,1.000000,0.225000,0.000000,3.010000,895.849976,0.000000,-0.281000,-15.201000,-0.507105,0.507132,-0.492771,-0.492787,0.233410,0.000000,-0.000110,0.000000,-2.970000,1087.089966,0.000000,-18.290998,138.061005,-0.002015,0.000003,0.000003,0.999998,-0.022510,0.000000,0.000000
23,True,True,1.000000,0.225000,0.000000,3.010000,895.750000,0.000000,-0.531000,-11.801001,-0.507623,0.507651,-0.492237,-0.492253,0.252810,0.000000,-0.000110,0.000000,-3.120000,1088.199951,0.000000,-18.280998,132.600998,-0.002107,0.000003,0.000003,0.999998,-0.022510,0.000000,0.000000
24,True,True,1.000000,0.225000,0.000000,3.000000,895.679993,0.000000,-0.801000,-8.401000,-0.508178,0.508214,-0.491659,-0.491676,0.271810,0.000000,-0.000110,0.000000,-3.270000,1089.260010,0.000000,-18.271000,127.150993,-0.002198,0.000003,0.000003,0.999998,-0.022510,0.000000,0.000000
25,True,True,1.000000,0.225000,0.000000,2.990000,895.639954,0.000000,-1.091000,-5.001000,-0.508772,0.508809,-0.491044,-0.491060,0.290410,0.000000,-0.000110,0.000000,-3.420000,1090.270020,0.000000,-18.261000,121.700996,-0.002290,0.000003,0.000003,0.999997,-0.022510,0.000000,0.000000
26,True,True,1.000000,0.225000,0.000000,2.980000,895.630005,0.000000,-1.401000,-1.601000,-0.509403,0.509436,-0.490392,-0.490408,0.308710,0.000000,-0.000110,0.000000,-3.570000,1091.239990,0.000000,-18.250999,116.250999,-0.002382,0.000003,0.000003,0.999997,-0.022510,0.000000,0.000000
27,True,True,1.000000,0.225000,0.000000,2.970000,895.639954,0.000000,-1.731000,1.791000,-0.510072,0.510105,-0.489696,-0.489712,0.326710,0.000000,-0.000110,0.000000,-3.720000,1092.160034,0.000000,-18.240999,110.800995,-0.002474,0.000003,0.000003,0.999997,-0.022510,0.000000,0.000000
28,True,True,1.000000,0.225000,0.000000,2.950000,895.679993,0.000000,-2.091000,5.181000,-0.510773,0.510810,-0.488962,-0.488978,0.344310,0.000000,-0.000110,0.000000,-3.870000,1093.039917,0.000000,-18.230999,105.350998,-0.002565,0.000003,0.000003,0.999997,-0.022510,0.000000,0.000000
29,True,True,1.000000,0.225000,0.000000,2.930000,895.750000,0.000000,-2.471000,8.571000,-0.511507,0.511552,-0.488190,-0.488207,0.361610,0.000000,-0.000110,0.000000,-4.020000,1093.869995,0.000000,-18.220999,99.901001,-0.002657,0.000003,0.000003,0.999996,-0.022510,0.000000,0.000000
