frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,True,True,-1.000000,1.000000,90.110001,-27.349998,18.650000,566.630981,-248.600998,0.141000,0.000510,0.002916,-0.187435,0.982273,0.000310,0.000000,-2.158910
35,True,True,-1.000000,1.000000,94.919998,-29.539999,18.650000,577.090942,-263.080994,0.141000,0.000537,0.002910,-0.196369,0.980526,0.000310,0.000000,-2.185210
36,True,True,-1.000000,1.000000,99.809998,-31.859999,18.650000,587.000977,-278.031006,0.141000,0.000564,0.002905,-0.205389,0.978676,0.000310,0.000000,-2.210210
37,True,True,-1.000000,1.000000,104.779999,-34.309998,18.650000,596.350952,-293.431000,0.141000,0.000591,0.002900,-0.214490,0.976722,0.000310,0.000000,-2.233810
38,True,True,-1.000000,1.000000,109.820000,-36.889999,18.650000,605.130981,-309.260986,0.141000,0.000618,0.002894,-0.223661,0.974662,0.000310,0.000000,-2.256110
39,True,True,-1.000000,1.000000,114.930000,-39.599998,18.650000,613.330933,-325.510986,0.141000,0.000645,0.002889,-0.232897,0.972497,0.000410,0.000000,-2.277010
40,True,True,-1.000000,1.000000,120.099998,-42.450001,18.650000,620.930969,-342.170990,0.141000,0.000672,0.002884,-0.242192,0.970224,0.000410,0.000000,-2.296510
41,True,True,-1.000000,1.000000,125.329994,-45.439999,18.650000,627.920959,-359.221008,0.141000,0.000704,0.002878,-0.251536,0.967843,0.000410,0.000000,-2.314610
42,True,True,-1.000000,1.000000,130.619995,-48.579998,18.650000,634.290955,-376.640991,0.141000,0.000736,0.002873,-0.260928,0.965354,0.000410,0.000000,-2.331410
43,True,True,-1.000000,1.000000,135.949997,-51.869999,18.650000,640.030945,-394.420990,0.141000,0.000769,0.002867,-0.270353,0.962757,0.000410,0.000000,-2.346810
44,True,True,-1.000000,1.000000,141.330002,-55.309998,18.650000,645.130981,-412.531006,0.141000,0.000801,0.002862,-0.279810,0.960051,0.000410,0.000000,-2.360910
45,True,True,-1.000000,1.000000,146.739990,-58.899998,18.650000,649.580933,-430.960999,0.141000,0.000833,0.002857,-0.289294,0.957236,0.000310,0.000000,-2.373610
46,True,True,-1.000000,1.000000,152.179993,-62.649998,18.650000,653.380981,-449.681000,0.141000,0.000860,0.002846,-0.298795,0.954313,0.000210,-0.000110,-2.385110
47,True,True,-1.000000,1.000000,157.649994,-66.559998,18.650000,656.510986,-468.681000,0.141000,0.000887,0.002835,-0.308306,0.951283,0.000210,-0.000110,-2.395310
48,True,True,-1.000000,1.000000,163.139999,-70.629997,18.650000,658.970947,-487.931000,0.141000,0.000914,0.002824,-0.317822,0.948146,0.000210,-0.000110,-2.404210
49,True,True,-1.000000,1.000000,168.649994,-74.860001,18.650000,660.760986,-507.411011,0.141000,0.000947,0.002813,-0.327333,0.944904,0.000210,-0.000110,-2.411910
50,True,True,-1.000000,1.000000,174.169998,-79.250000,18.650000,661.870972,-527.100952,0.141000,0.000974,0.002803,-0.336839,0.941558,0.000210,-0.000110,-2.418410
51,True,True,-1.000000,1.000000,179.690002,-83.809998,18.650000,662.300964,-546.970947,0.141000,0.001001,0.002792,-0.346328,0.938109,0.000210,-0.000110,-2.423810
52,True,True,-1.000000,1.000000,185.209991,-88.540001,18.650000,662.050964,-567.000977,0.141000,0.001028,0.002781,-0.355802,0.934557,0.000310,-0.000110,-2.428010
53,True,True,-1.000000,1.000000,190.720001,-93.430000,18.650000,661.120972,-587.170959,0.141000,0.001060,0.002770,-0.365248,0.930906,0.000310,-0.000110,-2.431110
54,True,True,-1.000000,1.000000,196.220001,-98.489998,18.650000,659.500977,-607.460938,0.141000,0.001092,0.002759,-0.374667,0.927155,0.000310,-0.000110,-2.433210
55,True,True,-1.000000,1.000000,201.699997,-103.720001,18.650000,657.200989,-627.840942,0.141000,0.001119,0.002749,-0.384054,0.923306,0.000310,-0.000110,-2.434210
56,True,True,-1.000000,1.000000,207.149994,-109.119995,18.650000,654.220947,-648.290955,0.141000,0.001146,0.002738,-0.393398,0.919363,0.000310,-0.000110,-2.434210
57,True,True,-1.000000,1.000000,212.569992,-114.689995,18.650000,650.570984,-668.790955,0.141000,0.001173,0.002727,-0.402699,0.915328,0.000310,-0.000110,-2.433210
58,True,True,-1.000000,1.000000,217.959991,-120.430000,18.650000,646.250977,-689.310974,0.141000,0.001200,0.002716,-0.411951,0.911201,0.000310,-0.000110,-2.431210
59,True,True,-1.000000,1.000000,223.299988,-126.349998,18.650000,641.270935,-709.830933,0.141000,0.001227,0.002705,-0.421149,0.906987,0.000310,-0.000110,-2.428310
60,True,True,-1.000000,1.000000,228.599991,-132.440002,18.650000,635.630981,-730.330933,0.141000,0.001254,0.002695,-0.430288,0.902687,0.000310,-0.000210,-2.424410
61,True,True,-1.000000,1.000000,233.839996,-138.699997,18.650000,629.340942,-750.790955,0.141000,0.001281,0.002684,-0.439367,0.898303,0.000310,-0.000210,-2.419710
62,True,True,-1.000000,1.000000,239.029999,-145.129990,18.650000,622.400940,-771.180969,0.141000,0.001308,0.002668,-0.448382,0.893837,0.000310,-0.000310,-2.414110
63,True,True,-1.000000,1.000000,244.149994,-151.729996,18.650000,614.830933,-791.490967,0.141000,0.001335,0.002652,-0.457327,0.889294,0.000310,-0.000310,-2.407610
64,True,True,-1.000000,1.000000,249.209991,-158.489990,18.650000,606.630981,-811.690979,0.141000,0.001362,0.002635,-0.466201,0.884674,0.000310,-0.000310,-2.400610
65,True,True,-1.000000,1.000000,254.189987,-165.419998,18.650000,597.730957,-831.800964,0.141000,0.001389,0.002619,-0.475006,0.879978,0.000310,-0.000310,-2.394910
66,True,True,-1.000000,1.000000,259.089996,-172.519989,18.650000,588.150940,-851.780945,0.141000,0.001416,0.002603,-0.483745,0.875204,0.000310,-0.000310,-2.390310
67,True,True,-1.000000,1.000000,263.910004,-179.779999,18.650000,577.900940,-871.610962,0.141000,0.001443,0.002587,-0.492425,0.870350,0.000410,-0.000210,-2.386510
68,True,True,-1.000000,1.000000,268.639984,-187.209991,18.650000,567.010986,-891.270935,0.141000,0.001470,0.002571,-0.501046,0.865415,0.000410,-0.000210,-2.383410
69,True,True,-1.000000,1.000000,273.269989,-194.800003,18.650000,555.480957,-910.740967,0.141000,0.001497,0.002554,-0.509608,0.860402,0.000410,-0.000110,-2.380910
70,True,True,-1.000000,1.000000,277.799988,-202.550003,18.650000,543.330994,-930.000977,0.141000,0.001524,0.002538,-0.518110,0.855309,0.000410,-0.000110,-2.378810
71,True,True,-1.000000,1.000000,282.220001,-210.459991,18.650000,530.570984,-949.030945,0.141000,0.001551,0.002522,-0.526558,0.850134,0.000410,0.000000,-2.377110
72,True,True,-1.000000,1.000000,286.529999,-218.529999,18.650000,517.210938,-967.820984,0.141000,0.001578,0.002506,-0.534947,0.844880,0.000410,0.000000,-2.375610
73,True,True,-1.000000,1.000000,290.720001,-226.750000,18.650000,503.270996,-986.350952,0.141000,0.001605,0.002490,-0.543277,0.839548,0.000410,0.000000,-2.374310
74,True,True,-1.000000,1.000000,294.790009,-235.119995,18.650000,488.751007,-1004.600952,0.141000,0.001632,0.002474,-0.551553,0.834135,0.000410,0.000000,-2.373110
75,True,True,-1.000000,1.000000,298.739990,-243.639999,18.650000,473.661011,-1022.550964,0.141000,0.001659,0.002457,-0.559769,0.828644,0.000410,0.000000,-2.371910
76,True,True,-1.000000,1.000000,302.559998,-252.309998,18.650000,458.010986,-1040.200928,0.141000,0.001686,0.002441,-0.567926,0.823074,0.000310,0.000000,-2.370810
77,True,True,-1.000000,1.000000,306.239990,-261.119995,18.650000,441.811005,-1057.520996,0.141000,0.001713,0.002425,-0.576024,0.817428,0.000310,0.000000,-2.369610
78,True,True,-1.000000,1.000000,309.779999,-270.070007,18.650000,425.070984,-1074.510986,0.141000,0.001740,0.002409,-0.584062,0.811704,0.000210,0.000000,-2.368410
79,True,True,-1.000000,1.000000,313.179993,-279.160004,18.650000,407.800995,-1091.140991,0.141000,0.001761,0.002393,-0.592041,0.805903,0.000110,0.000000,-2.367110
80,True,True,-1.000000,1.000000,316.429993,-288.389984,18.650000,390.010986,-1107.411011,0.141000,0.001783,0.002376,-0.599955,0.800028,0.000110,0.000000,-2.365710
81,True,True,-1.000000,1.000000,319.529999,-297.750000,18.650000,371.721008,-1123.300903,0.141000,0.001805,0.002360,-0.607804,0.794081,0.000110,0.000000,-2.364110
82,True,True,-1.000000,1.000000,322.470001,-307.239990,18.650000,352.931000,-1138.800903,0.141000,0.001826,0.002344,-0.615589,0.788062,0.000110,0.000000,-2.362410
83,True,True,-1.000000,1.000000,325.250000,-316.859985,18.650000,333.661011,-1153.890991,0.141000,0.001848,0.002328,-0.623309,0.781970,0.000110,0.000000,-2.360510
84,True,True,-1.000000,1.000000,327.869995,-326.600006,18.650000,313.920990,-1168.570923,0.141000,0.001869,0.002312,-0.630964,0.775806,0.000110,0.000000,-2.358510
85,True,True,-1.000000,1.000000,330.320007,-336.459991,18.650000,293.721008,-1182.820923,0.141000,0.001891,0.002295,-0.638549,0.769575,0.000110,0.000000,-2.356310
86,True,True,-1.000000,1.000000,332.600006,-346.429993,18.650000,273.071014,-1196.630981,0.141000,0.001912,0.002279,-0.646064,0.763277,0.000110,0.000000,-2.353910
87,True,True,-1.000000,1.000000,334.699982,-356.509979,18.650000,251.990997,-1209.990967,0.141000,0.001934,0.002263,-0.653509,0.756913,0.000110,0.000000,-2.351310
88,True,True,-1.000000,1.000000,336.619995,-366.699982,18.650000,230.490997,-1222.880981,0.141000,0.001956,0.002242,-0.660884,0.750482,0.000110,-0.000110,-2.348610
89,True,True,-1.000000,1.000000,338.359985,-376.989990,18.650000,208.591003,-1235.300903,0.141000,0.001977,0.002220,-0.668189,0.743986,0.000110,-0.000110,-2.345710
90,True,True,-1.000000,1.000000,339.910004,-387.380005,18.650000,186.291000,-1247.240967,0.141000,0.001999,0.002198,-0.675418,0.737429,0.000110,-0.000110,-2.342610
91,True,True,-1.000000,1.000000,341.269989,-397.869995,18.650000,163.621002,-1258.690918,0.141000,0.002020,0.002177,-0.682571,0.730813,0.000110,-0.000110,-2.339310
92,True,True,-1.000000,1.000000,342.440002,-408.449982,18.650000,140.591003,-1269.640991,0.141000,0.002042,0.002155,-0.689649,0.724138,0.000110,-0.000110,-2.335810
93,True,True,-1.000000,1.000000,343.419983,-419.119995,18.650000,117.210999,-1280.080933,0.141000,0.002064,0.002134,-0.696652,0.717403,0.000110,-0.000110,-2.332110
94,True,True,-1.000000,1.000000,344.199982,-429.869995,18.650000,93.500999,-1290.010986,0.141000,0.002085,0.002112,-0.703579,0.710611,0.000210,-0.000110,-2.328210
95,True,True,-1.000000,1.000000,344.779999,-440.699982,18.650000,69.471001,-1299.410889,0.141000,-0.002107,-0.002090,0.710430,-0.703762,0.000210,-0.000110,-2.324110
96,True,True,-1.000000,1.000000,345.160004,-451.599976,18.650000,45.130997,-1308.281006,0.141000,-0.002128,-0.002069,0.717199,-0.696862,0.000210,-0.000110,-2.319810
97,True,True,-1.000000,1.000000,345.329987,-462.569977,18.650000,20.511000,-1316.620972,0.141000,-0.002150,-0.002047,0.723891,-0.689908,0.000210,-0.000110,-2.315410
98,True,True,-1.000000,1.000000,345.289978,-473.609985,18.650000,-4.371000,-1324.410889,0.141000,-0.002171,-0.002026,0.730501,-0.682906,0.000210,-0.000110,-2.310810
99,True,True,-1.000000,1.000000,345.039978,-484.709991,18.650000,-29.511000,-1331.660889,0.141000,-0.002193,-0.002004,0.737029,-0.675855,0.000210,0.000000,-2.306010
100,True,True,-1.000000,1.000000,344.579987,-495.859985,18.650000,-54.890999,-1338.350952,0.141000,-0.002215,-0.001983,0.743477,-0.668755,0.000210,0.000000,-2.301010
101,True,True,-1.000000,1.000000,343.910004,-507.059998,18.650000,-80.500999,-1344.490967,0.141000,-0.002236,-0.001961,0.749840,-0.661612,0.000210,0.000000,-2.295910
102,True,True,-1.000000,1.000000,343.019989,-518.309998,18.650000,-106.310997,-1350.070923,0.141000,-0.002258,-0.001939,0.756120,-0.654426,0.000210,0.000000,-2.290610
103,True,True,-1.000000,1.000000,341.919983,-529.599976,18.650000,-132.311005,-1355.080933,0.141000,-0.002274,-0.001918,0.762317,-0.647197,0.000210,0.000000,-2.285110
104,True,True,-1.000000,1.000000,340.600006,-540.929993,18.650000,-158.490997,-1359.531006,0.141000,-0.002290,-0.001896,0.768427,-0.639930,0.000210,0.000000,-2.279510
105,True,True,-1.000000,1.000000,339.059998,-552.289978,18.650000,-184.831009,-1363.410889,0.141000,-0.002306,-0.001875,0.774456,-0.632621,0.000210,0.000000,-2.273710
106,True,True,-1.000000,1.000000,337.299988,-563.679993,18.650000,-211.311005,-1366.720947,0.141000,-0.002322,-0.001853,0.780401,-0.625273,0.000210,0.000000,-2.267710
107,True,True,-1.000000,1.000000,335.320007,-575.089966,18.650000,-237.921005,-1369.460938,0.141000,-0.002339,-0.001832,0.786257,-0.617893,0.000210,0.000000,-2.261610
