frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,False,False,1.000000,0.110000,0.000000,2.440000,895.809998,0.000000,-0.261000,-3.911000,-0.508712,0.508769,-0.491077,-0.491131,0.228210,0.000000,-0.000210,0.000000,2.580000,1085.089966,0.000000,-4.671000,157.841003,-0.006892,0.000003,0.000003,0.999976,-0.091410,0.000000,0.000000
19,False,False,1.000000,0.110000,0.000000,2.440000,895.739990,0.000000,-0.281000,-8.771000,-0.509192,0.509246,-0.490580,-0.490634,0.234710,0.000000,-0.000210,0.000000,2.540000,1086.359985,0.000000,-4.661000,152.380997,-0.007275,0.000003,0.000003,0.999973,-0.091410,0.000000,0.000000
20,False,False,1.000000,0.110000,0.000000,2.440000,895.630005,0.000000,-0.301000,-13.631001,-0.509683,0.509742,-0.490068,-0.490122,0.241110,0.000000,-0.000210,0.000000,2.500000,1087.579956,0.000000,-4.651000,146.921005,-0.007658,0.000003,0.000003,0.999971,-0.091410,0.000000,0.000000
21,False,False,1.000000,0.110000,0.000000,2.440000,895.479980,0.000000,-0.321000,-18.490999,-0.510185,0.510251,-0.489539,-0.489598,0.247410,0.000000,-0.000210,0.000000,2.460000,1088.760010,0.000000,-4.641000,141.460999,-0.008041,0.000003,0.000003,0.999968,-0.091410,0.000000,0.000000
22,True,True,1.000000,0.225000,0.000000,2.430000,895.349976,0.000000,-0.681000,-15.091000,-0.510730,0.510792,-0.488973,-0.489032,0.266510,0.000000,-0.000210,0.000000,2.420000,1089.890015,0.000000,-4.631000,136.001007,-0.008424,0.000003,0.000003,0.999964,-0.091410,0.000000,0.000000
23,True,True,1.000000,0.225000,0.000000,2.420000,895.250000,0.000000,-1.061000,-11.691000,-0.511313,0.511375,-0.488363,-0.488422,0.285210,0.000000,-0.000210,0.000000,2.380000,1090.979980,0.000000,-4.621000,130.541000,-0.008807,0.000003,0.000003,0.999961,-0.091410,0.000000,0.000000
24,True,True,1.000000,0.225000,0.000000,2.410000,895.179993,0.000000,-1.461000,-8.291000,-0.511928,0.511995,-0.487716,-0.487775,0.303610,0.000000,-0.000210,0.000000,2.340000,1092.020020,0.000000,-4.611000,125.090996,-0.009190,0.000003,0.000003,0.999958,-0.091410,0.000000,0.000000
25,True,True,1.000000,0.225000,0.000000,2.390000,895.139954,0.000000,-1.881000,-4.891000,-0.512580,0.512646,-0.487031,-0.487090,0.321710,0.000000,-0.000210,0.000000,2.300000,1093.020020,0.000000,-4.601000,119.640999,-0.009573,0.000003,0.000003,0.999954,-0.091410,0.000000,0.000000
26,True,True,1.000000,0.225000,0.000000,2.370000,895.130005,0.000000,-2.331000,-1.491000,-0.513271,0.513332,-0.486302,-0.486367,0.339410,0.000000,-0.000210,0.000000,2.260000,1093.969971,0.000000,-4.591000,114.190994,-0.009956,0.000003,0.000003,0.999950,-0.091410,0.000000,0.000000
27,True,True,1.000000,0.225000,0.000000,2.350000,895.149963,0.000000,-2.801000,1.891000,-0.513994,0.514054,-0.485536,-0.485606,0.356810,0.000000,-0.000210,0.000000,2.220000,1094.880005,0.000000,-4.581000,108.740997,-0.010339,0.000003,0.000003,0.999947,-0.091410,0.000000,0.000000
