frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
1,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
2,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
3,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
4,True,True,0.000000,0.000000,0.170000,0.000000,19.480000,-0.631000,0.000000,295.950989,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000110,0.000000
5,False,False,0.000000,0.000000,0.170000,0.000000,21.980000,0.281000,0.000000,299.971008,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000110,0.000000
6,False,False,0.000000,0.000000,0.170000,0.000000,24.510000,0.031000,0.000000,303.990997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
7,False,False,0.000000,0.000000,0.170000,0.000000,26.980000,0.000000,0.000000,295.860992,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
8,False,False,0.000000,0.000000,0.170000,0.000000,29.379999,0.000000,0.000000,287.730988,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
9,False,False,0.000000,0.000000,0.170000,0.000000,31.709999,0.000000,0.000000,279.601013,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
10,False,False,0.000000,0.000000,0.170000,0.000000,33.969997,0.000000,0.000000,271.471008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
11,False,False,0.000000,0.000000,0.170000,0.000000,36.189999,0.000000,0.000000,266.050995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
12,False,False,0.000000,0.000000,0.170000,0.000000,38.360001,0.000000,0.000000,260.631012,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
13,False,False,0.000000,0.000000,0.170000,0.000000,40.489998,0.000000,0.000000,255.210999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
14,False,False,0.000000,0.000000,0.170000,0.000000,42.570000,0.000000,0.000000,249.791000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
15,False,False,0.000000,0.000000,0.170000,0.000000,44.610001,0.000000,0.000000,244.371002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
16,False,False,0.000000,0.000000,0.170000,0.000000,46.599998,0.000000,0.000000,238.951004,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
17,False,False,0.000000,0.000000,0.170000,0.000000,48.549999,0.000000,0.000000,233.531006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
18,False,False,0.000000,0.000000,0.170000,0.000000,50.450001,0.000000,0.000000,228.111008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
19,False,False,0.000000,0.000000,0.170000,0.000000,52.309998,0.000000,0.000000,222.691010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
20,False,False,0.000000,0.000000,0.170000,0.000000,54.119999,0.000000,0.000000,217.270996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
21,False,False,0.000000,0.000000,0.170000,0.000000,55.889999,0.000000,0.000000,211.850998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
22,False,False,0.000000,0.000000,0.170000,0.000000,57.610001,0.000000,0.000000,206.431000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
23,False,False,0.000000,0.000000,0.170000,0.000000,59.289997,0.000000,0.000000,201.011002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
24,False,False,0.000000,0.000000,0.170000,0.000000,60.919998,0.000000,0.000000,195.591003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
25,False,False,0.000000,0.000000,0.170000,0.000000,62.500000,0.000000,0.000000,190.171005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
26,False,False,0.000000,0.000000,0.170000,0.000000,64.040001,0.000000,0.000000,184.751007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
