frame,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
75,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.700877,0.700849,-0.093765,-0.093759,0.000000,-5.500010,0.000000
76,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.702875,0.702845,-0.077386,-0.077381,0.000000,-5.500010,0.000000
77,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.704490,0.704458,-0.060964,-0.060964,0.000000,-5.500010,0.000000
78,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.705721,0.705688,-0.044510,-0.044510,0.000000,-5.500010,0.000000
79,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.706567,0.706535,-0.028034,-0.028034,0.000000,-5.500010,0.000000
80,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.707026,0.706999,-0.011542,-0.011542,0.000000,-5.500010,0.000000
81,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.707104,0.707074,0.004955,0.004955,0.000000,-5.500010,0.000000
82,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.706796,0.706767,0.021452,0.021452,0.000000,-5.500010,0.000000
83,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.706100,0.706076,0.037939,0.037934,0.000000,-5.500010,0.000000
84,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.705025,0.704997,0.054404,0.054399,0.000000,-5.500010,0.000000
85,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.703565,0.703535,0.070837,0.070831,0.000000,-5.500010,0.000000
86,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.701721,0.701690,0.087232,0.087226,0.000000,-5.500010,0.000000
87,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.699498,0.699462,0.103578,0.103572,0.000000,-5.500010,0.000000
88,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.696889,0.696857,0.119870,0.119865,0.000000,-5.500010,0.000000
89,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.693905,0.693868,0.136098,0.136092,0.000000,-5.500010,0.000000
90,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.690543,0.690502,0.152250,0.152244,0.000000,-5.500010,0.000000
91,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.686802,0.686763,0.168321,0.168310,0.000000,-5.500010,0.000000
92,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.682689,0.682647,0.184300,0.184290,0.000000,-5.500010,0.000000
93,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.678201,0.678164,0.200177,0.200167,0.000000,-5.500010,0.000000
94,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.673346,0.673308,0.215946,0.215936,0.000000,-5.500010,0.000000
95,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.668126,0.668086,0.231597,0.231586,0.000000,-5.500010,0.000000
96,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.662538,0.662502,0.247123,0.247112,0.000000,-5.500010,0.000000
97,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.656590,0.656557,0.262515,0.262504,0.000000,-5.500010,0.000000
98,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.650286,0.650256,0.277760,0.277750,0.000000,-5.500010,0.000000
99,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.643629,0.643599,0.292855,0.292844,0.000000,-5.500010,0.000000
100,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.636620,0.636591,0.307793,0.307782,0.000000,-5.500010,0.000000
101,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.629262,0.629238,0.322564,0.322553,0.000000,-5.500010,0.000000
102,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.621567,0.621540,0.337157,0.337146,0.000000,-5.500010,0.000000
103,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.613530,0.613507,0.351567,0.351556,0.000000,-5.500010,0.000000
104,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.605159,0.605139,0.365788,0.365771,0.000000,-5.500010,0.000000
105,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.596455,0.596443,0.379809,0.379792,0.000000,-5.500010,0.000000
106,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.587436,0.587417,0.393619,0.393603,0.000000,-5.500010,0.000000
107,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.578090,0.578074,0.407220,0.407203,0.000000,-5.500010,0.000000
108,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.568435,0.568417,0.420593,0.420577,0.000000,-5.500010,0.000000
109,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.558470,0.558447,0.433741,0.433724,0.000000,-5.500010,0.000000
110,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.548202,0.548175,0.446650,0.446634,0.000000,-5.500010,0.000000
111,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.537632,0.537607,0.459317,0.459301,0.000000,-5.500010,0.000000
112,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.526766,0.526747,0.471736,0.471720,0.000000,-5.500010,0.000000
113,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.515621,0.515596,0.483896,0.483880,0.000000,-5.500010,0.000000
114,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.504198,0.504165,0.495792,0.495776,0.000000,-5.500010,0.000000
115,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.492496,0.492463,0.507417,0.507401,0.000000,-5.500010,0.000000
116,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.480524,0.480492,0.518768,0.518752,0.000000,-5.500010,0.000000
117,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.468289,0.468257,0.529839,0.529822,0.000000,-5.500010,0.000000
118,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.455800,0.455768,0.540622,0.540601,0.000000,-5.500010,0.000000
119,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.443063,0.443030,0.551108,0.551089,0.000000,-5.500010,0.000000
120,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.430083,0.430050,0.561299,0.561274,0.000000,-5.500010,0.000000
121,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.416871,0.416839,0.571177,0.571157,0.000000,-5.500010,0.000000
122,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.403432,0.403400,0.580746,0.580728,0.000000,-5.500010,0.000000
123,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.389773,0.389740,0.590003,0.589980,0.000000,-5.500010,0.000000
124,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.375903,0.375870,0.598933,0.598914,0.000000,-5.500010,0.000000
125,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.361828,0.361795,0.607541,0.607518,0.000000,-5.500010,0.000000
126,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.347553,0.347521,0.615820,0.615794,0.000000,-5.500010,0.000000
127,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.333090,0.333057,0.623762,0.623735,0.000000,-5.500010,0.000000
128,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.318448,0.318416,0.631361,0.631337,0.000000,-5.500010,0.000000
129,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.303634,0.303601,0.638617,0.638593,0.000000,-5.500010,0.000000
130,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.288652,0.288620,0.645526,0.645503,0.000000,-5.500010,0.000000
131,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.273515,0.273482,0.652082,0.652063,0.000000,-5.500010,0.000000
132,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.258226,0.258193,0.658285,0.658268,0.000000,-5.500010,0.000000
133,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.242796,0.242764,0.664133,0.664110,0.000000,-5.500010,0.000000
134,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.227238,0.227205,0.669618,0.669591,0.000000,-5.500010,0.000000
135,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.211555,0.211523,0.674735,0.674711,0.000000,-5.500010,0.000000
136,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.195754,0.195721,0.679487,0.679464,0.000000,-5.500010,0.000000
137,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.179850,0.179817,0.683869,0.683844,0.000000,-5.500010,0.000000
138,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.163843,0.163816,0.687880,0.687853,0.000000,-5.500010,0.000000
139,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.147751,0.147724,0.691513,0.691489,0.000000,-5.500010,0.000000
140,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.131577,0.131550,0.694772,0.694747,0.000000,-5.500010,0.000000
141,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.115333,0.115306,0.697652,0.697628,0.000000,-5.500010,0.000000
142,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.099025,0.098998,0.700155,0.700126,0.000000,-5.500010,0.000000
143,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.082662,0.082635,0.702274,0.702246,0.000000,-5.500010,0.000000
144,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.066256,0.066229,0.704011,0.703983,0.000000,-5.500010,0.000000
145,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.049813,0.049786,0.705365,0.705337,0.000000,-5.500010,0.000000
146,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.033343,0.033316,0.706333,0.706308,0.000000,-5.500010,0.000000
147,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.016856,0.016829,0.706921,0.706891,0.000000,-5.500010,0.000000
148,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000359,0.000332,0.707123,0.707091,0.000000,-5.500010,0.000000
149,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.016139,-0.016166,0.706937,0.706907,0.000000,-5.500010,0.000000
150,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.032625,-0.032652,0.706371,0.706335,0.000000,-5.500010,0.000000
151,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.049096,-0.049122,0.705418,0.705380,0.000000,-5.500010,0.000000
152,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.065539,-0.065566,0.704081,0.704043,0.000000,-5.500010,0.000000
153,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.081950,-0.081972,0.702360,0.702322,0.000000,-5.500010,0.000000
154,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.098312,-0.098334,0.700257,0.700218,0.000000,-5.500010,0.000000
155,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.114621,-0.114643,0.697776,0.697731,0.000000,-5.500010,0.000000
156,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.130870,-0.130892,0.694911,0.694866,0.000000,-5.500010,0.000000
157,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.147049,-0.147065,0.691668,0.691624,0.000000,-5.500010,0.000000
