frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
30,False,False,False,False,0.000000,1.000000,0.710000,1.230000,107.489998,2.961000,10.501000,352.681000,-0.275586,0.008214,0.002322,0.961239,-4.866410,0.000000,0.082510
31,False,False,False,False,0.000000,1.000000,0.730000,1.320000,110.379997,2.961000,10.501000,347.260986,-0.295520,0.008165,0.002490,0.955298,-4.991510,0.000000,0.084610
32,False,False,False,False,0.000000,1.000000,0.750000,1.410000,113.229996,2.961000,10.501000,341.841003,-0.315799,0.008111,0.002662,0.948788,-5.111610,0.000000,0.086610
33,False,False,False,False,0.000000,1.000000,0.770000,1.500000,116.029999,2.961000,10.501000,336.420990,-0.336391,0.008052,0.002835,0.941684,-5.226910,0.000000,0.088510
34,False,False,False,False,0.000000,1.000000,0.790000,1.590000,118.790001,2.961000,10.501000,331.001007,-0.357253,0.007987,0.003008,0.933969,-5.337610,0.000000,0.090410
35,False,False,False,False,0.000000,1.000000,0.810000,1.680000,121.500000,2.961000,10.501000,325.580994,-0.378347,0.007917,0.003186,0.925625,-5.443910,0.000000,0.092210
36,False,False,False,False,0.000000,1.000000,0.830000,1.770000,124.169998,2.961000,10.501000,320.161011,-0.399635,0.007841,0.003364,0.916635,-5.499210,0.000000,0.093110
37,False,False,False,False,0.000000,1.000000,0.850000,1.860000,126.790001,2.961000,10.501000,314.740997,-0.420912,0.007760,0.003542,0.907062,-5.499210,0.000000,0.093110
38,False,False,False,False,0.000000,1.000000,0.870000,1.950000,129.369995,2.961000,10.501000,309.321014,-0.441957,0.007674,0.003720,0.896996,-5.499210,0.000000,0.093110
39,False,False,False,False,0.000000,1.000000,0.890000,2.040000,131.899994,2.961000,10.501000,303.901001,-0.462765,0.007582,0.003892,0.886440,-5.499210,0.000000,0.093110
40,False,False,False,False,0.000000,1.000000,0.910000,2.130000,134.389999,2.961000,10.501000,298.480988,-0.483319,0.007491,0.004065,0.875403,-5.499210,0.000000,0.093110
41,False,False,False,False,0.000000,1.000000,0.930000,2.220000,136.830002,2.961000,10.501000,293.061005,-0.503609,0.007394,0.004238,0.863890,-5.499210,0.000000,0.093110
42,False,False,False,False,0.000000,1.000000,0.950000,2.310000,139.229996,2.961000,10.501000,287.640991,-0.523629,0.007291,0.004405,0.851904,-5.499210,0.000000,0.093110
43,False,False,False,False,0.000000,1.000000,0.970000,2.400000,141.580002,2.961000,10.501000,282.221008,-0.543363,0.007183,0.004572,0.839454,-5.499210,0.000000,0.093110
44,False,False,False,False,0.000000,1.000000,0.990000,2.490000,143.889999,2.961000,10.501000,276.800995,-0.562801,0.007075,0.004734,0.826549,-5.499210,0.000000,0.093110
45,False,False,False,False,0.000000,1.000000,1.010000,2.580000,146.149994,2.961000,10.501000,271.381012,-0.581931,0.006962,0.004896,0.813194,-5.499210,0.000000,0.093110
46,False,False,False,False,0.000000,1.000000,1.030000,2.670000,148.369995,2.961000,10.501000,265.960999,-0.600743,0.006843,0.005052,0.799397,-5.499210,0.000000,0.093110
47,False,False,False,False,0.000000,1.000000,1.050000,2.760000,150.539993,2.961000,10.501000,260.541016,-0.619231,0.006725,0.005209,0.785163,-5.499210,0.000000,0.093110
48,False,False,False,False,0.000000,1.000000,1.070000,2.850000,152.669998,2.961000,10.501000,255.121002,-0.637379,0.006601,0.005360,0.770504,-5.499210,0.000000,0.093110
49,False,False,False,False,0.000000,1.000000,1.090000,2.940000,154.750000,2.961000,10.501000,249.701004,-0.655182,0.006471,0.005511,0.755424,-5.499210,0.000000,0.093110
50,False,False,False,False,0.000000,1.000000,1.110000,3.030000,156.789993,2.961000,10.501000,244.281006,-0.672629,0.006342,0.005656,0.739932,-5.499210,0.000000,0.093110
