frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
36,0.500000,29.920000,0.000000,18.779999,206.951004,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
37,0.500000,31.689999,0.000000,18.779999,212.770996,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
38,0.500000,33.509998,0.000000,18.779999,218.570999,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
39,0.500000,35.380001,0.000000,18.779999,224.341003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
40,0.500000,37.299999,0.000000,18.779999,230.091003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
41,0.500000,39.270000,0.000000,18.779999,235.811005,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
42,0.500000,41.279999,0.000000,18.779999,241.511002,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
43,0.500000,43.340000,0.000000,18.779999,247.181000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
44,0.500000,45.450001,0.000000,18.779999,252.831009,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
45,0.500000,47.599998,0.000000,18.779999,258.450989,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
46,0.500000,49.799999,0.000000,18.779999,264.050995,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
47,0.500000,52.049999,0.000000,18.779999,269.621002,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
48,0.500000,54.340000,0.000000,18.779999,275.170990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
49,0.500000,56.680000,0.000000,18.779999,280.700989,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
50,0.500000,59.070000,0.000000,18.779999,286.200989,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
51,0.500000,61.500000,0.000000,18.779999,291.681000,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
52,0.500000,63.980000,0.000000,18.779999,297.140991,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
53,0.500000,66.500000,0.000000,18.779999,302.571014,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
54,0.500000,69.070000,0.000000,18.779999,307.980988,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
55,0.500000,71.680000,0.000000,18.779999,313.360992,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
56,0.500000,74.339996,0.000000,18.779999,318.721008,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
57,0.500000,77.040001,0.000000,18.779999,324.061005,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
58,0.500000,79.779999,0.000000,18.779999,329.381012,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
59,0.500000,82.570000,0.000000,18.779999,334.670990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
60,0.500000,85.400002,0.000000,18.779999,339.941010,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
61,0.500000,88.279999,0.000000,18.779999,345.191010,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
62,0.500000,91.199997,0.000000,18.779999,350.411011,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
63,0.500000,94.159996,0.000000,18.779999,355.610992,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
64,0.500000,97.169998,0.000000,18.779999,360.790985,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
65,0.500000,100.220001,0.000000,18.779999,365.950989,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
66,0.500000,103.309998,0.000000,18.779999,371.080994,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
67,0.500000,106.439995,0.000000,18.779999,376.191010,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
68,0.500000,109.619995,0.000000,18.779999,381.281006,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
69,0.500000,112.839996,0.000000,18.779999,386.351013,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
70,0.500000,116.099998,0.000000,18.779999,391.401001,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
71,0.500000,119.399994,0.000000,18.779999,396.420990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
72,0.500000,122.750000,0.000000,18.779999,401.420990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
73,0.500000,126.139999,0.000000,18.779999,406.401001,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000510,0.000000
74,0.500000,129.569992,0.000000,18.779999,411.360992,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
75,0.500000,133.039993,0.000000,18.779999,416.300995,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
76,0.500000,136.550003,0.000000,18.779999,421.221008,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
77,0.500000,140.099991,0.000000,18.779999,426.121002,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
78,0.500000,143.690002,0.000000,18.779999,430.990997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
79,0.500000,147.319992,0.000000,18.779999,435.841003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
80,0.500000,150.989990,0.000000,18.779999,440.670990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
81,0.500000,154.699997,0.000000,18.779999,445.480988,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
82,0.500000,158.449997,0.000000,18.779999,450.270996,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
83,0.500000,162.239990,0.000000,18.779999,455.040985,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
84,0.500000,166.069992,0.000000,18.779999,459.790985,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
85,0.500000,169.940002,0.000000,18.779999,464.520996,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
86,0.500000,173.849991,0.000000,18.779999,469.230988,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
87,0.500000,177.800003,0.000000,18.779999,473.920990,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
88,0.500000,181.789993,0.000000,18.779999,478.591003,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
89,0.500000,185.819992,0.000000,18.779999,483.240997,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
90,0.500000,189.889999,0.000000,18.779999,487.871002,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
91,0.500000,193.989990,0.000000,18.779999,492.480988,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
92,0.500000,198.129990,0.000000,18.779999,497.070984,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
93,0.500000,202.309998,0.000000,18.779999,501.640991,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
94,0.500000,206.529999,0.000000,18.779999,506.191010,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
95,0.500000,210.789993,0.000000,18.779999,510.721008,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
96,0.500000,215.080002,0.000000,18.779999,515.230957,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
97,0.500000,219.409988,0.000000,18.779999,519.720947,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
98,0.500000,223.779999,0.000000,18.779999,524.190979,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
99,0.500000,228.190002,0.000000,18.779999,528.640991,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
100,0.500000,232.629990,0.000000,18.779999,533.070984,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
101,0.500000,237.110001,0.000000,18.779999,537.480957,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
102,0.500000,241.629990,0.000000,18.779999,541.870972,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
103,0.500000,246.179993,0.000000,18.779999,546.240967,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
104,0.500000,250.769989,0.000000,18.779999,550.600952,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
105,0.500000,255.389999,0.000000,18.779999,554.940979,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
106,0.500000,260.049988,0.000000,18.779999,559.260986,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
107,0.500000,264.750000,0.000000,18.779999,563.560974,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
108,0.500000,269.479980,0.000000,18.779999,567.840942,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
109,0.500000,274.250000,0.000000,18.779999,572.100952,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
110,0.500000,279.049988,0.000000,18.779999,576.340942,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
111,0.500000,283.889984,0.000000,18.779999,580.570984,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
112,0.500000,288.759979,0.000000,18.779999,584.780945,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
113,0.500000,293.669983,0.000000,18.779999,588.970947,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
114,0.500000,298.609985,0.000000,18.779999,593.140991,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
115,0.500000,303.589996,0.000000,18.779999,597.290955,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
116,0.500000,308.600006,0.000000,18.779999,601.430969,0.000000,0.351000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000410,0.000000
