frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
19,True,True,1.000000,0.000000,-116.699997,988.690002,0.000000,558.320007,-48.419998,-0.353369,0.353374,0.612484,0.612471,-5.499900,0.000000,0.000000,0.000000,85.680000,996.529968,0.000000,863.630005,-29.639999,0.102785,-0.102779,0.699592,0.699602,2.917300,0.000000,0.000000
20,True,True,1.000000,0.000000,-112.009995,988.359985,0.000000,562.729980,-39.099998,-0.371668,0.371673,0.601557,0.601541,-5.499900,0.000000,0.000000,0.000000,92.879997,996.279968,0.000000,863.409973,-29.629999,0.111282,-0.111276,0.698292,0.698300,2.917300,0.000000,0.000000
21,True,True,1.000000,0.000000,-107.290001,988.079956,0.000000,566.669983,-33.299999,-0.389627,0.389638,0.590080,0.590066,-5.499900,0.000000,0.000000,0.000000,100.070000,996.029968,0.000000,863.190002,-29.619999,0.119762,-0.119757,0.696889,0.696894,2.917300,0.000000,0.000000
22,True,True,1.000000,0.000000,-102.540001,987.829956,0.000000,570.130005,-29.750000,-0.407236,0.407247,0.578070,0.578052,-5.499900,0.000000,0.000000,0.000000,107.259995,995.779968,0.000000,862.969971,-29.609999,0.128227,-0.128221,0.695384,0.695384,2.917300,0.000000,0.000000
23,True,True,1.000000,0.000000,-97.759995,987.599976,0.000000,573.089966,-27.639999,-0.424472,0.424483,0.565536,0.565514,-5.500000,0.000000,0.000000,0.000000,114.449997,995.529968,0.000000,862.750000,-29.599998,0.136670,-0.136664,0.693776,0.693771,2.917300,0.000000,0.000000
24,True,True,1.000000,0.000000,-92.959999,987.380005,0.000000,575.549988,-26.430000,-0.441326,0.441336,0.552482,0.552464,-5.499900,0.000000,0.000000,0.000000,121.639999,995.279968,0.000000,862.529968,-29.590000,0.145091,-0.145085,0.692063,0.692061,2.917300,0.000000,0.000000
25,True,True,1.000000,0.000000,-88.150002,987.169983,0.000000,577.489990,-25.779999,-0.457774,0.457785,0.538933,0.538912,-5.499900,0.000000,0.000000,0.000000,128.830002,995.029968,0.000000,862.309998,-29.580000,0.153491,-0.153485,0.690247,0.690248,2.917300,0.000000,0.000000
26,True,True,1.000000,0.000000,-83.330002,986.959961,0.000000,578.909973,-25.459999,-0.473808,0.473819,0.524894,0.524870,-5.499900,0.000000,0.000000,0.000000,136.009995,994.779968,0.000000,862.089966,-29.570000,0.161869,-0.161863,0.688333,0.688329,2.917300,0.000000,0.000000
27,True,True,1.000000,0.000000,-78.500000,986.750000,0.000000,579.799988,-25.320000,-0.489415,0.489426,0.510368,0.510352,-5.499900,0.000000,0.000000,0.000000,143.190002,994.529968,0.000000,861.869995,-29.559999,0.170225,-0.170220,0.686314,0.686310,2.917300,0.000000,0.000000
28,True,True,1.000000,0.000000,-73.669998,986.539978,0.000000,580.159973,-25.260000,-0.504574,0.504583,0.495387,0.495371,-5.499900,0.000000,0.000000,0.000000,150.369995,994.279968,0.000000,861.649963,-29.549999,0.178555,-0.178550,0.684195,0.684189,2.917300,0.000000,0.000000
29,True,True,1.000000,0.000000,-68.839996,986.329956,0.000000,579.989990,-25.230000,-0.519275,0.519287,0.479953,0.479936,-5.499900,0.000000,0.000000,0.000000,157.550003,994.029968,0.000000,861.429993,-29.539999,0.186858,-0.186852,0.681976,0.681967,2.917300,0.000000,0.000000
30,True,True,1.000000,0.000000,-64.010002,986.119995,0.000000,579.289978,-25.189999,-0.533507,0.533519,0.464081,0.464065,-5.499900,0.000000,0.000000,0.000000,164.729996,993.779968,0.000000,861.209961,-29.529999,0.195133,-0.195128,0.679653,0.679647,2.917300,0.000000,0.000000
31,True,True,1.000000,0.000000,-59.189999,985.909973,0.000000,578.059998,-25.100000,-0.547253,0.547265,0.447789,0.447772,-5.499900,0.000000,0.000000,0.000000,171.899994,993.529968,0.000000,860.989990,-29.519999,0.203382,-0.203377,0.677230,0.677225,2.917300,0.000000,0.000000
32,True,True,1.000000,0.000000,-54.389999,985.699951,0.000000,576.309998,-24.949999,-0.560503,0.560509,0.431092,0.431076,-5.499900,0.000000,0.000000,0.000000,179.069992,993.279968,0.000000,860.769958,-29.510000,0.211598,-0.211593,0.674711,0.674700,2.917300,0.000000,0.000000
33,True,True,1.000000,0.000000,-49.610001,985.489990,0.000000,574.039978,-24.740000,-0.573240,0.573250,0.414001,0.413985,-5.499900,0.000000,0.000000,0.000000,186.239990,993.029968,0.000000,860.549988,-29.500000,0.219782,-0.219777,0.672090,0.672078,2.917300,0.000000,0.000000
34,True,True,1.000000,0.000000,-44.849998,985.289978,0.000000,571.260010,-24.449999,-0.585459,0.585469,0.396533,0.396516,-5.499900,0.000000,0.000000,0.000000,193.409988,992.779968,0.000000,860.329956,-29.490000,0.227934,-0.227928,0.669368,0.669359,2.917300,0.000000,0.000000
35,True,True,1.000000,0.000000,-40.119999,985.089966,0.000000,567.979980,-24.080000,-0.597144,0.597153,0.378708,0.378692,-5.499900,0.000000,0.000000,0.000000,200.580002,992.529968,0.000000,860.109985,-29.480000,0.236053,-0.236048,0.666549,0.666538,2.917300,0.000000,0.000000
36,True,True,1.000000,0.000000,-35.419998,984.889954,0.000000,564.209961,-23.619999,-0.608284,0.608297,0.360538,0.360522,-5.499900,0.000000,0.000000,0.000000,207.750000,992.279968,0.000000,859.889954,-29.469999,0.244140,-0.244134,0.663629,0.663619,2.917300,0.000000,0.000000
37,True,True,1.000000,0.000000,-30.750000,984.699951,0.000000,559.969971,-23.080000,-0.618874,0.618889,0.342039,0.342023,-5.499900,0.000000,0.000000,0.000000,214.909988,992.029968,0.000000,859.669983,-29.459999,0.252189,-0.252183,0.660611,0.660603,2.917300,0.000000,0.000000
38,True,True,1.000000,0.000000,-26.119999,984.509949,0.000000,555.269958,-22.459999,-0.628903,0.628913,0.323233,0.323217,-5.499900,0.000000,0.000000,0.000000,222.069992,991.779968,0.000000,859.449951,-29.449999,0.260200,-0.260195,0.657496,0.657491,2.917300,0.000000,0.000000
39,True,True,1.000000,0.000000,-21.539999,984.329956,0.000000,550.130005,-21.770000,-0.638361,0.638369,0.304130,0.304114,-5.499900,0.000000,0.000000,0.000000,229.229996,991.529968,0.000000,859.229980,-29.439999,0.268174,-0.268168,0.654282,0.654281,2.917300,0.000000,0.000000
40,True,True,1.000000,0.000000,-17.000000,984.149963,0.000000,544.570007,-20.990000,-0.647235,0.647247,0.284752,0.284736,-5.500000,0.000000,0.000000,0.000000,236.389999,991.279968,0.000000,859.010010,-29.429998,0.276109,-0.276099,0.650973,0.650974,2.917300,0.000000,0.000000
41,True,True,1.000000,0.000000,-12.509999,983.979980,0.000000,538.609985,-20.139999,-0.655521,0.655537,0.265115,0.265099,-5.499900,0.000000,0.000000,0.000000,243.549988,991.029968,0.000000,858.789978,-29.420000,0.284002,-0.283991,0.647570,0.647569,2.917300,0.000000,0.000000
42,True,True,1.000000,0.000000,-8.070000,983.820007,0.000000,532.260010,-19.219999,-0.663215,0.663230,0.245235,0.245219,-5.499900,0.000000,0.000000,0.000000,250.699997,990.779968,0.000000,858.570007,-29.410000,0.291851,-0.291841,0.644071,0.644068,2.917300,0.000000,0.000000
43,True,True,1.000000,0.000000,-3.690000,983.669983,0.000000,525.559998,-18.230000,-0.670303,0.670321,0.225134,0.225118,-5.499900,0.000000,0.000000,0.000000,257.850006,990.539978,0.000000,858.349976,-29.400000,0.299658,-0.299647,0.640475,0.640475,2.917300,0.000000,0.000000
44,True,True,1.000000,0.000000,0.630000,983.529968,0.000000,518.519958,-17.170000,-0.676782,0.676804,0.204828,0.204812,-5.499900,0.000000,0.000000,0.000000,265.000000,990.299988,0.000000,858.130005,-29.389999,0.307421,-0.307410,0.636785,0.636785,2.917300,0.000000,0.000000
45,True,True,1.000000,0.000000,4.890000,983.399963,0.000000,511.179993,-16.049999,-0.682647,0.682670,0.184338,0.184322,-5.499900,0.000000,0.000000,0.000000,272.149994,990.059998,0.000000,857.909973,-29.379999,0.315141,-0.315130,0.632997,0.633003,2.917300,0.000000,0.000000
46,True,True,1.000000,0.000000,9.090000,983.279968,0.000000,503.549988,-14.870000,-0.687890,0.687916,0.163681,0.163665,-5.499900,0.000000,0.000000,0.000000,279.299988,989.820007,0.000000,857.690002,-29.369999,0.322812,-0.322802,0.629119,0.629126,2.917300,0.000000,0.000000
47,True,True,1.000000,0.000000,13.219999,983.169983,0.000000,495.669983,-13.630000,-0.692508,0.692539,0.142874,0.142857,-5.499900,0.000000,0.000000,0.000000,286.449982,989.579956,0.000000,857.469971,-29.359999,0.330435,-0.330424,0.625149,0.625157,2.917300,0.000000,0.000000
48,True,True,1.000000,0.000000,17.279999,983.070007,0.000000,487.569977,-12.340000,-0.696501,0.696530,0.121936,0.121920,-5.499900,0.000000,0.000000,0.000000,293.589996,989.339966,0.000000,857.250000,-29.349998,0.338010,-0.337999,0.621086,0.621094,2.917300,0.000000,0.000000
49,True,True,1.000000,0.000000,21.270000,982.979980,0.000000,479.269989,-11.010000,-0.699856,0.699892,0.100886,0.100870,-5.500000,0.000000,0.000000,0.000000,300.729980,989.099976,0.000000,857.029968,-29.340000,0.345535,-0.345525,0.616932,0.616938,2.917300,0.000000,0.000000
50,True,True,1.000000,0.000000,25.189999,982.899963,0.000000,470.799988,-9.639999,-0.702581,0.702613,0.079743,0.079727,-5.499900,0.000000,0.000000,0.000000,307.869995,988.859985,0.000000,856.809998,-29.330000,0.353007,-0.352996,0.612687,0.612694,2.917300,0.000000,0.000000
51,True,True,1.000000,0.000000,29.039999,982.829956,0.000000,462.199982,-8.240000,-0.704663,0.704699,0.058531,0.058515,-5.499900,0.000000,0.000000,0.000000,315.009979,988.619995,0.000000,856.589966,-29.320000,0.360430,-0.360420,0.608349,0.608357,2.917300,0.000000,0.000000
52,True,True,1.000000,0.000000,32.820000,982.769958,0.000000,453.500000,-6.810000,-0.706109,0.706140,0.037265,0.037249,-5.500000,0.000000,0.000000,0.000000,322.149994,988.380005,0.000000,856.369995,-29.309999,0.367800,-0.367789,0.603925,0.603928,2.917300,0.000000,0.000000
53,True,True,1.000000,0.000000,36.529999,982.729980,0.000000,444.720001,-5.350000,-0.706913,0.706941,0.015966,0.015950,-5.499900,0.000000,0.000000,0.000000,329.279999,988.139954,0.000000,856.149963,-29.299999,0.375115,-0.375104,0.599410,0.599410,2.917300,0.000000,0.000000
54,True,True,1.000000,0.000000,40.160000,982.699951,0.000000,435.899994,-3.870000,-0.707074,0.707099,-0.005349,-0.005365,-5.499900,0.000000,0.000000,0.000000,336.410004,987.899963,0.000000,855.929993,-29.289999,0.382371,-0.382360,0.594808,0.594807,2.917300,0.000000,0.000000
55,True,True,1.000000,0.000000,43.719997,982.679993,0.000000,427.079987,-2.380000,-0.706589,0.706619,-0.026658,-0.026675,-5.499900,0.000000,0.000000,0.000000,343.539978,987.659973,0.000000,855.709961,-29.279999,0.389573,-0.389562,0.590117,0.590115,2.917300,0.000000,0.000000
56,True,True,1.000000,0.000000,47.209999,982.669983,0.000000,418.279999,-0.880000,-0.705461,0.705497,-0.047946,-0.047957,-5.499900,0.000000,0.000000,0.000000,350.669983,987.419983,0.000000,855.489990,-29.269999,0.396716,-0.396705,0.585341,0.585335,2.917300,0.000000,0.000000
57,True,True,1.000000,0.000000,50.619999,982.679993,0.000000,409.539978,0.620000,-0.703697,0.703730,-0.069186,-0.069197,-5.499900,0.000000,0.000000,0.000000,357.799988,987.179993,0.000000,855.269958,-29.260000,0.403799,-0.403789,0.580480,0.580469,2.917300,0.000000,0.000000
58,True,True,1.000000,0.000000,53.959999,982.699951,0.000000,400.880005,2.330000,-0.701291,0.701325,-0.090366,-0.090377,-5.499900,0.000000,0.000000,0.000000,364.929993,986.940002,0.000000,855.049988,-29.250000,0.410823,-0.410813,0.575533,0.575516,2.917300,0.000000,0.000000
59,True,True,1.000000,0.000000,57.230000,982.739990,0.000000,392.339996,4.560000,-0.698248,0.698283,-0.111465,-0.111470,-5.499900,0.000000,0.000000,0.000000,372.049988,986.699951,0.000000,854.829956,-29.240000,0.417788,-0.417777,0.570495,0.570483,2.917300,0.000000,0.000000
60,True,True,1.000000,0.000000,60.430000,982.799988,0.000000,383.949982,7.300000,-0.694569,0.694608,-0.132462,-0.132467,-5.499900,0.000000,0.000000,0.000000,379.169983,986.459961,0.000000,854.609985,-29.230000,0.424693,-0.424683,0.565371,0.565363,2.917300,0.000000,0.000000
61,True,True,1.000000,0.000000,63.559998,982.889954,0.000000,375.739990,10.540000,-0.690259,0.690303,-0.153334,-0.153340,-5.500000,0.000000,0.000000,0.000000,386.289978,986.219971,0.000000,854.389954,-29.219999,0.431534,-0.431523,0.560169,0.560157,2.917300,0.000000,0.000000
62,True,True,1.000000,0.000000,66.619995,983.009949,0.000000,367.750000,14.270000,-0.685322,0.685368,-0.174072,-0.174077,-5.499900,0.000000,0.000000,0.000000,393.410004,985.979980,0.000000,854.169983,-29.209999,0.438310,-0.438299,0.554885,0.554870,2.917300,0.000000,0.000000
63,True,True,1.000000,0.000000,69.619995,983.159973,0.000000,359.989990,18.469999,-0.679766,0.679809,-0.194648,-0.194653,-5.499900,0.000000,0.000000,0.000000,400.529999,985.739990,0.000000,853.949951,-29.199999,0.445021,-0.445010,0.549517,0.549503,2.917300,0.000000,0.000000
64,True,True,1.000000,0.000000,72.559998,983.349976,0.000000,352.500000,23.129999,-0.673589,0.673635,-0.215051,-0.215051,-5.499900,0.000000,0.000000,0.000000,407.639984,985.500000,0.000000,853.729980,-29.189999,0.451668,-0.451657,0.544066,0.544054,2.917300,0.000000,0.000000
65,True,True,1.000000,0.000000,75.439995,983.589966,0.000000,345.309998,28.240000,-0.666802,0.666847,-0.235254,-0.235254,-5.499900,0.000000,0.000000,0.000000,414.750000,985.259949,0.000000,853.510010,-29.179998,0.458249,-0.458238,0.538532,0.538524,2.917300,0.000000,0.000000
66,True,True,1.000000,0.000000,78.259995,983.869995,0.000000,338.440002,33.770000,-0.659411,0.659450,-0.255248,-0.255248,-5.499900,0.000000,0.000000,0.000000,421.859985,985.019958,0.000000,853.289978,-29.170000,0.464761,-0.464750,0.532924,0.532913,2.917300,0.000000,0.000000
67,True,True,1.000000,0.000000,81.029999,984.199951,0.000000,331.910004,39.700001,-0.651416,0.651458,-0.275009,-0.275009,-5.499900,0.000000,0.000000,0.000000,428.970001,984.779968,0.000000,853.070007,-29.160000,0.471202,-0.471191,0.527237,0.527227,2.917300,0.000000,0.000000
68,True,True,1.000000,0.000000,83.739998,984.579956,0.000000,325.750000,46.020000,-0.642833,0.642873,-0.294517,-0.294517,-5.499900,0.000000,0.000000,0.000000,436.079987,984.539978,0.000000,852.849976,-29.150000,0.477573,-0.477563,0.521475,0.521460,2.917300,0.000000,0.000000
69,True,True,1.000000,0.000000,86.409996,985.019958,0.000000,319.989990,52.689999,-0.633662,0.633705,-0.313760,-0.313760,-5.499900,0.000000,0.000000,0.000000,443.190002,984.299988,0.000000,852.630005,-29.139999,0.483875,-0.483864,0.515635,0.515618,2.917300,0.000000,0.000000
70,True,True,1.000000,0.000000,89.029999,985.519958,0.000000,314.639984,59.699997,-0.623919,0.623958,-0.332717,-0.332717,-5.499900,0.000000,0.000000,0.000000,450.289978,984.059998,0.000000,852.409973,-29.129999,0.490106,-0.490095,0.509715,0.509700,2.917300,0.000000,0.000000
71,True,True,1.000000,0.000000,91.610001,986.079956,0.000000,309.720001,67.019997,-0.613609,0.613644,-0.351373,-0.351373,-5.499900,0.000000,0.000000,0.000000,457.389984,983.820007,0.000000,852.190002,-29.119999,0.496266,-0.496256,0.503716,0.503706,2.917300,0.000000,0.000000
72,True,True,1.000000,0.000000,94.150002,986.699951,0.000000,305.250000,74.619995,-0.602739,0.602773,-0.369709,-0.369709,-5.499900,0.000000,0.000000,0.000000,464.489990,983.579956,0.000000,851.969971,-29.109999,0.502352,-0.502341,0.497648,0.497637,2.917300,0.000000,0.000000
73,True,True,1.000000,0.000000,96.659996,987.389954,0.000000,301.250000,82.479996,-0.591323,0.591358,-0.387707,-0.387707,-5.499900,0.000000,0.000000,0.000000,471.589996,983.339966,0.000000,851.750000,-29.099998,0.508370,-0.508351,0.491503,0.491492,2.917300,0.000000,0.000000
74,True,True,1.000000,0.000000,99.139999,988.139954,0.000000,297.729980,90.559998,-0.579368,0.579405,-0.405353,-0.405353,-5.500000,0.000000,0.000000,0.000000,478.690002,983.099976,0.000000,851.529968,-29.090000,0.514307,-0.514285,0.485288,0.485277,2.917300,0.000000,0.000000
75,True,True,1.000000,0.000000,101.599998,988.959961,0.000000,294.699982,98.839996,-0.566890,0.566921,-0.422633,-0.422633,-5.499900,0.000000,0.000000,0.000000,485.779999,982.859985,0.000000,851.309998,-29.080000,0.520166,-0.520144,0.479003,0.478992,2.917300,0.000000,0.000000
76,True,True,1.000000,0.000000,104.029999,989.849976,0.000000,292.179993,107.290001,-0.553894,0.553922,-0.439529,-0.439529,-5.499900,0.000000,0.000000,0.000000,492.869995,982.619995,0.000000,851.089966,-29.070000,0.525955,-0.525927,0.472643,0.472632,2.917300,0.000000,0.000000
77,True,True,1.000000,0.000000,106.449997,990.820007,0.000000,290.169983,115.869995,-0.540396,0.540418,-0.456027,-0.456027,-5.499900,0.000000,0.000000,0.000000,499.959991,982.380005,0.000000,850.869995,-29.059999,0.531655,-0.531635,0.466217,0.466207,2.917300,0.000000,0.000000
78,True,True,1.000000,0.000000,108.860001,991.859985,0.000000,288.679993,124.559998,-0.526407,0.526424,-0.472109,-0.472109,-5.499900,0.000000,0.000000,0.000000,507.049988,982.139954,0.000000,850.649963,-29.049999,0.537281,-0.537262,0.459722,0.459711,2.917300,0.000000,0.000000
79,True,True,1.000000,0.000000,111.259995,992.969971,0.000000,287.720001,133.319992,-0.511938,0.511958,-0.487759,-0.487759,-5.499900,0.000000,0.000000,0.000000,514.140015,981.899963,0.000000,850.429993,-29.039999,0.542833,-0.542808,0.453157,0.453146,2.917300,0.000000,0.000000
