frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
19,True,True,1.000000,0.000000,-118.570000,989.389954,0.000000,548.659973,-44.899998,-0.349905,0.349910,0.614469,0.614456,-5.499900,0.000000,0.000000,0.000000,99.610001,992.299988,0.000000,921.469971,-64.909996,0.075104,-0.075099,0.703098,0.703116,1.964500,0.000000,0.000000
20,True,True,1.000000,0.000000,-113.959999,989.079956,0.000000,553.159973,-36.759998,-0.368264,0.368269,0.603649,0.603629,-5.499900,0.000000,0.000000,0.000000,107.290001,991.759949,0.000000,921.229980,-64.889999,0.080855,-0.080849,0.702462,0.702476,1.964500,0.000000,0.000000
21,True,True,1.000000,0.000000,-109.320000,988.820007,0.000000,557.190002,-31.730000,-0.386288,0.386293,0.592277,0.592256,-5.499900,0.000000,0.000000,0.000000,114.959999,991.219971,0.000000,920.989990,-64.869995,0.086600,-0.086595,0.701777,0.701791,1.964500,0.000000,0.000000
22,True,True,1.000000,0.000000,-104.649994,988.579956,0.000000,560.739990,-28.689999,-0.403961,0.403967,0.580367,0.580345,-5.500000,0.000000,0.000000,0.000000,122.629997,990.679993,0.000000,920.750000,-64.849998,0.092340,-0.092335,0.701043,0.701061,1.964500,0.000000,0.000000
23,True,True,1.000000,0.000000,-99.949997,988.359985,0.000000,563.799988,-26.910000,-0.421268,0.421273,0.567932,0.567904,-5.499900,0.000000,0.000000,0.000000,130.300003,990.139954,0.000000,920.510010,-64.830002,0.098075,-0.098070,0.700266,0.700279,1.964500,0.000000,0.000000
24,True,True,1.000000,0.000000,-95.229996,988.139954,0.000000,566.349976,-25.930000,-0.438191,0.438197,0.554978,0.554951,-5.499900,0.000000,0.000000,0.000000,137.970001,989.599976,0.000000,920.269958,-64.809998,0.103804,-0.103799,0.699441,0.699452,1.964500,0.000000,0.000000
25,True,True,1.000000,0.000000,-90.489998,987.929993,0.000000,568.390015,-25.430000,-0.454721,0.454726,0.541516,0.541491,-5.499900,0.000000,0.000000,0.000000,145.639999,989.059998,0.000000,920.029968,-64.790001,0.109528,-0.109523,0.698567,0.698579,1.964500,0.000000,0.000000
26,True,True,1.000000,0.000000,-85.739998,987.719971,0.000000,569.909973,-25.209999,-0.470835,0.470841,0.527564,0.527540,-5.499900,0.000000,0.000000,0.000000,153.300003,988.519958,0.000000,919.789978,-64.769997,0.115241,-0.115236,0.697650,0.697657,1.964500,0.000000,0.000000
27,True,True,1.000000,0.000000,-80.979996,987.509949,0.000000,570.899963,-25.139999,-0.486523,0.486529,0.513131,0.513109,-5.499900,0.000000,0.000000,0.000000,160.959991,987.979980,0.000000,919.549988,-64.750000,0.120949,-0.120944,0.696684,0.696689,1.964500,0.000000,0.000000
28,True,True,1.000000,0.000000,-76.220001,987.299988,0.000000,571.359985,-25.139999,-0.501769,0.501768,0.498236,0.498214,-5.499900,0.000000,0.000000,0.000000,168.619995,987.440002,0.000000,919.309998,-64.729996,0.126646,-0.126641,0.695670,0.695677,1.964500,0.000000,0.000000
29,True,True,1.000000,0.000000,-71.459999,987.089966,0.000000,571.289978,-25.160000,0.516556,-0.516556,-0.482887,-0.482866,-5.499900,0.000000,0.000000,0.000000,176.279999,986.899963,0.000000,919.070007,-64.709999,0.132338,-0.132332,0.694612,0.694614,1.964500,0.000000,0.000000
30,True,True,1.000000,0.000000,-66.699997,986.880005,0.000000,570.690002,-25.150000,-0.530874,0.530880,0.467097,0.467075,-5.499900,0.000000,0.000000,0.000000,183.940002,986.359985,0.000000,918.829956,-64.689995,0.138018,-0.138013,0.693506,0.693507,1.964500,0.000000,0.000000
31,True,True,1.000000,0.000000,-61.949997,986.669983,0.000000,569.559998,-25.090000,-0.544712,0.544714,0.450885,0.450864,-5.499900,0.000000,0.000000,0.000000,191.589996,985.820007,0.000000,918.589966,-64.669998,0.143688,-0.143683,0.692352,0.692357,1.964500,0.000000,0.000000
32,True,True,1.000000,0.000000,-57.219997,986.459961,0.000000,567.909973,-24.969999,-0.558053,0.558055,0.434264,0.434242,-5.499900,0.000000,0.000000,0.000000,199.239990,985.279968,0.000000,918.349976,-64.650002,0.149353,-0.149347,0.691154,0.691155,1.964500,0.000000,0.000000
33,True,True,1.000000,0.000000,-52.509998,986.250000,0.000000,565.739990,-24.769999,-0.570888,0.570887,0.417249,0.417227,-5.499900,0.000000,0.000000,0.000000,206.889999,984.739990,0.000000,918.109985,-64.629997,0.155007,-0.155001,0.689908,0.689909,1.964500,0.000000,0.000000
34,True,True,1.000000,0.000000,-47.820000,986.049988,0.000000,563.059998,-24.500000,-0.583204,0.583206,0.399850,0.399829,-5.499900,0.000000,0.000000,0.000000,214.539993,984.199951,0.000000,917.869995,-64.610001,0.160650,-0.160644,0.688619,0.688614,1.964500,0.000000,0.000000
35,True,True,1.000000,0.000000,-43.149998,985.849976,0.000000,559.880005,-24.150000,-0.594992,0.594991,0.382091,0.382069,-5.500000,0.000000,0.000000,0.000000,222.190002,983.659973,0.000000,917.630005,-64.589996,0.166282,-0.166276,0.687281,0.687275,1.964500,0.000000,0.000000
36,True,True,1.000000,0.000000,-38.509998,985.649963,0.000000,556.209961,-23.709999,-0.606240,0.606233,0.363986,0.363964,-5.499900,0.000000,0.000000,0.000000,229.839996,983.119995,0.000000,917.389954,-64.570000,0.171903,-0.171898,0.685898,0.685889,1.964500,0.000000,0.000000
37,True,True,1.000000,0.000000,-33.910000,985.459961,0.000000,552.059998,-23.189999,0.616937,-0.616927,-0.345546,-0.345525,-5.499900,0.000000,0.000000,0.000000,237.479996,982.579956,0.000000,917.149963,-64.549995,0.177514,-0.177508,0.684467,0.684459,1.964500,0.000000,0.000000
38,True,True,1.000000,0.000000,-29.349998,985.269958,0.000000,547.450012,-22.590000,0.627070,-0.627064,-0.326794,-0.326772,-5.499900,0.000000,0.000000,0.000000,245.119995,982.039978,0.000000,916.909973,-64.529999,0.183108,-0.183103,0.682994,0.682981,1.964500,0.000000,0.000000
39,True,True,1.000000,0.000000,-24.830000,985.089966,0.000000,542.390015,-21.910000,0.636634,-0.636629,-0.307745,-0.307723,-5.499900,0.000000,0.000000,0.000000,252.759995,981.500000,0.000000,916.669983,-64.510002,0.188692,-0.188686,0.681473,0.681460,1.964500,0.000000,0.000000
40,True,True,1.000000,0.000000,-20.359999,984.909973,0.000000,536.909973,-21.150000,0.645620,-0.645617,-0.288415,-0.288393,-5.499900,0.000000,0.000000,0.000000,260.399994,980.959961,0.000000,916.429993,-64.489998,0.194265,-0.194259,0.679908,0.679890,1.964500,0.000000,0.000000
41,True,True,1.000000,0.000000,-15.929999,984.739990,0.000000,531.019958,-20.309999,0.654017,-0.654016,-0.268826,-0.268805,-5.500000,0.000000,0.000000,0.000000,268.029999,980.419983,0.000000,916.190002,-64.470001,0.199821,-0.199816,0.678296,0.678277,1.964500,0.000000,0.000000
42,True,True,1.000000,0.000000,-11.559999,984.579956,0.000000,524.739990,-19.400000,0.661823,-0.661823,-0.248990,-0.248968,-5.499900,0.000000,0.000000,0.000000,275.660004,979.880005,0.000000,915.949951,-64.449997,0.205367,-0.205362,0.676635,0.676621,1.964500,0.000000,0.000000
43,True,True,1.000000,0.000000,-7.240000,984.429993,0.000000,518.099976,-18.420000,0.669030,-0.669025,-0.228926,-0.228905,-5.499900,0.000000,0.000000,0.000000,283.290009,979.339966,0.000000,915.709961,-64.430000,0.210897,-0.210891,0.674934,0.674916,1.964500,0.000000,0.000000
