frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeRight,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
21,False,False,0.000000,0.000000,0.000000,0.000000,-0.140000,0.000000,79.879997,-0.731000,0.000000,402.181000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
22,False,False,0.000000,0.000000,0.000000,0.000000,-0.150000,0.000000,83.189995,-0.731000,0.000000,396.760986,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
23,False,False,0.000000,0.000000,0.000000,0.000000,-0.160000,0.000000,86.449997,-0.731000,0.000000,391.341003,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
24,False,False,0.000000,0.000000,0.000000,0.000000,-0.170000,0.000000,89.669998,-0.731000,0.000000,385.920990,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
25,False,False,0.000000,0.000000,0.000000,0.000000,-0.180000,0.000000,92.839996,-0.731000,0.000000,380.501007,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
26,False,False,0.000000,0.000000,0.000000,0.000000,-0.190000,0.000000,95.970001,-0.731000,0.000000,375.080994,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
27,False,False,0.000000,0.000000,0.000000,0.000000,-0.200000,0.000000,99.049995,-0.731000,0.000000,369.661011,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
28,False,False,0.000000,0.000000,0.000000,0.000000,-0.210000,0.000000,102.089996,-0.731000,0.000000,364.240997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
29,False,False,0.000000,0.000000,0.000000,0.000000,-0.220000,0.000000,105.079994,-0.731000,0.000000,358.820984,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
30,False,False,0.000000,0.000000,0.000000,0.000000,-0.230000,0.000000,108.029999,-0.731000,0.000000,353.401001,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
31,False,False,0.000000,0.000000,0.000000,0.000000,-0.240000,0.000000,110.930000,-0.731000,0.000000,347.980988,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
32,False,False,0.000000,0.000000,0.000000,0.000000,-0.250000,0.000000,113.779999,-0.731000,0.000000,342.561005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
33,False,False,0.000000,0.000000,0.000000,0.000000,-0.260000,0.000000,116.589996,-0.731000,0.000000,337.140991,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
34,False,False,0.000000,0.000000,0.000000,0.000000,-0.270000,0.000000,119.349998,-0.731000,0.000000,331.721008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
35,False,False,0.000000,0.000000,0.000000,0.000000,-0.280000,0.000000,122.070000,-0.731000,0.000000,326.300995,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
36,False,False,0.000000,0.000000,0.000000,0.000000,-0.290000,0.000000,124.739998,-0.731000,0.000000,320.881012,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
37,False,False,0.000000,0.000000,0.000000,0.000000,-0.300000,0.000000,127.369995,-0.731000,0.000000,315.460999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
38,False,False,0.000000,0.000000,0.000000,0.000000,-0.310000,0.000000,129.949997,-0.731000,0.000000,310.040985,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
39,False,False,0.000000,0.000000,0.000000,0.000000,-0.320000,0.000000,132.489990,-0.731000,0.000000,304.621002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
40,False,False,0.000000,0.000000,0.000000,0.000000,-0.330000,0.000000,134.979996,-0.731000,0.000000,299.200989,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
41,False,False,0.000000,0.000000,0.000000,0.000000,-0.340000,0.000000,137.429993,-0.731000,0.000000,293.781006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
42,False,False,0.000000,0.000000,0.000000,0.000000,-0.350000,0.000000,139.830002,-0.731000,0.000000,288.360992,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
43,False,False,0.000000,0.000000,0.000000,0.000000,-0.360000,0.000000,142.190002,-0.731000,0.000000,282.941010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
44,False,False,0.000000,0.000000,0.000000,0.000000,-0.370000,0.000000,144.500000,-0.731000,0.000000,277.520996,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
45,False,False,0.000000,0.000000,0.000000,0.000000,-0.380000,0.000000,146.770004,-0.731000,0.000000,272.101013,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
46,False,False,0.000000,0.000000,0.000000,0.000000,-0.390000,0.000000,148.989990,-0.731000,0.000000,266.681000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
47,False,False,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,151.169998,-0.731000,0.000000,261.260986,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
48,False,False,0.000000,0.000000,0.000000,0.000000,-0.410000,0.000000,153.300003,-0.731000,0.000000,255.841003,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
49,False,False,0.000000,0.000000,0.000000,0.000000,-0.420000,0.000000,155.389999,-0.731000,0.000000,250.421005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
50,False,False,0.000000,0.000000,0.000000,0.000000,-0.430000,0.000000,157.429993,-0.731000,0.000000,245.001007,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
51,False,False,0.000000,0.000000,0.000000,0.000000,-0.440000,0.000000,159.429993,-0.731000,0.000000,239.581009,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
52,False,False,0.000000,0.000000,0.000000,0.000000,-0.450000,0.000000,161.379990,-0.731000,0.000000,234.160995,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
53,False,False,0.000000,0.000000,0.000000,0.000000,-0.460000,0.000000,163.289993,-0.731000,0.000000,228.740997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
54,False,False,0.000000,0.000000,0.000000,0.000000,-0.470000,0.000000,165.149994,-0.731000,0.000000,223.320999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
55,False,False,0.000000,0.000000,0.000000,0.000000,-0.480000,0.000000,166.970001,-0.731000,0.000000,217.901001,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
56,False,False,0.000000,0.000000,0.000000,0.000000,-0.490000,0.000000,168.739990,-0.731000,0.000000,212.481003,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
57,False,False,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,170.470001,-0.731000,0.000000,207.061005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
58,False,False,0.000000,0.000000,0.000000,0.000000,-0.510000,0.000000,172.149994,-0.731000,0.000000,201.641006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
59,False,False,0.000000,0.000000,0.000000,0.000000,-0.520000,0.000000,173.789993,-0.731000,0.000000,196.221008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
60,False,False,0.000000,0.000000,0.000000,0.000000,-0.530000,0.000000,175.379990,-0.731000,0.000000,190.801010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
61,False,False,0.000000,0.000000,0.000000,0.000000,-0.540000,0.000000,176.919998,-0.731000,0.000000,185.380997,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
62,False,False,0.000000,0.000000,0.000000,0.000000,-0.550000,0.000000,178.419998,-0.731000,0.000000,179.960999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
63,False,False,0.000000,0.000000,0.000000,0.000000,-0.560000,0.000000,179.869995,-0.731000,0.000000,174.541000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
64,False,False,0.000000,0.000000,0.000000,0.000000,-0.570000,0.000000,181.279999,-0.731000,0.000000,169.121002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
65,False,False,0.000000,0.000000,0.000000,0.000000,-0.580000,0.000000,182.639999,-0.731000,0.000000,163.701004,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
66,False,False,0.000000,0.000000,0.000000,0.000000,-0.590000,0.000000,183.959991,-0.731000,0.000000,158.281006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
67,False,False,0.000000,0.000000,0.000000,0.000000,-0.600000,0.000000,185.229996,-0.731000,0.000000,152.861008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
68,False,False,0.000000,0.000000,0.000000,0.000000,-0.610000,0.000000,186.459991,-0.731000,0.000000,147.441010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
69,False,False,0.000000,0.000000,0.000000,0.000000,-0.620000,0.000000,187.639999,-0.731000,0.000000,142.021011,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
70,False,False,0.000000,0.000000,0.000000,0.000000,-0.630000,0.000000,188.779999,-0.731000,0.000000,136.600998,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
71,True,True,-1.000000,1.000000,1.000000,1.000000,2.310000,2.950000,189.869995,352.821014,353.561005,131.181000,-0.006385,0.003067,0.000305,0.999975,-1.533610,1.316910,0.068410
72,False,False,1.000000,1.000000,0.000000,1.000000,5.250000,5.900000,190.919998,352.821014,353.561005,125.760994,-0.018906,0.013905,0.000585,0.999724,-3.006510,2.601010,0.059810
73,False,False,1.000000,1.000000,0.000000,1.000000,8.190000,8.849999,191.919998,352.821014,353.561005,120.340996,-0.037308,0.029960,0.000844,0.998854,-4.146110,3.613510,0.047410
74,False,False,1.000000,1.000000,0.000000,1.000000,11.130000,11.800000,192.879990,352.821014,353.561005,114.920998,-0.060230,0.050104,0.001060,0.996926,-4.133910,3.627610,0.027410
75,False,False,1.000000,1.000000,0.000000,1.000000,14.070000,14.750000,193.789993,352.821014,353.561005,109.500999,-0.083051,0.070259,0.001195,0.994065,-4.125610,3.637110,0.011910
