frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
37,False,False,0.000000,0.000000,0.460000,0.000000,128.770004,1.631000,0.000000,326.181000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
38,False,False,0.000000,0.000000,0.470000,0.000000,131.440002,1.631000,0.000000,320.760986,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
39,False,False,0.000000,0.000000,0.480000,0.000000,134.069992,1.631000,0.000000,315.341003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
40,False,False,0.000000,0.000000,0.490000,0.000000,136.649994,1.631000,0.000000,309.920990,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
41,False,False,0.000000,0.000000,0.500000,0.000000,139.190002,1.631000,0.000000,304.501007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
42,False,False,0.000000,0.000000,0.510000,0.000000,141.679993,1.631000,0.000000,299.080994,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
43,False,False,0.000000,0.000000,0.520000,0.000000,144.129990,1.631000,0.000000,293.661011,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
44,False,False,0.000000,0.000000,0.530000,0.000000,146.529999,1.631000,0.000000,288.240997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
45,False,False,0.000000,0.000000,0.540000,0.000000,148.889999,1.631000,0.000000,282.821014,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
46,False,False,0.000000,0.000000,0.550000,0.000000,151.199997,1.631000,0.000000,277.401001,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
47,False,False,0.000000,0.000000,0.560000,0.000000,153.470001,1.631000,0.000000,271.980988,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
48,False,False,0.000000,0.000000,0.570000,0.000000,155.690002,1.631000,0.000000,266.561005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
49,False,False,0.000000,0.000000,0.580000,0.000000,157.869995,1.631000,0.000000,261.140991,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
50,False,False,0.000000,0.000000,0.590000,0.000000,160.000000,1.631000,0.000000,255.721008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,0.600000,0.000000,162.089996,1.631000,0.000000,250.300995,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
52,False,False,0.000000,0.000000,0.610000,0.000000,164.129990,1.631000,0.000000,244.880997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,0.620000,0.000000,166.129990,1.631000,0.000000,239.460999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,0.630000,0.000000,168.080002,1.631000,0.000000,234.041000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,0.640000,0.000000,169.989990,1.631000,0.000000,228.621002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,0.650000,0.000000,171.849991,1.631000,0.000000,223.201004,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,0.660000,0.000000,173.660004,1.631000,0.000000,217.781006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,0.670000,0.000000,175.429993,1.631000,0.000000,212.361008,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.680000,0.000000,177.149994,1.631000,0.000000,206.941010,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.690000,0.000000,178.830002,1.631000,0.000000,201.520996,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.700000,0.000000,180.459991,1.631000,0.000000,196.100998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.710000,0.000000,182.050003,1.631000,0.000000,190.681000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.720000,0.000000,183.589996,1.631000,0.000000,185.261002,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.730000,0.000000,185.089996,1.631000,0.000000,179.841003,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.740000,0.000000,186.539993,1.631000,0.000000,174.421005,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.750000,0.000000,187.949997,1.631000,0.000000,169.001007,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.760000,0.000000,189.309998,1.631000,0.000000,163.581009,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,0.770000,0.000000,190.629990,1.631000,0.000000,158.161011,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,0.780000,0.000000,191.899994,1.631000,0.000000,152.740997,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,0.790000,0.000000,193.129990,1.631000,0.000000,147.320999,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,0.800000,4.170000,194.309998,1.631000,500.040985,141.901001,-0.010355,0.004815,-0.000262,0.999935,-2.486810,0.000000,-0.051910
72,False,False,0.000000,0.000000,0.810000,8.340000,195.449997,1.631000,500.040985,136.481003,-0.029324,0.004815,-0.000483,0.999558,-4.554010,0.001310,-0.030810
73,False,False,0.000000,0.000000,0.820000,12.509999,196.539993,1.631000,500.040985,131.061005,-0.056540,0.004815,-0.000655,0.998388,-5.499910,0.003210,-0.008810
74,False,False,0.000000,0.000000,0.830000,16.680000,197.589996,1.631000,500.040985,125.640999,-0.087485,0.004820,-0.000758,0.996154,-5.499910,0.005110,0.007910
75,False,False,0.000000,0.000000,0.840000,20.850000,198.589996,1.631000,500.040985,120.220993,-0.118349,0.004826,-0.000790,0.992960,-5.499910,0.007210,0.019910
76,False,False,0.000000,0.000000,0.850000,25.019999,199.550003,1.631000,500.040985,114.800995,-0.149099,0.004831,-0.000774,0.988810,-5.499910,0.009310,0.028510
77,False,False,0.000000,0.000000,0.860000,29.189999,200.459991,1.631000,500.040985,109.380997,-0.179704,0.004836,-0.000720,0.983709,-5.499810,0.011210,0.034710
78,False,False,0.000000,0.000000,0.870000,33.360001,201.330002,1.631000,500.040985,103.960999,-0.210136,0.004842,-0.000639,0.977660,-5.499810,0.012810,0.039110
79,False,False,0.000000,0.000000,0.880000,37.529999,202.149994,1.631000,500.040985,98.541000,-0.240363,0.004847,-0.000537,0.970671,-5.499810,0.014210,0.042210
80,False,False,0.000000,0.000000,0.890000,41.700001,202.929993,1.631000,500.040985,93.120995,-0.270364,0.004853,-0.000423,0.962746,-5.499710,0.015310,0.044410
81,False,False,0.000000,0.000000,0.900000,45.869999,203.659988,1.631000,500.040985,87.700996,-0.300100,0.004858,-0.000299,0.953895,-5.499710,0.016210,0.045910
82,False,False,0.000000,0.000000,0.910000,50.039997,204.349991,1.631000,500.040985,82.280998,-0.329550,0.004858,-0.000170,0.944125,-5.499710,0.017010,0.047010
83,False,False,0.000000,0.000000,0.920000,54.209999,204.989990,1.631000,500.040985,76.861000,-0.358682,0.004858,-0.000035,0.933447,-5.499710,0.017610,0.047710
84,False,False,0.000000,0.000000,0.930000,58.379997,205.589996,1.631000,500.040985,71.440994,-0.387469,0.004853,0.000105,0.921870,-5.499710,0.018110,0.048210
85,False,False,0.000000,0.000000,0.940000,62.549999,206.139999,1.631000,500.040985,66.020996,-0.415884,0.004842,0.000245,0.909405,-5.499710,0.018510,0.048610
86,False,False,0.000000,0.000000,0.950000,66.720001,206.649994,1.631000,500.040985,60.600998,-0.443899,0.004831,0.000391,0.896064,-5.499710,0.018810,0.048810
87,False,False,0.000000,0.000000,0.960000,70.889999,207.110001,1.631000,500.040985,55.181000,-0.471483,0.004815,0.000537,0.881862,-5.499710,0.019010,0.049010
88,False,False,0.000000,0.000000,0.970000,75.059998,207.519989,1.631000,500.040985,49.760998,-0.498613,0.004793,0.000682,0.866811,-5.499710,0.019210,0.049110
89,False,False,0.000000,0.000000,0.980000,79.229996,207.739990,1.631000,500.040985,26.921000,-0.525264,0.004766,0.000828,0.850926,-5.499710,0.019310,0.049210
90,False,False,0.000000,0.000000,0.990000,83.400002,207.839996,1.631000,500.040985,12.081000,-0.551412,0.004739,0.000974,0.834219,-5.499710,0.019410,0.049210
91,False,False,0.000000,0.000000,1.000000,87.570000,207.860001,1.631000,500.040985,2.431000,-0.577027,0.004707,0.001119,0.816711,-5.499710,0.019510,0.049210
92,False,False,0.000000,0.000000,1.010000,91.739998,207.830002,1.631000,500.040985,-3.831000,-0.602086,0.004669,0.001265,0.798417,-5.499710,0.019510,0.049210
93,False,False,0.000000,0.000000,1.020000,95.909996,207.759995,1.631000,500.040985,-7.901000,-0.626567,0.004626,0.001411,0.779352,-5.499710,0.019510,0.049210
