frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
37,1.000000,True,True,-2000.000000,-4405.479980,17.000000,0.000000,637.120972,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
38,1.000000,True,True,-2000.000000,-4400.100098,17.000000,0.000000,653.180969,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
39,1.000000,True,True,-2000.000000,-4394.589844,17.000000,0.000000,669.100952,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
40,1.000000,True,True,-2000.000000,-4388.939941,17.000000,0.000000,684.890991,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
41,1.000000,True,True,-2000.000000,-4383.159668,17.000000,0.000000,700.540955,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
42,1.000000,True,True,-2000.000000,-4377.250000,17.000000,0.000000,716.060974,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
43,1.000000,True,True,-2000.000000,-4371.209961,17.000000,0.000000,731.440979,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
44,1.000000,True,True,-2000.000000,-4365.049805,17.000000,0.000000,746.690979,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
45,1.000000,True,True,-2000.000000,-4358.759766,17.000000,0.000000,761.810974,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
46,1.000000,True,True,-2000.000000,-4352.339844,17.000000,0.000000,776.800964,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
47,1.000000,True,True,-2000.000000,-4345.799805,17.000000,0.000000,791.660950,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
48,1.000000,True,True,-2000.000000,-4339.129883,17.000000,0.000000,806.400940,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
49,1.000000,True,True,-2000.000000,-4332.339844,17.000000,0.000000,821.010986,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
50,1.000000,True,True,-2000.000000,-4325.429688,17.000000,0.000000,835.500977,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
51,1.000000,True,True,-2000.000000,-4318.399902,17.000000,0.000000,849.860962,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
52,1.000000,True,True,-2000.000000,-4311.250000,17.000000,0.000000,864.100952,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
53,1.000000,True,True,-2000.000000,-4303.979980,17.000000,0.000000,878.220947,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
54,1.000000,True,True,-2000.000000,-4296.589844,17.000000,0.000000,892.210938,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
55,1.000000,True,True,-2000.000000,-4289.089844,17.000000,0.000000,906.080933,8.281000,-0.003347,0.003358,0.707102,0.707096,0.000000,0.000000,0.000000
56,1.000000,True,True,-2000.000000,-4281.469727,17.000000,0.000000,919.840942,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
57,1.000000,True,True,-2000.000000,-4273.739746,17.000000,0.000000,933.480957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
58,1.000000,True,True,-2000.000000,-4265.890137,17.000000,0.000000,947.000977,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
59,1.000000,True,True,-2000.000000,-4257.929688,17.000000,0.000000,960.410950,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
60,1.000000,True,True,-2000.000000,-4249.859863,17.000000,0.000000,973.700928,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
61,1.000000,True,True,-2000.000000,-4241.679688,17.000000,0.000000,986.880981,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000110,0.000000,0.000000
62,1.000000,True,True,-2000.000000,-4233.390137,17.000000,0.000000,999.940979,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
63,1.000000,True,True,-2000.000000,-4224.989746,17.000000,0.000000,1012.890930,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
64,1.000000,True,True,-2000.000000,-4216.479980,17.000000,0.000000,1025.730957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
65,1.000000,True,True,-2000.000000,-4207.859863,17.000000,0.000000,1038.460938,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
66,1.000000,True,True,-2000.000000,-4199.140137,17.000000,0.000000,1051.080933,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
67,1.000000,True,True,-2000.000000,-4190.310059,17.000000,0.000000,1063.590942,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
68,1.000000,True,True,-2000.000000,-4181.379883,17.000000,0.000000,1076.000977,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
69,1.000000,True,True,-2000.000000,-4172.339844,17.000000,0.000000,1088.300903,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000210,0.000000,0.000000
70,1.000000,True,True,-2000.000000,-4163.199707,17.000000,0.000000,1100.490967,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
71,1.000000,True,True,-2000.000000,-4153.959961,17.000000,0.000000,1112.580933,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
72,1.000000,True,True,-2000.000000,-4144.620117,17.000000,0.000000,1124.570923,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
73,1.000000,True,True,-2000.000000,-4135.179688,17.000000,0.000000,1136.450928,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
74,1.000000,True,True,-2000.000000,-4125.640137,17.000000,0.000000,1148.230957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
75,1.000000,True,True,-2000.000000,-4116.000000,17.000000,0.000000,1159.911011,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
76,1.000000,True,True,-2000.000000,-4106.259766,17.000000,0.000000,1171.490967,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000310,0.000000,0.000000
77,1.000000,True,True,-2000.000000,-4096.429688,17.000000,0.000000,1182.970947,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
78,1.000000,True,True,-2000.000000,-4086.500000,17.000000,0.000000,1194.350952,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
79,1.000000,True,True,-2000.000000,-4076.479980,17.000000,0.000000,1205.640991,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
80,1.000000,True,True,-2000.000000,-4066.359863,17.000000,0.000000,1216.830933,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
81,1.000000,True,True,-2000.000000,-4056.149902,17.000000,0.000000,1227.920898,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
82,1.000000,True,True,-2000.000000,-4045.849854,17.000000,0.000000,1238.920898,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
83,1.000000,True,True,-2000.000000,-4035.459961,17.000000,0.000000,1249.820923,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
84,1.000000,True,True,-2000.000000,-4024.979980,17.000000,0.000000,1260.630981,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000410,0.000000,0.000000
85,1.000000,True,True,-2000.000000,-4014.409912,17.000000,0.000000,1271.350952,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
86,1.000000,True,True,-2000.000000,-4003.750000,17.000000,0.000000,1281.980957,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
87,1.000000,True,True,-2000.000000,-3993.000000,17.000000,0.000000,1292.510986,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
88,1.000000,True,True,-2000.000000,-3982.159912,17.000000,0.000000,1302.950928,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
89,1.000000,True,True,-2000.000000,-3971.229980,17.000000,0.000000,1313.300903,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
90,1.000000,True,True,-2000.000000,-3960.219971,17.000000,0.000000,1323.570923,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
91,1.000000,True,True,-2000.000000,-3949.119873,17.000000,0.000000,1333.750977,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
92,1.000000,True,True,-2000.000000,-3937.939941,17.000000,0.000000,1343.840942,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
93,1.000000,True,True,-2000.000000,-3926.669922,17.000000,0.000000,1353.840942,8.281000,-0.003347,0.003358,0.707102,0.707096,-0.000510,0.000000,0.000000
