frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
18,False,False,1.000000,0.000000,False,False,3511.359863,0.000000,18.639999,188.369995,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
19,False,False,1.000000,0.000000,False,False,3512.929932,0.000000,18.639999,200.080002,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
20,False,False,1.000000,0.000000,False,False,3514.599854,0.000000,18.639999,211.690002,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
21,False,False,1.000000,0.000000,False,False,3516.359863,0.000000,18.639999,223.199997,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
22,False,False,1.000000,0.000000,False,False,3518.219971,0.000000,18.639999,234.619995,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
23,False,False,1.000000,0.000000,False,False,3520.169922,0.000000,18.639999,245.939987,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
24,False,False,1.000000,0.000000,False,False,3522.219971,0.000000,18.639999,257.160004,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
25,False,False,1.000000,0.000000,False,False,3524.359863,0.000000,18.639999,268.279999,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
26,False,False,1.000000,0.000000,False,False,3526.599854,0.000000,18.639999,279.309998,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
27,False,False,1.000000,0.000000,False,False,3528.929932,0.000000,18.639999,290.239990,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
28,False,False,1.000000,0.000000,False,False,3531.349854,0.000000,18.639999,301.079987,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000300,0.000000
29,False,False,1.000000,0.000000,False,False,3533.859863,0.000000,18.639999,311.829987,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
30,False,False,1.000000,0.000000,False,False,3536.459961,0.000000,18.639999,322.489990,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
31,False,False,1.000000,0.000000,False,False,3539.149902,0.000000,18.639999,333.049988,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
32,False,False,1.000000,0.000000,False,False,3541.929932,0.000000,18.639999,343.519989,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
33,False,False,1.000000,0.000000,False,False,3544.790039,0.000000,18.639999,353.899994,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
34,False,False,1.000000,0.000000,False,False,3547.739990,0.000000,18.639999,364.190002,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
35,False,False,1.000000,0.000000,False,False,3550.770020,0.000000,18.639999,374.399994,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
36,False,False,1.000000,0.000000,False,False,3553.889893,0.000000,18.639999,384.519989,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
37,False,False,1.000000,0.000000,False,False,3557.089844,0.000000,18.639999,394.549988,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
38,False,False,1.000000,0.000000,False,False,3560.379883,0.000000,18.639999,404.500000,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
39,False,False,1.000000,0.000000,False,False,3563.750000,0.000000,18.639999,414.359985,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
40,False,False,1.000000,0.000000,False,False,3567.199951,0.000000,18.639999,424.139984,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
41,False,False,1.000000,0.000000,False,False,3570.729980,0.000000,18.639999,433.829987,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
42,False,False,1.000000,0.000000,False,False,3574.349854,0.000000,18.639999,443.440002,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
43,False,False,1.000000,0.000000,False,False,3578.049805,0.000000,18.639999,452.970001,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
44,False,False,1.000000,0.000000,False,False,3581.819824,0.000000,18.639999,462.419983,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
45,False,False,1.000000,0.000000,False,False,3585.669922,0.000000,18.639999,471.779999,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000200,0.000000
46,False,False,1.000000,0.000000,False,False,3589.599854,0.000000,18.639999,481.059998,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
47,False,False,1.000000,0.000000,False,False,3593.609863,0.000000,18.639999,490.269989,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000100,0.000000
