frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
36,1.000000,57.110001,0.000000,18.639999,384.570984,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
37,1.000000,60.399998,0.000000,18.639999,394.601013,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
38,1.000000,63.770000,0.000000,18.639999,404.550995,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
39,1.000000,67.220001,0.000000,18.639999,414.411011,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
40,1.000000,70.750000,0.000000,18.639999,424.191010,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
41,1.000000,74.369995,0.000000,18.639999,433.881012,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
42,1.000000,78.070000,0.000000,18.639999,443.490997,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
43,1.000000,81.849998,0.000000,18.639999,453.020996,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
44,1.000000,85.699997,0.000000,18.639999,462.471008,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
45,1.000000,89.629997,0.000000,18.639999,471.841003,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
46,1.000000,93.639999,0.000000,18.639999,481.121002,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
47,1.000000,97.729996,0.000000,18.639999,490.330994,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
48,1.000000,101.889999,0.000000,18.639999,499.460999,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
49,1.000000,106.129997,0.000000,18.639999,508.510986,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
50,1.000000,110.439995,0.000000,18.639999,517.480957,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
51,1.000000,114.829994,0.000000,18.639999,526.370972,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
52,1.000000,119.290001,0.000000,18.639999,535.190979,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
53,1.000000,123.820000,0.000000,18.639999,543.930969,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
54,1.000000,128.429993,0.000000,18.639999,552.600952,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
55,1.000000,133.110001,0.000000,18.639999,561.190979,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
56,1.000000,137.860001,0.000000,18.639999,569.710938,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
57,1.000000,142.679993,0.000000,18.639999,578.160950,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
58,1.000000,147.569992,0.000000,18.639999,586.530945,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
59,1.000000,152.529999,0.000000,18.639999,594.830994,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
60,1.000000,157.559998,0.000000,18.639999,603.060974,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
61,1.000000,162.649994,0.000000,18.639999,611.220947,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
62,1.000000,167.809998,0.000000,18.639999,619.310974,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
63,1.000000,173.039993,0.000000,18.639999,627.330933,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
64,1.000000,178.330002,0.000000,18.639999,635.280945,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
65,1.000000,183.690002,0.000000,18.639999,643.160950,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
66,1.000000,189.110001,0.000000,18.639999,650.980957,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
67,1.000000,194.599991,0.000000,18.639999,658.730957,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
68,1.000000,200.149994,0.000000,18.639999,666.410950,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
69,1.000000,205.769989,0.000000,18.639999,674.030945,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
70,1.000000,211.449997,0.000000,18.639999,681.580933,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
71,1.000000,217.190002,0.000000,18.639999,689.070984,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
72,1.000000,222.989990,0.000000,18.639999,696.490967,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
73,1.000000,228.860001,0.000000,18.639999,703.850952,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
74,1.000000,234.789993,0.000000,18.639999,711.150940,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
75,1.000000,240.779999,0.000000,18.639999,718.380981,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
76,1.000000,246.830002,0.000000,18.639999,725.550964,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
77,1.000000,252.939987,0.000000,18.639999,732.660950,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
78,1.000000,259.100006,0.000000,18.639999,739.710938,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
79,1.000000,265.320007,0.000000,18.639999,746.700989,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
80,1.000000,271.600006,0.000000,18.639999,753.630981,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
81,1.000000,277.940002,0.000000,18.639999,760.500977,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
82,1.000000,284.329987,0.000000,18.639999,767.310974,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
83,1.000000,290.779999,0.000000,18.639999,774.060974,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
84,1.000000,297.290009,0.000000,18.639999,780.750977,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
85,1.000000,303.850006,0.000000,18.639999,787.390930,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
86,1.000000,310.470001,0.000000,18.639999,793.970947,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
87,1.000000,317.139984,0.000000,18.639999,800.490967,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
88,1.000000,323.859985,0.000000,18.639999,806.960938,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
89,1.000000,330.639984,0.000000,18.639999,813.370972,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
90,1.000000,337.470001,0.000000,18.639999,819.730957,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
91,1.000000,344.350006,0.000000,18.639999,826.030945,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
92,1.000000,351.289978,0.000000,18.639999,832.280945,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
93,1.000000,358.279999,0.000000,18.639999,838.480957,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
94,1.000000,365.319977,0.000000,18.639999,844.620972,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
95,1.000000,372.410004,0.000000,18.639999,850.710938,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
96,1.000000,379.549988,0.000000,18.639999,856.750977,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
97,1.000000,386.739990,0.000000,18.639999,862.740967,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
98,1.000000,393.979980,0.000000,18.639999,868.670959,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
99,1.000000,401.269989,0.000000,18.639999,874.550964,0.000000,0.351000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
