frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
28,True,True,1.000000,0.000000,False,0.000000,3554.780029,0.000000,18.639999,487.760986,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
29,True,True,1.000000,0.000000,False,0.000000,3558.989990,0.000000,18.639999,505.170990,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
30,True,True,1.000000,0.000000,False,0.000000,3563.339844,0.000000,18.639999,522.430969,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000210,0.000000
31,True,True,1.000000,0.000000,False,0.000000,3567.839844,0.000000,18.639999,539.550964,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
32,True,True,1.000000,0.000000,False,0.000000,3572.479980,0.000000,18.639999,556.520935,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
33,True,True,1.000000,0.000000,False,0.000000,3577.260010,0.000000,18.639999,573.340942,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
34,True,True,1.000000,0.000000,False,0.000000,3582.179932,0.000000,18.639999,590.020935,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
35,True,True,1.000000,0.000000,False,0.000000,3587.239990,0.000000,18.639999,606.560974,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
36,True,True,1.000000,0.000000,False,0.000000,3592.429932,0.000000,18.639999,622.950989,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
37,True,True,1.000000,0.000000,False,0.000000,3597.760010,0.000000,18.639999,639.200989,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
38,True,True,1.000000,0.000000,False,0.000000,3603.219971,0.000000,18.639999,655.310974,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
39,True,True,1.000000,0.000000,False,0.000000,3608.809814,0.000000,18.639999,671.290955,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
40,True,True,1.000000,0.000000,False,0.000000,3614.540039,0.000000,18.639999,687.130981,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.000110,0.000000
41,True,True,1.000000,0.000000,False,0.000000,3620.399902,0.000000,18.639999,702.830933,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
42,True,True,1.000000,0.000000,False,0.000000,3626.389893,0.000000,18.639999,718.400940,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
43,True,True,1.000000,0.000000,False,0.000000,3632.510010,0.000000,18.639999,733.840942,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
44,True,True,1.000000,0.000000,False,0.000000,3638.750000,0.000000,18.639999,749.140930,0.000000,0.201000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
