frame;X;Y;Z;vel_X;vel_Y;vel_Z;angvel_X;angvel_Y;angvel_Z;quart_X;quart_Y;quart_Z;quart_W;Steer;bHandbrake;bActivateBoost;bHoldingBoost;Throttle
1;865.190002;1074.369995;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
2;855.329956;1090.880005;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
3;845.469971;1107.390015;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
4;835.609985;1123.900024;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
5;825.750000;1140.410034;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
6;815.889954;1156.919922;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
7;806.029968;1173.429932;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
8;796.169983;1189.939941;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
9;786.309998;1206.449951;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
10;776.450012;1222.959961;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
11;766.589966;1239.469971;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
12;756.729980;1255.979980;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
13;746.869995;1272.489990;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
14;737.010010;1289.000000;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
15;727.149963;1305.510010;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
16;717.289978;1322.020020;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
17;707.429993;1338.530029;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
18;697.570007;1355.039917;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
19;687.709961;1371.549927;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
20;677.849976;1388.059937;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
21;667.989990;1404.569946;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
22;658.130005;1421.079956;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
23;648.269958;1437.589966;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
24;638.409973;1454.099976;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
25;628.549988;1470.609985;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
26;618.690002;1487.119995;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
27;608.829956;1503.630005;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
28;598.969971;1520.140015;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
29;589.109985;1536.650024;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
30;579.250000;1553.159912;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
31;569.390015;1569.669922;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
32;559.529968;1586.179932;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
33;549.669983;1602.689941;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
34;539.809998;1619.199951;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
35;529.950012;1635.709961;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
36;520.089966;1652.219971;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
37;510.229980;1668.729980;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
38;500.369995;1685.239990;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
39;490.509979;1701.750000;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
40;480.649994;1718.260010;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
41;470.789978;1734.770020;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
42;460.929993;1751.279907;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
43;451.069977;1767.789917;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
44;441.209991;1784.299927;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
45;431.349976;1800.809937;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
46;421.489990;1817.319946;17.010000;-1179.359985;1974.589966;8.050000;-0.000700;0.000000;0.000000;-0.004162;0.002349;0.869696;0.493564;0.000000;0;1;1;1.000000;
