frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
36,True,True,-1.000000,1.000000,100.129997,-31.980000,18.330000,587.630981,-278.450989,-0.081000,0.001702,0.008294,-0.205993,0.978517,0.000610,0.000000,-2.202410
37,True,True,-1.000000,1.000000,105.110001,-34.430000,18.330000,597.000977,-293.821014,-0.081000,0.001783,0.008278,-0.215056,0.976565,0.000510,0.000000,-2.225710
38,True,True,-1.000000,1.000000,110.159996,-37.009998,18.330000,605.800964,-309.621002,-0.081000,0.001864,0.008262,-0.224195,0.974508,0.000410,0.000000,-2.247610
39,True,True,-1.000000,1.000000,115.279999,-39.730000,18.330000,614.020935,-325.841003,-0.071000,0.001945,0.008246,-0.233393,0.972346,0.000310,0.000000,-2.268210
40,True,True,-1.000000,1.000000,120.459999,-42.579998,18.330000,621.650940,-342.471008,-0.071000,0.002026,0.008230,-0.242651,0.970077,0.000310,0.000000,-2.287410
41,True,True,-1.000000,1.000000,125.699997,-45.579998,18.330000,628.670959,-359.480988,-0.071000,0.002107,0.008208,-0.251957,0.967701,0.000210,0.000000,-2.305310
42,True,True,-1.000000,1.000000,130.989990,-48.719997,18.330000,635.070984,-376.860992,-0.071000,0.002188,0.008187,-0.261306,0.965219,0.000210,0.000000,-2.321810
43,True,True,-1.000000,1.000000,136.330002,-52.009998,18.330000,640.840942,-394.601013,-0.071000,0.002269,0.008165,-0.270693,0.962628,0.000210,0.000000,-2.337010
44,True,True,-1.000000,1.000000,141.709991,-55.449997,18.330000,645.980957,-412.670990,-0.071000,0.002349,0.008143,-0.280107,0.959931,0.000210,0.000000,-2.350910
45,True,True,-1.000000,1.000000,147.129990,-59.039997,18.330000,650.470947,-431.050995,-0.071000,0.002430,0.008122,-0.289548,0.957126,0.000210,0.000000,-2.363510
