frame,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
36,1.000000,56.889999,0.000000,18.779999,384.561005,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
37,1.000000,60.180000,0.000000,18.779999,394.591003,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
38,1.000000,63.549999,0.000000,18.779999,404.540985,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
39,1.000000,67.000000,0.000000,18.779999,414.401001,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
40,1.000000,70.529999,0.000000,18.779999,424.181000,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
41,1.000000,74.150002,0.000000,18.779999,433.871002,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
42,1.000000,77.849998,0.000000,18.779999,443.480988,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
43,1.000000,81.629997,0.000000,18.779999,453.010986,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
44,1.000000,85.479996,0.000000,18.779999,462.460999,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
45,1.000000,89.409996,0.000000,18.779999,471.830994,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
46,1.000000,93.419998,0.000000,18.779999,481.121002,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
47,1.000000,97.509995,0.000000,18.779999,490.330994,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
48,1.000000,101.669998,0.000000,18.779999,499.460999,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
49,1.000000,105.909996,0.000000,18.779999,508.510986,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
50,1.000000,110.220001,0.000000,18.779999,517.480957,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
51,1.000000,114.610001,0.000000,18.779999,526.370972,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
52,1.000000,119.070000,0.000000,18.779999,535.190979,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
53,1.000000,123.599998,0.000000,18.779999,543.930969,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
54,1.000000,128.209991,0.000000,18.779999,552.600952,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
55,1.000000,132.889999,0.000000,18.779999,561.190979,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
56,1.000000,137.639999,0.000000,18.779999,569.710938,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
57,1.000000,142.459991,0.000000,18.779999,578.160950,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
58,1.000000,147.349991,0.000000,18.779999,586.530945,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
59,1.000000,152.309998,0.000000,18.779999,594.830994,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
60,1.000000,157.339996,0.000000,18.779999,603.060974,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000210,0.000000
61,1.000000,162.429993,0.000000,18.779999,611.220947,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000110,0.000000
62,1.000000,167.589996,0.000000,18.779999,619.310974,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000110,0.000000
63,1.000000,172.819992,0.000000,18.779999,627.330933,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000110,0.000000
64,1.000000,178.110001,0.000000,18.779999,635.280945,0.000000,0.301000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000110,0.000000
