frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
43,0.000000,0.000000,262.500000,0.000000,0.000000,3567.430908,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,0.000000,0.000000,292.179993,0.000000,0.000000,3561.100830,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,0.000000,0.000000,321.799988,0.000000,0.000000,3554.781006,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,0.000000,0.000000,351.369995,0.000000,0.000000,3548.460938,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,0.000000,0.000000,380.889984,0.000000,0.000000,3542.140869,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
48,0.000000,0.000000,410.359985,0.000000,0.000000,3535.820801,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
49,0.000000,0.000000,439.769989,0.000000,0.000000,3529.500977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
50,0.000000,0.000000,469.129974,0.000000,0.000000,3523.180908,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
51,0.000000,0.000000,498.440002,0.000000,0.000000,3516.870850,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
52,0.000000,0.000000,527.690002,0.000000,0.000000,3510.560791,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
53,0.000000,0.000000,556.890015,0.000000,0.000000,3504.250977,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
54,0.000000,0.000000,586.039978,0.000000,0.000000,3497.940918,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
55,0.000000,0.000000,615.140015,0.000000,0.000000,3491.630859,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
56,0.000000,0.000000,644.179993,0.000000,0.000000,3485.320801,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
57,0.000000,0.000000,673.169983,0.000000,0.000000,3479.010986,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
58,0.000000,0.000000,702.109985,0.000000,0.000000,3472.710938,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
59,0.000000,0.000000,731.000000,0.000000,0.000000,3466.410889,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,759.829956,0.000000,0.000000,3460.110840,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
61,0.000000,0.000000,788.609985,0.000000,0.000000,3453.810791,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
62,0.000000,0.000000,817.339966,0.000000,0.000000,3447.510986,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
63,0.000000,0.000000,846.019958,0.000000,0.000000,3441.210938,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
64,0.000000,0.000000,874.639954,0.000000,0.000000,3434.920898,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
65,0.000000,0.000000,903.209961,0.000000,0.000000,3428.630859,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,931.729980,0.000000,0.000000,3422.340820,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
67,0.000000,0.000000,960.199951,0.000000,0.000000,3416.050781,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
68,0.000000,0.000000,988.609985,0.000000,0.000000,3409.760986,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
69,0.000000,0.000000,1016.969971,0.000000,0.000000,3403.470947,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
70,0.000000,0.000000,1045.280029,0.000000,0.000000,3397.190918,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
