frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
19,True,True,-1.000000,0.000000,-200.000000,1046.169922,0.000000,0.000000,291.661011,-0.058040,0.058051,0.704724,0.704717,-1.972210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,True,True,-1.000000,0.000000,-200.000000,1048.599976,0.000000,0.000000,291.661011,-0.064136,0.064147,0.704195,0.704188,-2.076010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,True,True,-1.000000,0.000000,-200.000000,1051.030029,0.000000,0.000000,291.661011,-0.070529,0.070540,0.703581,0.703579,-2.179810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,True,True,-1.000000,0.000000,-200.000000,1053.459961,0.000000,0.000000,291.661011,-0.077219,0.077229,0.702877,0.702877,-2.283610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,True,True,-1.000000,0.000000,-200.000000,1055.890015,0.000000,0.000000,291.661011,-0.084205,0.084216,0.702076,0.702073,-2.387410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,True,True,-1.000000,0.000000,-200.000000,1058.319946,0.000000,0.000000,291.661011,-0.091488,0.091499,0.701163,0.701162,-2.491210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,True,True,-1.000000,0.000000,-200.000000,1060.750000,0.000000,0.000000,291.661011,-0.099062,0.099073,0.700134,0.700131,-2.595010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,True,True,-1.000000,0.000000,-200.000000,1063.179932,0.000000,0.000000,291.661011,-0.106928,0.106939,0.698977,0.698971,-2.698810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,True,True,-1.000000,0.000000,-200.000000,1065.609985,0.000000,0.000000,291.661011,-0.115085,0.115096,0.697679,0.697677,-2.802610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,True,True,-1.000000,0.000000,-200.000000,1068.039917,0.000000,0.000000,291.661011,-0.123528,0.123539,0.696234,0.696231,-2.906410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
29,True,True,-1.000000,0.000000,-200.000000,1070.469971,0.000000,0.000000,291.661011,-0.132251,0.132262,0.694628,0.694628,-3.010210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
30,True,True,-1.000000,0.000000,-200.000000,1072.900024,0.000000,0.000000,291.661011,-0.141255,0.141266,0.692854,0.692853,-3.114010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
31,True,True,-1.000000,0.000000,-200.000000,1075.329956,0.000000,0.000000,291.661011,-0.150534,0.150545,0.690897,0.690895,-3.217810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
32,True,True,-1.000000,0.000000,-200.000000,1077.760010,0.000000,0.000000,291.661011,-0.160083,0.160094,0.688745,0.688748,-3.321610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
33,True,True,-1.000000,0.000000,-200.000000,1080.189941,0.000000,0.000000,291.661011,-0.169896,0.169907,0.686391,0.686392,-3.425410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
34,True,True,-1.000000,0.000000,-200.000000,1082.619995,0.000000,0.000000,291.661011,-0.179968,0.179985,0.683817,0.683821,-3.529210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
35,True,True,-1.000000,0.000000,-200.000000,1085.049927,0.000000,0.000000,291.661011,-0.190299,0.190316,0.681012,0.681020,-3.633010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
36,True,True,-1.000000,0.000000,-200.000000,1087.479980,0.000000,0.000000,291.661011,-0.200879,0.200895,0.677964,0.677978,-3.736810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
37,True,True,-1.000000,0.000000,-200.000000,1089.910034,0.000000,0.000000,291.661011,-0.211701,0.211717,0.674662,0.674677,-3.840610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
38,True,True,-1.000000,0.000000,-200.000000,1092.339966,0.000000,0.000000,291.661011,-0.222760,0.222776,0.671091,0.671108,-3.944410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,True,True,-1.000000,0.000000,-200.000000,1094.770020,0.000000,0.000000,291.661011,-0.234046,0.234062,0.667239,0.667255,-4.048210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,True,True,-1.000000,0.000000,-200.000000,1097.199951,0.000000,0.000000,291.661011,-0.245553,0.245569,0.663090,0.663107,-4.152010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,True,True,-1.000000,0.000000,-200.000000,1099.630005,0.000000,0.000000,291.661011,-0.257271,0.257287,0.658634,0.658647,-4.255810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
42,True,True,-1.000000,0.000000,-200.000000,1102.059937,0.000000,0.000000,291.661011,-0.269193,0.269209,0.653854,0.653862,-4.359610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
