frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.810059,17.000000,0.000000,0.000000,0.321000,-0.003396,0.003396,0.707096,0.707101,0.000410,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.629883,17.000000,0.000000,21.591000,0.241000,-0.003391,0.003391,0.707096,0.707101,0.001110,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.270020,17.000000,0.000000,43.000999,0.181000,-0.003385,0.003385,0.707096,0.707101,0.001510,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4498.729980,17.000000,0.000000,64.221001,0.141000,-0.003380,0.003380,0.707096,0.707101,0.001610,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.020020,17.000000,0.000000,85.260994,0.121000,-0.003374,0.003374,0.707096,0.707101,0.001610,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.140137,17.000000,0.000000,106.120995,0.101000,-0.003369,0.003369,0.707096,0.707102,0.001510,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.080078,17.000000,0.000000,126.800995,0.091000,-0.003364,0.003364,0.707096,0.707102,0.001410,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4494.850098,17.000000,0.000000,147.311005,0.081000,-0.003358,0.003358,0.707096,0.707102,0.001210,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4493.449707,17.000000,0.000000,167.641006,0.081000,-0.003353,0.003353,0.707096,0.707102,0.001010,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4491.879883,17.000000,0.000000,187.801010,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000810,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4490.149902,17.000000,0.000000,207.781006,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000710,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4488.250000,17.000000,0.000000,227.591003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000610,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4486.189941,17.000000,0.000000,247.231003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4483.969727,17.000000,0.000000,266.700989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4481.589844,17.000000,0.000000,286.010986,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4479.049805,17.000000,0.000000,305.151001,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4476.350098,17.000000,0.000000,324.131012,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4473.489746,17.000000,0.000000,342.941010,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4470.479980,17.000000,0.000000,361.591003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4467.310059,17.000000,0.000000,380.080994,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4463.989746,17.000000,0.000000,398.420990,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4460.520020,17.000000,0.000000,416.600983,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
22,False,True,True,0.000000,1.000000,-2000.000000,-4456.899902,17.000000,0.000000,434.621002,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
23,False,True,True,0.000000,1.000000,-2000.000000,-4453.129883,17.000000,0.000000,452.490997,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
24,False,True,True,0.000000,1.000000,-2000.000000,-4449.209961,17.000000,0.000000,470.200989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
25,False,True,True,0.000000,1.000000,-2000.000000,-4445.149902,17.000000,0.000000,487.760986,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
26,False,True,True,0.000000,1.000000,-2000.000000,-4440.939941,17.000000,0.000000,505.170990,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
27,False,True,True,0.000000,1.000000,-2000.000000,-4436.589844,17.000000,0.000000,522.430969,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
28,False,True,True,0.000000,1.000000,-2000.000000,-4432.089844,17.000000,0.000000,539.550964,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
29,False,True,True,0.000000,1.000000,-2000.000000,-4427.449707,17.000000,0.000000,556.520935,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
30,False,True,True,0.000000,1.000000,-2000.000000,-4422.669922,17.000000,0.000000,573.340942,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
31,False,True,True,0.000000,1.000000,-2000.000000,-4417.750000,17.000000,0.000000,590.020935,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
32,False,True,True,0.000000,1.000000,-2000.000000,-4412.689941,17.000000,0.000000,606.560974,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
33,False,True,True,0.000000,1.000000,-2000.000000,-4407.500000,17.000000,0.000000,622.950989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
34,False,True,True,0.000000,1.000000,-2000.000000,-4402.169922,17.000000,0.000000,639.200989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
