frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
25,True,True,1.000000,0.000000,False,0.000000,3543.089844,0.000000,17.000000,434.621002,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000110,0.000000
26,True,True,1.000000,0.000000,False,0.000000,3546.859863,0.000000,17.000000,452.490997,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000110,0.000000
27,True,True,1.000000,0.000000,False,0.000000,3550.780029,0.000000,17.000000,470.200989,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000110,0.000000
28,True,True,1.000000,0.000000,False,0.000000,3554.839844,0.000000,17.000000,487.760986,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000110,0.000000
29,True,True,1.000000,0.000000,False,0.000000,3559.049805,0.000000,17.000000,505.170990,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
30,True,True,1.000000,0.000000,False,0.000000,3563.399902,0.000000,17.000000,522.430969,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
31,True,True,1.000000,0.000000,False,0.000000,3567.899902,0.000000,17.000000,539.550964,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
32,True,True,1.000000,0.000000,False,0.000000,3572.540039,0.000000,17.000000,556.520935,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
33,True,True,1.000000,0.000000,False,0.000000,3577.319824,0.000000,17.000000,573.340942,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
34,True,True,1.000000,0.000000,False,0.000000,3582.239990,0.000000,17.000000,590.020935,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
35,True,True,1.000000,0.000000,False,0.000000,3587.290039,0.000000,17.000000,606.560974,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
36,True,True,1.000000,0.000000,False,0.000000,3592.479980,0.000000,17.000000,622.950989,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
37,True,True,1.000000,0.000000,False,0.000000,3597.809814,0.000000,17.000000,639.200989,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
38,True,True,1.000000,0.000000,False,0.000000,3603.270020,0.000000,17.000000,655.310974,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
39,True,True,1.000000,0.000000,False,0.000000,3608.859863,0.000000,17.000000,671.290955,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
40,True,True,1.000000,0.000000,False,0.000000,3614.589844,0.000000,17.000000,687.130981,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
41,True,True,1.000000,0.000000,False,0.000000,3620.449951,0.000000,17.000000,702.830933,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
42,True,True,1.000000,0.000000,False,0.000000,3626.439941,0.000000,17.000000,718.400940,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
43,True,True,1.000000,0.000000,False,0.000000,3632.559814,0.000000,17.000000,733.840942,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
44,True,True,1.000000,0.000000,False,0.000000,3638.799805,0.000000,17.000000,749.140930,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
45,True,True,1.000000,0.000000,False,0.000000,3645.169922,0.000000,17.000000,764.310974,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000000,0.000000
46,True,True,1.000000,0.000000,False,0.000000,3651.659912,0.000000,17.000000,779.350952,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000110,0.000000
47,True,True,1.000000,0.000000,False,0.000000,3658.280029,0.000000,17.000000,794.260986,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000110,0.000000
48,True,True,1.000000,0.000000,False,0.000000,3665.020020,0.000000,17.000000,809.050964,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000110,0.000000
49,True,True,1.000000,0.000000,False,0.000000,3671.879883,0.000000,17.000000,823.710938,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000110,0.000000
50,True,True,1.000000,0.000000,False,0.000000,3678.869873,0.000000,17.000000,838.240967,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000110,0.000000
51,True,True,1.000000,0.000000,False,0.000000,3685.979980,0.000000,17.000000,852.650940,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
52,True,True,1.000000,0.000000,False,0.000000,3693.199951,0.000000,17.000000,866.930969,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
53,True,True,1.000000,0.000000,False,0.000000,3700.540039,0.000000,17.000000,881.090942,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
54,True,True,1.000000,0.000000,False,0.000000,3708.000000,0.000000,17.000000,895.130981,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
55,True,True,1.000000,0.000000,False,0.000000,3715.579834,0.000000,17.000000,909.050964,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
56,True,True,1.000000,0.000000,False,0.000000,3723.270020,0.000000,17.000000,922.850952,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000210,0.000000
57,True,True,1.000000,0.000000,False,0.000000,3731.069824,0.000000,17.000000,936.530945,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
58,True,True,1.000000,0.000000,False,0.000000,3738.989990,0.000000,17.000000,950.100952,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
59,True,True,1.000000,0.000000,False,0.000000,3747.020020,0.000000,17.000000,963.550964,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
60,True,True,1.000000,0.000000,False,0.000000,3755.159912,0.000000,17.000000,976.880981,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
61,True,True,1.000000,0.000000,False,0.000000,3763.409912,0.000000,17.000000,990.100952,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
62,True,True,1.000000,0.000000,False,0.000000,3771.770020,0.000000,17.000000,1003.210938,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000310,0.000000
63,True,True,1.000000,0.000000,False,0.000000,3780.239990,0.000000,17.000000,1016.200928,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000410,0.000000
64,True,True,1.000000,0.000000,False,0.000000,3788.819824,0.000000,17.000000,1029.080933,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000410,0.000000
65,True,True,1.000000,0.000000,False,0.000000,3797.500000,0.000000,17.000000,1041.850952,0.000000,0.081000,0.000003,0.004734,0.000003,0.999989,0.000000,0.000410,0.000000
