frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.770000,1.590000,117.519997,2.961000,10.501000,331.031006,-0.357253,0.007863,0.002954,0.933970,-5.337610,0.000000,0.088910
35,False,False,False,False,0.000000,1.000000,0.790000,1.680000,120.229996,2.961000,10.501000,325.610992,-0.378347,0.007793,0.003126,0.925626,-5.443910,0.000000,0.090710
36,False,False,False,False,0.000000,1.000000,0.810000,1.770000,122.899994,2.961000,10.501000,320.191010,-0.399635,0.007717,0.003304,0.916636,-5.499210,0.000000,0.091610
37,False,False,False,False,0.000000,1.000000,0.830000,1.860000,125.519997,2.961000,10.501000,314.770996,-0.420912,0.007636,0.003482,0.907063,-5.499210,0.000000,0.091610
38,False,False,False,False,0.000000,1.000000,0.850000,1.950000,128.099991,2.961000,10.501000,309.351013,-0.441957,0.007550,0.003655,0.896997,-5.499210,0.000000,0.091610
39,False,False,False,False,0.000000,1.000000,0.870000,2.040000,130.629990,2.961000,10.501000,303.931000,-0.462765,0.007464,0.003828,0.886441,-5.499210,0.000000,0.091610
40,False,False,False,False,0.000000,1.000000,0.890000,2.130000,133.119995,2.961000,10.501000,298.510986,-0.483319,0.007372,0.003995,0.875404,-5.499210,0.000000,0.091610
41,False,False,False,False,0.000000,1.000000,0.910000,2.220000,135.559998,2.961000,10.501000,293.091003,-0.503609,0.007275,0.004162,0.863891,-5.499210,0.000000,0.091610
42,False,False,False,False,0.000000,1.000000,0.930000,2.310000,137.959991,2.961000,10.501000,287.670990,-0.523629,0.007172,0.004329,0.851905,-5.499210,0.000000,0.091610
43,False,False,False,False,0.000000,1.000000,0.950000,2.400000,140.309998,2.961000,10.501000,282.251007,-0.543363,0.007070,0.004491,0.839456,-5.499210,0.000000,0.091610
44,False,False,False,False,0.000000,1.000000,0.970000,2.490000,142.619995,2.961000,10.501000,276.830994,-0.562801,0.006962,0.004653,0.826550,-5.499210,0.000000,0.091610
45,False,False,False,False,0.000000,1.000000,0.990000,2.580000,144.879990,2.961000,10.501000,271.411011,-0.581931,0.006849,0.004809,0.813195,-5.499210,0.000000,0.091610
46,False,False,False,False,0.000000,1.000000,1.010000,2.670000,147.099991,2.961000,10.501000,265.990997,-0.600743,0.006735,0.004966,0.799399,-5.499210,0.000000,0.091610
47,False,False,False,False,0.000000,1.000000,1.030000,2.760000,149.270004,2.961000,10.501000,260.571014,-0.619231,0.006617,0.005117,0.785165,-5.499210,0.000000,0.091610
48,False,False,False,False,0.000000,1.000000,1.050000,2.850000,151.399994,2.961000,10.501000,255.151001,-0.637379,0.006493,0.005268,0.770505,-5.499210,0.000000,0.091610
49,False,False,False,False,0.000000,1.000000,1.070000,2.940000,153.479996,2.961000,10.501000,249.731003,-0.655182,0.006369,0.005414,0.755425,-5.499210,0.000000,0.091610
50,False,False,False,False,0.000000,1.000000,1.090000,3.030000,155.519989,2.961000,10.501000,244.311005,-0.672629,0.006239,0.005559,0.739933,-5.499210,0.000000,0.091610
51,False,False,False,False,0.000000,1.000000,1.110000,3.120000,157.509995,2.961000,10.501000,238.891006,-0.689708,0.006104,0.005700,0.724039,-5.499210,0.000000,0.091610
52,False,False,False,False,0.000000,1.000000,1.130000,3.210000,159.459991,2.961000,10.501000,233.471008,-0.706411,0.005969,0.005840,0.707753,-5.499210,0.000000,0.091610
53,False,False,False,False,0.000000,1.000000,1.150000,3.300000,161.360001,2.961000,10.501000,228.050995,0.722731,-0.005829,-0.005975,-0.691079,-5.499210,0.000000,0.091610
54,False,False,False,False,0.000000,1.000000,1.170000,3.390000,163.220001,2.961000,10.501000,222.630997,0.738656,-0.005683,-0.006104,-0.674031,-5.499210,0.000000,0.091610
55,False,False,False,False,0.000000,1.000000,1.190000,3.480000,165.029999,2.961000,10.501000,217.210999,0.754178,-0.005538,-0.006234,-0.656617,-5.499210,0.000000,0.091610
56,False,False,False,False,0.000000,1.000000,1.210000,3.570000,166.789993,2.961000,10.501000,211.791000,0.769294,-0.005387,-0.006358,-0.638841,-5.499210,0.000000,0.091610
57,False,False,False,False,0.000000,1.000000,1.230000,3.660000,168.509995,2.961000,10.501000,206.371002,0.783988,-0.005236,-0.006476,-0.620720,-5.499210,0.000000,0.091610
58,False,False,False,False,0.000000,1.000000,1.250000,3.750000,170.179993,2.961000,10.501000,200.951004,0.798258,-0.005079,-0.006595,-0.602259,-5.499210,0.000000,0.091610
59,False,False,False,False,0.000000,1.000000,1.270000,3.840000,171.809998,2.961000,10.501000,195.531006,0.812093,-0.004923,-0.006708,-0.583468,-5.499210,0.000000,0.091610
60,False,False,False,False,0.000000,1.000000,1.290000,3.930000,173.389999,2.961000,10.501000,190.111008,0.825483,-0.004761,-0.006816,-0.564365,-5.499210,0.000000,0.091610
61,False,False,False,False,0.000000,1.000000,1.310000,4.020000,174.929993,2.961000,10.501000,184.691010,0.838424,-0.004599,-0.006924,-0.544955,-5.499210,0.000000,0.091610
62,False,False,False,False,0.000000,1.000000,1.330000,4.110000,176.419998,2.961000,10.501000,179.270996,0.850909,-0.004432,-0.007027,-0.525248,-5.499210,0.000000,0.091610
63,False,False,False,False,0.000000,1.000000,1.350000,4.200000,177.869995,2.961000,10.501000,173.850998,0.862931,-0.004265,-0.007124,-0.505254,-5.499210,0.000000,0.091610
64,False,False,False,False,0.000000,1.000000,1.370000,4.290000,179.269989,2.961000,10.501000,168.431000,0.874483,-0.004092,-0.007221,-0.484986,-5.499210,0.000000,0.091610
65,False,False,False,False,0.000000,1.000000,1.390000,4.380000,180.629990,2.961000,10.501000,163.011002,0.885559,-0.003919,-0.007313,-0.464453,-5.499210,0.000000,0.091610
66,False,False,False,False,0.000000,1.000000,1.410000,4.470000,181.940002,2.961000,10.501000,157.591003,0.896153,-0.003747,-0.007399,-0.443667,-5.499210,0.000000,0.091510
67,False,False,False,False,0.000000,1.000000,1.430000,4.560000,183.209991,2.961000,10.501000,152.171005,0.906261,-0.003569,-0.007480,-0.422638,-5.499210,0.000000,0.091510
68,False,False,False,False,0.000000,1.000000,1.450000,4.650000,184.429993,2.961000,10.501000,146.751007,0.915875,-0.003391,-0.007561,-0.401377,-5.499210,0.000000,0.091510
69,False,False,False,False,0.000000,1.000000,1.470000,4.740000,185.610001,2.961000,10.501000,141.331009,0.924990,-0.003213,-0.007636,-0.379900,-5.499210,0.000000,0.091410
