frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.410000,1.590000,117.489998,1.631000,10.501000,331.121002,-0.357258,0.004491,0.001675,0.933993,-5.338010,0.000000,0.050410
35,False,False,False,False,0.000000,1.000000,0.420000,1.680000,120.199997,1.631000,10.501000,325.700989,-0.378352,0.004453,0.001772,0.925649,-5.444310,0.000000,0.051410
36,False,False,False,False,0.000000,1.000000,0.430000,1.770000,122.869995,1.631000,10.501000,320.281006,-0.399640,0.004410,0.001869,0.916660,-5.499710,0.000000,0.051910
37,False,False,False,False,0.000000,1.000000,0.440000,1.860000,125.489998,1.631000,10.501000,314.860992,-0.420917,0.004367,0.001966,0.907086,-5.499710,0.000000,0.051910
38,False,False,False,False,0.000000,1.000000,0.450000,1.950000,128.069992,1.631000,10.501000,309.441010,-0.441968,0.004319,0.002064,0.897018,-5.499710,0.000000,0.051910
39,False,False,False,False,0.000000,1.000000,0.460000,2.040000,130.599991,1.631000,10.501000,304.020996,-0.462775,0.004270,0.002161,0.886462,-5.499710,0.000000,0.051910
40,False,False,False,False,0.000000,1.000000,0.470000,2.130000,133.089996,1.631000,10.501000,298.601013,-0.483330,0.004216,0.002258,0.875425,-5.499710,0.000000,0.051910
41,False,False,False,False,0.000000,1.000000,0.480000,2.220000,135.529999,1.631000,10.501000,293.181000,-0.503620,0.004162,0.002349,0.863912,-5.499710,0.000000,0.051910
42,False,False,False,False,0.000000,1.000000,0.490000,2.310000,137.929993,1.631000,10.501000,287.760986,-0.523640,0.004103,0.002441,0.851926,-5.499710,0.000000,0.051910
43,False,False,False,False,0.000000,1.000000,0.500000,2.400000,140.279999,1.631000,10.501000,282.341003,-0.543374,0.004043,0.002533,0.839477,-5.499710,0.000000,0.051910
44,False,False,False,False,0.000000,1.000000,0.510000,2.490000,142.589996,1.631000,10.501000,276.920990,-0.562812,0.003984,0.002625,0.826571,-5.499710,0.000000,0.051910
45,False,False,False,False,0.000000,1.000000,0.520000,2.580000,144.849991,1.631000,10.501000,271.501007,-0.581942,0.003919,0.002711,0.813217,-5.499710,0.000000,0.051910
46,False,False,False,False,0.000000,1.000000,0.530000,2.670000,147.069992,1.631000,10.501000,266.080994,-0.600753,0.003855,0.002797,0.799420,-5.499710,0.000000,0.051910
47,False,False,False,False,0.000000,1.000000,0.540000,2.760000,149.239990,1.631000,10.501000,260.661011,-0.619241,0.003784,0.002884,0.785186,-5.499710,0.000000,0.051910
48,False,False,False,False,0.000000,1.000000,0.550000,2.850000,151.369995,1.631000,10.501000,255.240997,-0.637389,0.003714,0.002970,0.770527,-5.499710,0.000000,0.051910
49,False,False,False,False,0.000000,1.000000,0.560000,2.940000,153.449997,1.631000,10.501000,249.820999,-0.655192,0.003644,0.003051,0.755447,-5.499710,0.000000,0.051910
50,False,False,False,False,0.000000,1.000000,0.570000,3.030000,155.489990,1.631000,10.501000,244.401001,-0.672639,0.003569,0.003132,0.739955,-5.499710,0.000000,0.051910
51,False,False,False,False,0.000000,1.000000,0.580000,3.120000,157.479996,1.631000,10.501000,238.981003,-0.689719,0.003493,0.003213,0.724061,-5.499710,0.000000,0.051910
52,False,False,False,False,0.000000,1.000000,0.590000,3.210000,159.429993,1.631000,10.501000,233.561005,-0.706422,0.003418,0.003288,0.707775,-5.499710,0.000000,0.051910
53,False,False,False,False,0.000000,1.000000,0.600000,3.300000,161.330002,1.631000,10.501000,228.141006,0.722743,-0.003337,-0.003364,-0.691100,-5.499710,0.000000,0.051910
54,False,False,False,False,0.000000,1.000000,0.610000,3.390000,163.190002,1.631000,10.501000,222.721008,0.738668,-0.003256,-0.003439,-0.674053,-5.499710,0.000000,0.051910
55,False,False,False,False,0.000000,1.000000,0.620000,3.480000,165.000000,1.631000,10.501000,217.300995,0.754191,-0.003175,-0.003509,-0.656638,-5.499710,0.000000,0.051910
56,False,False,False,False,0.000000,1.000000,0.630000,3.570000,166.769989,1.631000,10.501000,211.880997,0.769307,-0.003089,-0.003579,-0.638862,-5.499710,0.000000,0.051910
57,False,False,False,False,0.000000,1.000000,0.640000,3.660000,168.489990,1.631000,10.501000,206.460999,0.784001,-0.003002,-0.003650,-0.620741,-5.499710,0.000000,0.051910
