frame,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
77,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.993366,-0.114993,0.000000,0.000000,5.500010
78,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.990427,-0.138040,0.000000,0.000000,5.500010
79,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.986953,-0.161011,0.000000,0.000000,5.500010
80,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.982946,-0.183896,0.000000,0.000000,5.500010
81,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.978409,-0.206678,0.000000,0.000000,5.500010
82,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.973343,-0.229353,0.000000,0.000000,5.500010
83,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.967752,-0.251903,0.000000,0.000000,5.500010
84,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.961639,-0.274318,0.000000,0.000000,5.500010
85,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.955007,-0.296583,0.000000,0.000000,5.500010
86,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.947859,-0.318691,0.000000,0.000000,5.500010
87,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.940199,-0.340626,0.000000,0.000000,5.500010
88,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.932031,-0.362378,0.000000,0.000000,5.500010
89,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.923362,-0.383930,0.000000,0.000000,5.500010
90,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.914194,-0.405277,0.000000,0.000000,5.500010
91,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.904533,-0.426404,0.000000,0.000000,5.500010
92,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.894382,-0.447303,0.000000,0.000000,5.500010
93,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.883750,-0.467960,0.000000,0.000000,5.500010
94,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.872640,-0.488363,0.000000,0.000000,5.500010
95,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.861061,-0.508502,0.000000,0.000000,5.500010
96,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.849017,-0.528366,0.000000,0.000000,5.500010
