frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
28,False,False,False,False,0.000000,1.000000,-0.210000,1.050000,102.040001,-0.731000,10.501000,363.700989,-0.236916,-0.002344,-0.000537,0.971527,-4.601110,0.000000,-0.021510
29,False,False,False,False,0.000000,1.000000,-0.220000,1.140000,105.029999,-0.731000,10.501000,358.281006,-0.256046,-0.002333,-0.000580,0.966662,-4.736810,0.000000,-0.022110
30,False,False,False,False,0.000000,1.000000,-0.230000,1.230000,107.970001,-0.731000,10.501000,352.860992,-0.275597,-0.002322,-0.000623,0.961270,-4.867110,0.000000,-0.022710
31,False,False,False,False,0.000000,1.000000,-0.240000,1.320000,110.869995,-0.731000,10.501000,347.441010,-0.295531,-0.002306,-0.000666,0.955330,-4.992210,0.000000,-0.023310
32,False,False,False,False,0.000000,1.000000,-0.250000,1.410000,113.720001,-0.731000,10.501000,342.020996,-0.315810,-0.002290,-0.000709,0.948819,-5.112310,0.000000,-0.023810
33,False,False,False,False,0.000000,1.000000,-0.260000,1.500000,116.529999,-0.731000,10.501000,336.601013,-0.336402,-0.002274,-0.000758,0.941715,-5.227610,0.000000,-0.024310
34,False,False,False,False,0.000000,1.000000,-0.270000,1.590000,119.290001,-0.731000,10.501000,331.181000,-0.357264,-0.002258,-0.000807,0.934001,-5.338310,0.000000,-0.024810
35,False,False,False,False,0.000000,1.000000,-0.280000,1.680000,122.000000,-0.731000,10.501000,325.760986,-0.378357,-0.002236,-0.000855,0.925656,-5.444610,0.000000,-0.025310
36,False,False,False,False,0.000000,1.000000,-0.290000,1.770000,124.669998,-0.731000,10.501000,320.341003,-0.399645,-0.002215,-0.000904,0.916667,-5.499910,0.000000,-0.025510
37,False,False,False,False,0.000000,1.000000,-0.300000,1.860000,127.290001,-0.731000,10.501000,314.920990,-0.420923,-0.002193,-0.000952,0.907093,-5.499910,0.000000,-0.025510
