frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
33,False,True,True,0.000000,1.000000,-2000.000000,-4407.759766,18.779999,0.000000,622.960938,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000310,0.000000,0.000000
34,False,True,True,0.000000,1.000000,-2000.000000,-4402.429688,18.779999,0.000000,639.210938,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000310,0.000000,0.000000
35,False,True,True,0.000000,1.000000,-2000.000000,-4396.969727,18.779999,0.000000,655.320984,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
36,False,True,True,0.000000,1.000000,-2000.000000,-4391.379883,18.779999,0.000000,671.300964,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
37,False,True,True,0.000000,1.000000,-2000.000000,-4385.649902,18.779999,0.000000,687.140991,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
38,False,True,True,0.000000,1.000000,-2000.000000,-4379.790039,18.779999,0.000000,702.840942,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
39,False,True,True,0.000000,1.000000,-2000.000000,-4373.799805,18.779999,0.000000,718.410950,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
40,False,True,True,0.000000,1.000000,-2000.000000,-4367.679688,18.779999,0.000000,733.850952,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
41,False,True,True,0.000000,1.000000,-2000.000000,-4361.439941,18.779999,0.000000,749.150940,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
42,False,True,True,0.000000,1.000000,-2000.000000,-4355.069824,18.779999,0.000000,764.320984,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
43,False,True,True,0.000000,1.000000,-2000.000000,-4348.569824,18.779999,0.000000,779.360962,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
44,False,True,True,0.000000,1.000000,-2000.000000,-4341.949707,18.779999,0.000000,794.270935,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
45,False,True,True,0.000000,1.000000,-2000.000000,-4335.209961,18.779999,0.000000,809.060974,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000210,0.000000,0.000000
46,False,True,True,0.000000,1.000000,-2000.000000,-4328.350098,18.779999,0.000000,823.720947,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
47,False,True,True,0.000000,1.000000,-2000.000000,-4321.359863,18.779999,0.000000,838.250977,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
48,False,True,True,0.000000,1.000000,-2000.000000,-4314.250000,18.779999,0.000000,852.660950,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
49,False,True,True,0.000000,1.000000,-2000.000000,-4307.029785,18.779999,0.000000,866.940979,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
50,False,True,True,0.000000,1.000000,-2000.000000,-4299.689941,18.779999,0.000000,881.100952,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
51,False,True,True,0.000000,1.000000,-2000.000000,-4292.229980,18.779999,0.000000,895.140930,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
52,False,True,True,0.000000,1.000000,-2000.000000,-4284.649902,18.779999,0.000000,909.060974,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
53,False,True,True,0.000000,1.000000,-2000.000000,-4276.959961,18.779999,0.000000,922.860962,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
54,False,True,True,0.000000,1.000000,-2000.000000,-4269.159668,18.779999,0.000000,936.540955,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
55,False,True,True,0.000000,1.000000,-2000.000000,-4261.239746,18.779999,0.000000,950.110962,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
56,False,True,True,0.000000,1.000000,-2000.000000,-4253.209961,18.779999,0.000000,963.560974,0.451000,0.001691,-0.001691,0.707101,0.707108,-0.000110,0.000000,0.000000
57,False,True,True,0.000000,1.000000,-2000.000000,-4245.069824,18.779999,0.000000,976.890930,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
58,False,True,True,0.000000,1.000000,-2000.000000,-4236.819824,18.779999,0.000000,990.110962,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
59,False,True,True,0.000000,1.000000,-2000.000000,-4228.459961,18.779999,0.000000,1003.220947,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
