frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
36,False,False,1.000000,0.000000,3557.339844,0.000000,18.330000,384.591003,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
37,False,False,1.000000,0.000000,3560.629883,0.000000,18.330000,394.621002,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
38,False,False,1.000000,0.000000,3564.000000,0.000000,18.330000,404.570984,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
39,False,False,1.000000,0.000000,3567.449951,0.000000,18.330000,414.431000,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
40,False,False,1.000000,0.000000,3570.989990,0.000000,18.330000,424.210999,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
41,False,False,1.000000,0.000000,3574.609863,0.000000,18.330000,433.901001,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
42,False,False,1.000000,0.000000,3578.309814,0.000000,18.330000,443.510986,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
43,False,False,1.000000,0.000000,3582.089844,0.000000,18.330000,453.040985,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
44,False,False,1.000000,0.000000,3585.939941,0.000000,18.330000,462.490997,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
45,False,False,1.000000,0.000000,3589.869873,0.000000,18.330000,471.860992,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
46,False,False,1.000000,0.000000,3593.879883,0.000000,18.330000,481.151001,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
47,False,False,1.000000,0.000000,3597.969971,0.000000,18.330000,490.360992,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000000,0.000000
48,False,False,1.000000,0.000000,3602.129883,0.000000,18.330000,499.490997,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000110,0.000000
49,False,False,1.000000,0.000000,3606.369873,0.000000,18.330000,508.540985,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000110,0.000000
50,False,False,1.000000,0.000000,3610.679932,0.000000,18.330000,517.510986,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000110,0.000000
51,False,False,1.000000,0.000000,3615.069824,0.000000,18.330000,526.400940,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000110,0.000000
52,False,False,1.000000,0.000000,3619.530029,0.000000,18.330000,535.220947,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000110,0.000000
53,False,False,1.000000,0.000000,3624.059814,0.000000,18.330000,543.960938,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
54,False,False,1.000000,0.000000,3628.659912,0.000000,18.330000,552.630981,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
55,False,False,1.000000,0.000000,3633.339844,0.000000,18.330000,561.220947,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
56,False,False,1.000000,0.000000,3638.089844,0.000000,18.330000,569.740967,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
57,False,False,1.000000,0.000000,3642.909912,0.000000,18.330000,578.190979,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
58,False,False,1.000000,0.000000,3647.799805,0.000000,18.330000,586.560974,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000210,0.000000
59,False,False,1.000000,0.000000,3652.760010,0.000000,18.330000,594.860962,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
60,False,False,1.000000,0.000000,3657.790039,0.000000,18.330000,603.090942,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
61,False,False,1.000000,0.000000,3662.879883,0.000000,18.330000,611.250977,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
62,False,False,1.000000,0.000000,3668.040039,0.000000,18.330000,619.340942,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
63,False,False,1.000000,0.000000,3673.270020,0.000000,18.330000,627.360962,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
64,False,False,1.000000,0.000000,3678.559814,0.000000,18.330000,635.310974,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
65,False,False,1.000000,0.000000,3683.919922,0.000000,18.330000,643.190979,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000310,0.000000
66,False,False,1.000000,0.000000,3689.349854,0.000000,18.330000,651.010986,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
67,False,False,1.000000,0.000000,3694.839844,0.000000,18.330000,658.760986,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
68,False,False,1.000000,0.000000,3700.389893,0.000000,18.330000,666.440979,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
69,False,False,1.000000,0.000000,3706.010010,0.000000,18.330000,674.060974,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
70,False,False,1.000000,0.000000,3711.689941,0.000000,18.330000,681.610962,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
71,False,False,1.000000,0.000000,3717.429932,0.000000,18.330000,689.100952,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
72,False,False,1.000000,0.000000,3723.229980,0.000000,18.330000,696.520935,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000410,0.000000
73,False,False,1.000000,0.000000,3729.099854,0.000000,18.330000,703.880981,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
74,False,False,1.000000,0.000000,3735.030029,0.000000,18.330000,711.180969,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
75,False,False,1.000000,0.000000,3741.020020,0.000000,18.330000,718.410950,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
76,False,False,1.000000,0.000000,3747.069824,0.000000,18.330000,725.580933,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
77,False,False,1.000000,0.000000,3753.179932,0.000000,18.330000,732.690979,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
78,False,False,1.000000,0.000000,3759.339844,0.000000,18.330000,739.740967,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
79,False,False,1.000000,0.000000,3765.559814,0.000000,18.330000,746.730957,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
80,False,False,1.000000,0.000000,3771.839844,0.000000,18.330000,753.660950,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000510,0.000000
81,False,False,1.000000,0.000000,3778.179932,0.000000,18.330000,760.530945,0.000000,0.311000,0.000003,0.008440,0.000003,0.999964,0.000000,0.000610,0.000000
82,False,False,1.000000,0.000000,3784.569824,0.000000,18.330000,767.340942,0.000000,0.311000,0.000003,0.008446,0.000003,0.999964,0.000000,0.000610,0.000000
83,False,False,1.000000,0.000000,3791.020020,0.000000,18.330000,774.090942,0.000000,0.311000,0.000003,0.008446,0.000003,0.999964,0.000000,0.000610,0.000000
84,False,False,1.000000,0.000000,3797.520020,0.000000,18.389999,779.720947,0.000000,7.701000,0.000003,0.007501,0.000003,0.999972,0.000000,-0.226010,0.000000
85,False,False,1.000000,0.000000,3804.059814,0.000000,18.580000,784.640930,0.000000,23.150999,0.000003,0.004594,0.000003,0.999989,0.000000,-0.697510,0.000000
86,False,False,1.000000,0.000000,3810.649902,0.000000,18.840000,790.320984,0.000000,30.870998,0.000003,0.000774,0.000003,1.000000,0.000000,-0.916710,0.000000
87,False,False,1.000000,0.000000,3817.289795,0.000000,19.129999,796.350952,0.000000,34.660999,0.000003,-0.003439,0.000003,0.999994,0.000000,-1.011710,0.000000
88,False,False,1.000000,0.000000,3823.979980,0.000000,19.430000,802.540955,0.000000,36.250999,0.000003,-0.007777,0.000003,0.999970,0.000000,-1.040910,0.000000
89,False,False,1.000000,0.000000,3830.719971,0.000000,19.740000,808.720947,0.000000,37.320999,0.000003,-0.012184,0.000003,0.999926,0.000000,-1.057810,0.000000
90,False,False,1.000000,0.000000,3837.510010,0.000000,20.059999,814.880981,0.000000,37.980999,0.000003,-0.016630,0.000003,0.999862,0.000000,-1.066610,0.000000
