frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeRight,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
28,False,False,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,101.639999,2.961000,0.000000,364.210999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
29,False,False,0.000000,0.000000,0.000000,0.000000,0.690000,0.000000,104.629997,2.961000,0.000000,358.790985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
30,False,False,0.000000,0.000000,0.000000,0.000000,0.710000,0.000000,107.570000,2.961000,0.000000,353.371002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
31,False,False,0.000000,0.000000,0.000000,0.000000,0.730000,0.000000,110.470001,2.961000,0.000000,347.950989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
32,False,False,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,113.320000,2.961000,0.000000,342.531006,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
33,False,False,0.000000,0.000000,0.000000,0.000000,0.770000,0.000000,116.129997,2.961000,0.000000,337.110992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
34,False,False,0.000000,0.000000,0.000000,0.000000,0.790000,0.000000,118.889999,2.961000,0.000000,331.691010,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
35,False,False,0.000000,0.000000,0.000000,0.000000,0.810000,0.000000,121.610001,2.961000,0.000000,326.270996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
36,False,False,0.000000,0.000000,0.000000,0.000000,0.830000,0.000000,124.279999,2.961000,0.000000,320.851013,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
37,False,False,0.000000,0.000000,0.000000,0.000000,0.850000,0.000000,126.909996,2.961000,0.000000,315.431000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
