frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,0.000000,-154.940002,1000.000000,0.000000,2300.000977,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,0.000000,-139.709991,1000.019958,0.000000,1971.450928,0.921000,0.000504,-0.000499,0.707106,0.707107,0.160310,0.000000,0.000000,0.000000,23.639999,999.909973,0.000000,3236.250977,-5.561000,-0.000839,0.000003,0.000003,1.000000,-0.201410,0.000000,0.000000
20,0.000000,-123.519997,1000.029968,0.000000,1971.450928,0.921000,0.000974,-0.000968,0.707107,0.707105,0.156410,0.000000,0.000000,0.000000,52.049999,999.849976,0.000000,3235.420898,-5.551000,-0.001680,0.000003,0.000003,0.999999,-0.201410,0.000000,0.000000
21,0.000000,-107.089996,1000.039978,0.000000,1971.450928,0.921000,0.001422,-0.001416,0.707104,0.707107,0.152610,0.000000,0.000000,0.000000,79.009995,999.799988,0.000000,3234.590820,-5.541000,-0.002522,0.000003,0.000003,0.999997,-0.201410,0.000000,0.000000
22,0.000000,-90.659996,1000.049988,0.000000,1971.450928,0.921000,0.001859,-0.001853,0.707101,0.707107,0.148910,0.000000,0.000000,0.000000,105.959999,999.750000,0.000000,3233.770996,-5.531000,-0.003364,0.000003,0.000003,0.999994,-0.201410,0.000000,0.000000
23,0.000000,-74.229996,1000.059998,0.000000,1971.450928,0.921000,0.002285,-0.002279,0.707101,0.707105,0.145310,0.000000,0.000000,0.000000,132.899994,999.699951,0.000000,3232.950928,-5.521000,-0.004205,0.000003,0.000003,0.999991,-0.201410,0.000000,0.000000
24,0.000000,-57.799999,1000.070007,0.000000,1971.450928,0.921000,0.002700,-0.002695,0.707101,0.707102,0.141810,0.000000,0.000000,0.000000,159.830002,999.649963,0.000000,3232.130859,-5.511000,-0.005047,0.000003,0.000003,0.999987,-0.201410,0.000000,0.000000
25,0.000000,-41.369999,1000.079956,0.000000,1971.450928,0.921000,0.003110,-0.003105,0.707101,0.707098,0.138410,0.000000,0.000000,0.000000,186.759995,999.599976,0.000000,3231.310791,-5.501000,-0.005888,0.000003,0.000003,0.999983,-0.201410,0.000000,0.000000
26,0.000000,-24.939999,1000.089966,0.000000,1971.450928,0.921000,0.003509,-0.003504,0.707100,0.707096,0.135010,0.000000,0.000000,0.000000,213.679993,999.549988,0.000000,3230.490967,-5.491000,-0.006730,0.000003,0.000003,0.999977,-0.201410,0.000000,0.000000
27,0.000000,-8.510000,1000.099976,0.000000,1971.450928,0.921000,0.003898,-0.003892,0.707096,0.707096,0.131710,0.000000,0.000000,0.000000,240.589996,999.500000,0.000000,3229.670898,-5.481000,-0.007572,0.000003,0.000003,0.999971,-0.201410,0.000000,0.000000
28,0.000000,7.920000,1000.109985,0.000000,1971.450928,0.921000,0.004275,-0.004270,0.707092,0.707096,0.128510,0.000000,0.000000,0.000000,267.500000,999.449951,0.000000,3228.850830,-5.471000,-0.008413,0.000003,0.000003,0.999965,-0.201410,0.000000,0.000000
29,0.000000,24.350000,1000.119995,0.000000,1971.450928,0.921000,0.004648,-0.004637,0.707090,0.707092,0.125410,0.000000,0.000000,0.000000,294.399994,999.399963,0.000000,3228.031006,-5.461000,-0.009255,0.000003,0.000003,0.999957,-0.201410,0.000000,0.000000
30,0.000000,40.779999,1000.130005,0.000000,1971.450928,0.921000,0.005009,-0.004998,0.707090,0.707088,0.122410,0.000000,0.000000,0.000000,321.289978,999.349976,0.000000,3227.210938,-5.451000,-0.010096,0.000003,0.000003,0.999949,-0.201410,0.000000,0.000000
31,0.000000,57.209999,1000.139954,0.000000,1971.450928,0.921000,0.005360,-0.005349,0.707088,0.707085,0.119410,0.000000,0.000000,0.000000,348.179993,999.299988,0.000000,3226.390869,-5.441000,-0.010938,0.000003,0.000003,0.999940,-0.201410,0.000000,0.000000
32,0.000000,73.639999,1000.149963,0.000000,1971.450928,0.921000,0.005705,-0.005694,0.707082,0.707085,0.116510,0.000000,0.000000,0.000000,375.059998,999.250000,0.000000,3225.570801,-5.431000,-0.011780,0.000003,0.000003,0.999931,-0.201410,0.000000,0.000000
33,0.000000,90.070000,1000.159973,0.000000,1971.450928,0.921000,0.006039,-0.006029,0.707080,0.707082,0.113710,0.000000,0.000000,0.000000,401.929993,999.199951,0.000000,3224.750977,-5.421000,-0.012621,0.000003,0.000003,0.999920,-0.201410,0.000000,0.000000
34,0.000000,106.500000,1000.169983,0.000000,1971.450928,0.921000,0.006369,-0.006358,0.707074,0.707082,0.110910,0.000000,0.000000,0.000000,428.799988,999.149963,0.000000,3223.930908,-5.411000,-0.013463,0.000003,0.000003,0.999909,-0.201410,0.000000,0.000000
35,0.000000,122.930000,1000.179993,0.000000,1971.450928,0.921000,0.006687,-0.006676,0.707069,0.707081,0.108210,0.000000,0.000000,0.000000,455.660004,999.099976,0.000000,3223.110840,-5.401000,-0.014304,0.000003,0.000003,0.999898,-0.201410,0.000000,0.000000
36,0.000000,139.360001,1000.190002,0.000000,1971.450928,0.921000,0.007000,-0.006989,0.707064,0.707081,0.105610,0.000000,0.000000,0.000000,482.509979,999.049988,0.000000,3222.291016,-5.391000,-0.015146,0.000003,0.000003,0.999885,-0.201410,0.000000,0.000000
37,0.000000,155.789993,1000.199951,0.000000,1971.450928,0.921000,0.007302,-0.007291,0.707058,0.707080,0.103010,0.000000,0.000000,0.000000,509.359985,999.009949,0.000000,3221.470947,-5.381000,-0.015988,0.000003,0.000003,0.999872,-0.201410,0.000000,0.000000
38,0.000000,172.220001,1000.209961,0.000000,1971.450928,0.921000,0.007599,-0.007588,0.707053,0.707079,0.100510,0.000000,0.000000,0.000000,536.200012,998.969971,0.000000,3220.650879,-5.371000,-0.016829,0.000003,0.000003,0.999858,-0.201410,0.000000,0.000000
