frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
43,-574.669983,4838.489746,400.000000,3956.410889,939.650940,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,-541.709961,4846.319824,400.000000,3955.400879,939.410950,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,-508.759979,4854.149902,400.000000,3954.390869,939.170959,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,-475.819977,4861.969727,400.000000,3953.380859,938.930969,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,-442.880005,4869.790039,400.000000,3952.370850,938.690979,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
48,-409.949982,4877.609863,400.000000,3951.360840,938.450928,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
49,-377.029999,4885.429688,400.000000,3950.350830,938.210938,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
50,-344.119995,4893.250000,400.000000,3949.340820,937.970947,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
51,-311.220001,4901.060059,400.000000,3948.330811,937.730957,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
52,-278.329987,4908.870117,400.000000,3947.320801,937.490967,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
53,-245.439987,4916.679688,400.000000,3946.310791,937.250977,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
54,-212.559998,4924.489746,400.000000,3945.300781,937.010925,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
55,-179.690002,4932.299805,400.000000,3944.290771,936.770935,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
56,-146.830002,4940.100098,400.000000,3943.281006,936.530945,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
57,-113.979996,4947.899902,400.000000,3942.270996,936.290955,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
58,-81.139999,4955.699707,400.000000,3941.270996,936.050964,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
59,-48.299999,4963.500000,400.000000,3940.270996,935.810974,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
60,-15.469999,4971.299805,400.000000,3939.270996,935.570984,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
61,17.350000,4979.089844,400.000000,3938.270996,935.330933,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
62,50.160000,4986.879883,400.000000,3937.270996,935.090942,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
63,82.959999,4994.669922,400.000000,3936.270996,934.850952,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
64,115.750000,5002.459961,400.000000,3935.270996,934.610962,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
65,148.539993,5010.250000,400.000000,3934.270996,934.370972,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
66,181.319992,5018.029785,400.000000,3933.270996,934.130981,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
67,214.089996,5025.810059,400.000000,3932.270996,933.890930,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
68,246.849991,5033.589844,400.000000,3931.270996,933.650940,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
69,279.600006,5041.370117,400.000000,3930.270996,933.410950,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
70,312.339996,5049.149902,400.000000,3929.270996,933.170959,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
71,345.079987,5056.919922,400.000000,3928.270996,932.930969,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
72,377.809998,5064.689941,400.000000,3927.270996,932.690979,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
73,410.529999,5072.459961,400.000000,3926.270996,932.450928,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
74,443.239990,5080.229980,400.000000,3925.270996,932.210938,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
75,475.940002,5088.000000,400.000000,3924.270996,931.970947,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
76,508.629974,5095.759766,400.000000,3923.270996,931.730957,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
