frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeRight,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
28,False,False,0.000000,0.000000,0.000000,0.000000,0.650000,0.000000,100.360001,2.961000,0.000000,364.221008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
29,False,False,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,103.349998,2.961000,0.000000,358.800995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
30,False,False,0.000000,0.000000,0.000000,0.000000,0.690000,0.000000,106.290001,2.961000,0.000000,353.381012,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
31,False,False,0.000000,0.000000,0.000000,0.000000,0.710000,0.000000,109.189995,2.961000,0.000000,347.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
32,False,False,0.000000,0.000000,0.000000,0.000000,0.730000,0.000000,112.040001,2.961000,0.000000,342.540985,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
33,False,False,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,114.849998,2.961000,0.000000,337.121002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
34,False,False,0.000000,0.000000,0.000000,0.000000,0.770000,0.000000,117.610001,2.961000,0.000000,331.700989,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
35,False,False,0.000000,0.000000,0.000000,0.000000,0.790000,0.000000,120.329994,2.961000,0.000000,326.281006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
36,False,False,0.000000,0.000000,0.000000,0.000000,0.810000,0.000000,123.000000,2.961000,0.000000,320.860992,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
37,False,False,0.000000,0.000000,0.000000,0.000000,0.830000,0.000000,125.629997,2.961000,0.000000,315.441010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
38,False,False,0.000000,0.000000,0.000000,0.000000,0.850000,0.000000,128.209991,2.961000,0.000000,310.020996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
39,False,False,0.000000,0.000000,0.000000,0.000000,0.870000,0.000000,130.750000,2.961000,0.000000,304.601013,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
40,False,False,0.000000,0.000000,0.000000,0.000000,0.890000,0.000000,133.239990,2.961000,0.000000,299.181000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
41,False,False,0.000000,0.000000,0.000000,0.000000,0.910000,0.000000,135.690002,2.961000,0.000000,293.760986,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
42,False,False,0.000000,0.000000,0.000000,0.000000,0.930000,0.000000,138.089996,2.961000,0.000000,288.341003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
43,False,False,0.000000,0.000000,0.000000,0.000000,0.950000,0.000000,140.449997,2.961000,0.000000,282.920990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
44,False,False,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,142.759995,2.961000,0.000000,277.501007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
45,False,False,0.000000,0.000000,0.000000,0.000000,0.990000,0.000000,145.029999,2.961000,0.000000,272.080994,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
46,False,False,0.000000,0.000000,0.000000,0.000000,1.010000,0.000000,147.250000,2.961000,0.000000,266.661011,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
47,False,False,0.000000,0.000000,0.000000,0.000000,1.030000,0.000000,149.429993,2.961000,0.000000,261.240997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
48,False,False,0.000000,0.000000,0.000000,0.000000,1.050000,0.000000,151.559998,2.961000,0.000000,255.820999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
49,False,False,0.000000,0.000000,0.000000,0.000000,1.070000,0.000000,153.649994,2.961000,0.000000,250.401001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
50,False,False,0.000000,0.000000,0.000000,0.000000,1.090000,0.000000,155.690002,2.961000,0.000000,244.981003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,0.000000,0.000000,1.110000,0.000000,157.690002,2.961000,0.000000,239.561005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
