frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.330000,1.590000,119.139999,1.031000,10.501000,331.101013,-0.357264,0.002803,0.001022,0.933999,-5.338210,0.000000,0.031110
35,False,False,False,False,0.000000,1.000000,0.340000,1.680000,121.849998,1.031000,10.501000,325.681000,-0.378357,0.002776,0.001082,0.925655,-5.444510,0.000000,0.031710
36,False,False,False,False,0.000000,1.000000,0.350000,1.770000,124.519997,1.031000,10.501000,320.260986,-0.399645,0.002749,0.001141,0.916665,-5.499910,0.000000,0.032010
37,False,False,False,False,0.000000,1.000000,0.360000,1.860000,127.139999,1.031000,10.501000,314.841003,-0.420922,0.002722,0.001200,0.907092,-5.499910,0.000000,0.032010
38,False,False,False,False,0.000000,1.000000,0.370000,1.950000,129.720001,1.031000,10.501000,309.420990,-0.441973,0.002689,0.001260,0.897023,-5.499910,0.000000,0.032010
39,False,False,False,False,0.000000,1.000000,0.380000,2.040000,132.250000,1.031000,10.501000,304.001007,-0.462781,0.002657,0.001319,0.886468,-5.499910,0.000000,0.032010
40,False,False,False,False,0.000000,1.000000,0.390000,2.130000,134.739990,1.031000,10.501000,298.580994,-0.483335,0.002625,0.001378,0.875430,-5.499910,0.000000,0.032010
41,False,False,False,False,0.000000,1.000000,0.400000,2.220000,137.179993,1.031000,10.501000,293.161011,-0.503630,0.002592,0.001438,0.863914,-5.499910,0.000000,0.032010
42,False,False,False,False,0.000000,1.000000,0.410000,2.310000,139.580002,1.031000,10.501000,287.740997,-0.523651,0.002554,0.001492,0.851928,-5.499910,0.000000,0.032010
43,False,False,False,False,0.000000,1.000000,0.420000,2.400000,141.929993,1.031000,10.501000,282.321014,-0.543385,0.002517,0.001546,0.839478,-5.499910,0.000000,0.032010
44,False,False,False,False,0.000000,1.000000,0.430000,2.490000,144.239990,1.031000,10.501000,276.901001,-0.562822,0.002479,0.001600,0.826573,-5.499910,0.000000,0.032010
45,False,False,False,False,0.000000,1.000000,0.440000,2.580000,146.500000,1.031000,10.501000,271.480988,-0.581952,0.002441,0.001654,0.813217,-5.499910,0.000000,0.032010
46,False,False,False,False,0.000000,1.000000,0.450000,2.670000,148.720001,1.031000,10.501000,266.061005,-0.600764,0.002398,0.001707,0.799421,-5.499910,0.000000,0.032010
47,False,False,False,False,0.000000,1.000000,0.460000,2.760000,150.889999,1.031000,10.501000,260.640991,-0.619252,0.002355,0.001761,0.785187,-5.499910,0.000000,0.032010
48,False,False,False,False,0.000000,1.000000,0.470000,2.850000,153.019989,1.031000,10.501000,255.221008,-0.637400,0.002312,0.001815,0.770527,-5.499910,0.000000,0.032010
49,False,False,False,False,0.000000,1.000000,0.480000,2.940000,155.099991,1.031000,10.501000,249.800995,-0.655203,0.002269,0.001864,0.755447,-5.499910,0.000000,0.032010
50,False,False,False,False,0.000000,1.000000,0.490000,3.030000,157.139999,1.031000,10.501000,244.380997,-0.672650,0.002220,0.001912,0.739955,-5.499910,0.000000,0.032010
51,False,False,False,False,0.000000,1.000000,0.500000,3.120000,159.129990,1.031000,10.501000,238.960999,-0.689730,0.002171,0.001961,0.724061,-5.499910,0.000000,0.032010
52,False,False,False,False,0.000000,1.000000,0.510000,3.210000,161.080002,1.031000,10.501000,233.541000,-0.706438,0.002123,0.002010,0.707769,-5.499910,0.000000,0.032010
53,False,False,False,False,0.000000,1.000000,0.520000,3.300000,162.979996,1.031000,10.501000,228.121002,0.722758,-0.002074,-0.002058,-0.691095,-5.499910,0.000000,0.032010
54,False,False,False,False,0.000000,1.000000,0.530000,3.390000,164.839996,1.031000,10.501000,222.701004,0.738687,-0.002026,-0.002101,-0.674042,-5.499910,0.000000,0.032010
55,False,False,False,False,0.000000,1.000000,0.540000,3.480000,166.649994,1.031000,10.501000,217.281006,0.754214,-0.001972,-0.002144,-0.656622,-5.499910,0.000000,0.032010
56,False,False,False,False,0.000000,1.000000,0.550000,3.570000,168.419998,1.031000,10.501000,211.861008,0.769329,-0.001918,-0.002188,-0.638846,-5.499910,0.000000,0.032010
57,False,False,False,False,0.000000,1.000000,0.560000,3.660000,170.139999,1.031000,10.501000,206.441010,0.784023,-0.001864,-0.002231,-0.620725,-5.499910,0.000000,0.032010
58,False,False,False,False,0.000000,1.000000,0.570000,3.750000,171.819992,1.031000,10.501000,201.020996,0.798292,-0.001810,-0.002269,-0.602264,-5.499910,0.000000,0.032010
59,False,False,False,False,0.000000,1.000000,0.580000,3.840000,173.449997,1.031000,10.501000,195.600998,0.812127,-0.001756,-0.002306,-0.583474,-5.499910,0.000000,0.032010
