frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
19,True,True,1.000000,0.000000,-116.959999,988.869995,0.000000,560.880005,-48.189999,-0.353541,0.353547,0.612382,0.612374,-5.499900,0.000000,0.000000,0.000000,89.739998,995.159973,0.000000,844.019958,-40.529999,0.117351,-0.117345,0.697299,0.697304,3.078100,0.000000,0.000000
20,True,True,1.000000,0.000000,-112.250000,988.549988,0.000000,565.279968,-38.959999,-0.371840,0.371846,0.601446,0.601438,-5.499900,0.000000,0.000000,0.000000,96.769997,994.820007,0.000000,843.799988,-40.509998,0.126285,-0.126279,0.695734,0.695744,3.078100,0.000000,0.000000
21,True,True,1.000000,0.000000,-107.509995,988.269958,0.000000,569.219971,-33.209999,-0.389800,0.389805,0.589964,0.589958,-5.500000,0.000000,0.000000,0.000000,103.799995,994.479980,0.000000,843.579956,-40.489998,0.135197,-0.135191,0.694057,0.694068,3.078100,0.000000,0.000000
22,True,True,1.000000,0.000000,-102.739998,988.019958,0.000000,572.669983,-29.689999,-0.407403,0.407408,0.577946,0.577944,-5.499900,0.000000,0.000000,0.000000,110.829994,994.139954,0.000000,843.359985,-40.469997,0.144087,-0.144082,0.692266,0.692277,3.078100,0.000000,0.000000
23,True,True,1.000000,0.000000,-97.939995,987.789978,0.000000,575.630005,-27.599998,-0.424640,0.424645,0.565402,0.565401,-5.499900,0.000000,0.000000,0.000000,117.860001,993.799988,0.000000,843.139954,-40.450001,0.152957,-0.152951,0.690361,0.690371,3.078100,0.000000,0.000000
24,True,True,1.000000,0.000000,-93.119995,987.570007,0.000000,578.080017,-26.400000,-0.441488,0.441493,0.552347,0.552346,-5.499900,0.000000,0.000000,0.000000,124.879997,993.459961,0.000000,842.919983,-40.430000,0.161799,-0.161793,0.688344,0.688351,3.078100,0.000000,0.000000
25,True,True,1.000000,0.000000,-88.290001,987.359985,0.000000,580.019958,-25.760000,-0.457936,0.457942,0.538786,0.538788,-5.499900,0.000000,0.000000,0.000000,131.899994,993.119995,0.000000,842.699951,-40.410000,0.170614,-0.170608,0.686213,0.686219,3.078100,0.000000,0.000000
26,True,True,1.000000,0.000000,-83.439995,987.149963,0.000000,581.440002,-25.439999,-0.473970,0.473975,0.524740,0.524736,-5.500000,0.000000,0.000000,0.000000,138.919998,992.779968,0.000000,842.479980,-40.389999,0.179402,-0.179397,0.683968,0.683973,3.078100,0.000000,0.000000
27,True,True,1.000000,0.000000,-78.589996,986.940002,0.000000,582.330017,-25.299999,-0.489572,0.489577,0.510213,0.510212,-5.499900,0.000000,0.000000,0.000000,145.940002,992.440002,0.000000,842.260010,-40.369999,0.188158,-0.188152,0.681611,0.681617,3.078100,0.000000,0.000000
28,True,True,1.000000,0.000000,-73.729996,986.729980,0.000000,582.690002,-25.250000,-0.504726,0.504733,0.495225,0.495225,-5.499900,0.000000,0.000000,0.000000,152.959991,992.099976,0.000000,842.039978,-40.349998,0.196887,-0.196881,0.679140,0.679148,3.078100,0.000000,0.000000
29,True,True,1.000000,0.000000,-68.879997,986.519958,0.000000,582.519958,-25.230000,-0.519421,0.519436,0.479785,0.479785,-5.499900,0.000000,0.000000,0.000000,159.979996,991.759949,0.000000,841.820007,-40.329998,0.205583,-0.205578,0.676561,0.676564,3.078100,0.000000,0.000000
30,True,True,1.000000,0.000000,-64.029999,986.309998,0.000000,581.820007,-25.189999,-0.533647,0.533656,0.463914,0.463914,-5.499900,0.000000,0.000000,0.000000,166.989990,991.419983,0.000000,841.599976,-40.309998,0.214242,-0.214236,0.673869,0.673872,3.078100,0.000000,0.000000
31,True,True,1.000000,0.000000,-59.189999,986.099976,0.000000,580.589966,-25.100000,-0.547388,0.547395,0.447616,0.447621,-5.499900,0.000000,0.000000,0.000000,174.000000,991.079956,0.000000,841.380005,-40.290001,0.222868,-0.222863,0.671064,0.671070,3.078100,0.000000,0.000000
32,True,True,1.000000,0.000000,-54.369999,985.889954,0.000000,578.830017,-24.949999,-0.560632,0.560637,0.430914,0.430919,-5.499900,0.000000,0.000000,0.000000,181.009995,990.739990,0.000000,841.159973,-40.270000,0.231457,-0.231451,0.668151,0.668156,3.078100,0.000000,0.000000
33,True,True,1.000000,0.000000,-49.570000,985.679993,0.000000,576.559998,-24.740000,-0.573364,0.573372,0.413818,0.413828,-5.499900,0.000000,0.000000,0.000000,188.019989,990.399963,0.000000,840.940002,-40.250000,0.240007,-0.240002,0.665130,0.665130,3.078100,0.000000,0.000000
34,True,True,1.000000,0.000000,-44.789997,985.479980,0.000000,573.779968,-24.449999,-0.585578,0.585581,0.396349,0.396360,-5.499900,0.000000,0.000000,0.000000,195.029999,990.059998,0.000000,840.719971,-40.230000,0.248520,-0.248515,0.661995,0.661997,3.078100,0.000000,0.000000
35,True,True,1.000000,0.000000,-40.040001,985.279968,0.000000,570.500000,-24.080000,-0.597257,0.597262,0.378519,0.378530,-5.499900,0.000000,0.000000,0.000000,202.029999,989.719971,0.000000,840.500000,-40.209999,0.256990,-0.256985,0.658753,0.658756,3.078100,0.000000,0.000000
