frame,input.bActivateBoost,input.bHoldingBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,False,False,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,False,False,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
4,True,True,0.000000,0.070000,500.000000,0.000000,8.261001,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
5,True,True,0.000000,0.210000,500.000000,0.000000,17.080999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
6,True,True,0.000000,0.430000,500.000000,0.000000,25.900999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
7,True,True,0.000000,0.720000,500.000000,0.000000,34.720997,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
8,True,True,0.000000,1.080000,500.000000,0.000000,43.541000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
9,True,True,0.000000,1.520000,500.000000,0.000000,52.361000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
10,True,True,0.000000,2.030000,500.000000,0.000000,61.181000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
11,True,True,0.000000,2.610000,500.000000,0.000000,70.000999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
12,True,True,0.000000,3.270000,500.000000,0.000000,78.820999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
13,True,True,0.000000,4.000000,500.000000,0.000000,87.640999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
14,True,True,0.000000,4.800000,500.000000,0.000000,96.460999,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
15,True,True,0.000000,5.680000,500.000000,0.000000,105.280998,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
16,True,True,0.000000,6.630000,500.000000,0.000000,114.100998,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
17,True,True,0.000000,7.650000,500.000000,0.000000,122.920998,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
18,True,True,0.000000,8.750000,500.000000,0.000000,131.740997,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
19,True,True,0.000000,9.920000,500.000000,0.000000,140.561005,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
20,True,True,0.000000,11.160000,500.000000,0.000000,149.380997,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
21,True,True,0.000000,12.480000,500.000000,0.000000,158.201004,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
22,True,True,0.000000,13.870000,500.000000,0.000000,167.020996,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
23,True,True,0.000000,15.339999,500.000000,0.000000,175.841003,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
24,True,True,0.000000,16.879999,500.000000,0.000000,184.660995,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
25,True,True,0.000000,18.490000,500.000000,0.000000,193.481003,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
26,True,True,0.000000,20.180000,500.000000,0.000000,202.301010,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
27,True,True,0.000000,21.939999,500.000000,0.000000,211.121002,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
28,True,True,0.000000,23.769999,500.000000,0.000000,219.941010,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
29,True,True,0.000000,25.680000,500.000000,0.000000,228.761002,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
30,True,True,0.000000,27.660000,500.000000,0.000000,237.581009,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
31,True,True,0.000000,29.709999,500.000000,0.000000,246.401001,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
