frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
36,0.000000,-2411.250000,94.070000,0.000000,1928.630981,-42.460999,-0.115349,0.000003,0.000003,0.993325,-1.460310,0.000000,0.000000
37,0.000000,-2395.179932,93.669998,0.000000,1928.140991,-47.861000,-0.121391,0.000003,0.000003,0.992605,-1.460310,0.000000,0.000000
38,0.000000,-2379.119873,93.229996,0.000000,1927.650879,-53.260998,-0.127428,0.000003,0.000003,0.991848,-1.460310,0.000000,0.000000
39,0.000000,-2363.060059,92.739998,0.000000,1927.160889,-58.660999,-0.133460,0.000003,0.000003,0.991054,-1.460310,0.000000,0.000000
40,0.000000,-2347.290039,93.029999,0.000000,1891.930908,35.181000,-0.143413,0.000003,0.000003,0.989663,-2.412010,0.000000,0.000000
41,0.000000,-2331.530029,93.279999,0.000000,1891.450928,29.750999,-0.153350,0.000003,0.000003,0.988172,-2.412010,0.000000,0.000000
42,0.000000,-2315.770020,93.479996,0.000000,1890.970947,24.320999,-0.163271,0.000003,0.000003,0.986581,-2.412010,0.000000,0.000000
43,0.000000,-2300.020020,93.639999,0.000000,1890.490967,18.890999,-0.173176,0.000003,0.000003,0.984891,-2.412010,0.000000,0.000000
44,0.000000,-2284.270020,93.750000,0.000000,1890.010986,13.461000,-0.183065,0.000003,0.000003,0.983101,-2.412010,0.000000,0.000000
45,0.000000,-2268.520020,93.820000,0.000000,1889.530884,8.041000,-0.192938,0.000003,0.000003,0.981211,-2.412010,0.000000,0.000000
46,0.000000,-2252.780029,93.839996,0.000000,1889.050903,2.621000,-0.202788,0.000003,0.000003,0.979223,-2.412010,0.000000,0.000000
47,0.000000,-2237.040039,93.820000,0.000000,1888.570923,-2.791000,-0.212618,0.000003,0.000003,0.977135,-2.412010,0.000000,0.000000
48,0.000000,-2221.310059,93.750000,0.000000,1888.090942,-8.201000,-0.222426,0.000003,0.000003,0.974950,-2.412010,0.000000,0.000000
49,0.000000,-2205.579834,93.639999,0.000000,1887.610962,-13.611000,-0.232212,0.000003,0.000003,0.972665,-2.412010,0.000000,0.000000
